# k2200_voltage_set	lockin1_X	lockin1_Y
# "voltage"	"X"	"Y"
# 101
0	8.16589e-06	5.06643e-07
0.15	8.2553e-06	4.76841e-07
0.3	1.24276e-05	6.25852e-07
0.45	1.65106e-05	1.2517e-06
0.6	1.68086e-05	3.87432e-07
0.75	2.04445e-05	1.1623e-06
0.9	1.77027e-05	-2.98025e-07
1.05	1.31131e-05	-3.87432e-07
1.2	1.04905e-05	-1.46032e-06
1.35	9.71562e-06	-5.96051e-08
1.5	7.3016e-06	-8.64271e-07
1.65	9.95403e-06	-2.08617e-07
1.8	6.88437e-06	-5.96051e-08
1.95	6.10951e-06	-9.53682e-07
2.1	5.93069e-06	1.1921e-07
2.25	5.45385e-06	3.27827e-07
2.4	5.45385e-06	-6.25852e-07
2.55	5.36445e-06	-9.53682e-07
2.7	5.36445e-06	-4.17234e-07
2.85	4.7088e-06	-6.25852e-07
3	4.14255e-06	-5.9605e-07
3.15	4.97702e-06	-8.94073e-07
3.3	5.87109e-06	2.08617e-07
3.45	4.17235e-06	-6.25852e-07
3.6	4.55978e-06	-7.74864e-07
3.75	4.29156e-06	2.08617e-07
3.9	3.81473e-06	0
4.05	4.11275e-06	8.64271e-07
4.2	3.39748e-06	-4.47037e-07
4.35	2.59282e-06	5.66248e-07
4.5	3.39748e-06	1.04309e-06
4.65	3.24847e-06	-1.1623e-06
4.8	5.21544e-06	8.94073e-07
4.95	3.87432e-07	2.80143e-06
5.1	4.26176e-06	1.54973e-06
5.25	2.53321e-06	3.27827e-07
5.4	2.29479e-06	-1.57953e-06
5.55	2.11598e-06	1.28151e-06
5.7	2.3246e-06	-1.1921e-07
5.85	3.42728e-06	7.15259e-07
6	3.24847e-06	0
6.15	3.57629e-06	-2.68223e-07
6.3	3.12926e-06	3.5763e-07
6.45	3.03985e-06	-3.27827e-07
6.6	2.62262e-06	5.96051e-08
6.75	2.3842e-06	-2.98025e-07
6.9	2.3246e-06	2.68223e-07
7.05	1.99677e-06	-2.98025e-08
7.2	2.92064e-06	-2.68223e-07
7.35	2.68222e-06	-3.87432e-07
7.5	2.86104e-06	5.96051e-08
7.65	2.23519e-06	2.3842e-07
7.8	1.99677e-06	-2.08617e-07
7.95	2.4438e-06	2.08617e-07
8.1	3.06965e-06	2.98025e-08
8.25	1.84775e-06	-6.25852e-07
8.4	1.72854e-06	1.49013e-07
8.55	2.3544e-06	-1.78815e-07
8.7	2.14578e-06	2.08617e-07
8.85	1.69874e-06	3.5763e-07
9	2.05637e-06	-2.68223e-07
9.15	2.14578e-06	-4.47037e-07
9.3	1.57953e-06	6.55655e-07
9.45	2.05637e-06	-3.5763e-07
9.6	1.78815e-06	8.94074e-08
9.75	2.71203e-06	8.94074e-08
9.9	1.75834e-06	2.3842e-07
10.05	1.90736e-06	-1.1921e-07
10.2	2.17558e-06	-2.98025e-08
10.35	1.84775e-06	8.94074e-08
10.5	1.84775e-06	1.49013e-07
10.65	1.2517e-06	-6.55655e-07
10.8	2.4438e-06	8.94074e-08
10.95	1.31131e-06	1.78815e-07
11.1	2.11598e-06	-5.96051e-08
11.25	1.78815e-06	-2.68223e-07
11.4	2.68222e-06	-5.36445e-07
11.55	2.74183e-06	-4.76841e-07
11.7	1.72854e-06	4.47037e-07
11.85	5.06643e-07	0
12	1.84775e-06	4.14255e-06
12.15	3.5763e-07	-3.5763e-07
12.3	8.04666e-07	4.47037e-07
12.45	-1.49012e-06	-1.75834e-06
12.6	2.47361e-06	-3.87432e-07
12.75	2.11598e-06	-2.3842e-07
12.9	1.1623e-06	-6.25852e-07
13.05	7.45062e-07	3.27827e-07
13.2	2.11598e-06	1.10269e-06
13.35	3.27827e-07	-1.37091e-06
13.5	3.15906e-06	-5.06643e-07
13.65	5.66248e-07	1.63914e-06
13.8	2.02657e-06	-1.1325e-06
13.95	2.71203e-06	1.07289e-06
14.1	1.34111e-06	-1.1921e-07
14.25	2.3544e-06	-2.08617e-07
14.4	1.34111e-06	-5.96051e-08
14.55	1.2517e-06	-4.47037e-07
14.7	8.64271e-07	6.25852e-07
14.85	1.1921e-06	-3.5763e-07
15	1.72854e-06	6.55655e-07
