# k2200_voltage_set	lockin1_X	lockin1_Y
# "voltage"	"X"	"Y"
# 101
0	4.83098e-05	-7.3016e-06
0.15	4.8876e-05	-7.71886e-06
0.3	3.94287e-05	-5.12603e-06
0.45	2.4587e-05	-1.93717e-06
0.6	1.72855e-05	-8.04666e-07
0.75	1.42754e-05	-1.1921e-07
0.9	1.1772e-05	1.49013e-07
1.05	1.02819e-05	1.49013e-07
1.2	9.507e-06	3.5763e-07
1.35	9.05996e-06	3.27827e-07
1.5	8.55332e-06	0
1.65	8.01688e-06	0
1.8	7.95728e-06	-5.96051e-08
1.95	7.62945e-06	-2.98025e-08
2.1	6.79496e-06	8.94074e-08
2.25	6.10951e-06	3.5763e-07
2.4	5.81148e-06	5.06643e-07
2.55	5.42405e-06	5.66248e-07
2.7	5.09623e-06	5.9605e-07
2.85	4.67899e-06	4.76841e-07
3	4.58959e-06	5.06643e-07
3.15	4.67899e-06	5.36445e-07
3.3	4.7386e-06	6.25852e-07
3.45	4.47038e-06	3.27827e-07
3.6	4.17235e-06	0
3.75	4.11275e-06	0
3.9	4.08295e-06	0
4.05	3.99354e-06	5.96051e-08
4.2	3.87433e-06	2.98025e-08
4.35	3.54649e-06	2.98025e-08
4.5	3.36768e-06	8.94074e-08
4.65	3.54649e-06	4.17234e-07
4.8	3.7253e-06	4.17234e-07
4.95	3.57629e-06	5.66248e-07
5.1	3.57629e-06	4.47037e-07
5.25	3.45708e-06	8.94074e-08
5.4	3.39748e-06	1.1921e-07
5.55	3.03985e-06	2.3842e-07
5.7	3.09946e-06	-8.94074e-08
5.85	2.92064e-06	0
6	2.50341e-06	2.3842e-07
6.15	2.3246e-06	2.08617e-07
6.3	2.4438e-06	0
6.45	2.68222e-06	2.98025e-08
6.6	2.62262e-06	2.98025e-08
6.75	2.3544e-06	1.1921e-07
6.9	2.3544e-06	1.49013e-07
7.05	2.3246e-06	8.94074e-08
7.2	2.3842e-06	1.78815e-07
7.35	2.26499e-06	5.66248e-07
7.5	2.20539e-06	7.15259e-07
7.65	2.26499e-06	5.06643e-07
7.8	2.3544e-06	5.66248e-07
7.95	2.26499e-06	7.15259e-07
8.1	2.05637e-06	8.64271e-07
8.25	2.3246e-06	6.25852e-07
8.4	2.3544e-06	4.17234e-07
8.55	2.62262e-06	4.76841e-07
8.7	2.50341e-06	5.36445e-07
8.85	2.59282e-06	2.3842e-07
9	2.62262e-06	8.94074e-08
9.15	2.3842e-06	2.3842e-07
9.3	2.47361e-06	2.3842e-07
9.45	2.50341e-06	8.94074e-08
9.6	2.20539e-06	8.94074e-08
9.75	2.05637e-06	2.98025e-08
9.9	1.96697e-06	8.94074e-08
10.05	1.90736e-06	2.3842e-07
10.2	1.72854e-06	8.94074e-08
10.35	1.87755e-06	5.96051e-08
10.5	1.87755e-06	8.94074e-08
10.65	1.75834e-06	3.87432e-07
10.8	1.75834e-06	5.06643e-07
10.95	1.75834e-06	5.66248e-07
11.1	2.11598e-06	4.76841e-07
11.25	2.29479e-06	3.27827e-07
11.4	2.20539e-06	8.94074e-08
11.55	2.17558e-06	8.94074e-08
11.7	2.20539e-06	5.96051e-08
11.85	2.05637e-06	5.96051e-08
12	2.02657e-06	0
12.15	2.05637e-06	8.94074e-08
12.3	2.02657e-06	8.94074e-08
12.45	2.05637e-06	-8.94074e-08
12.6	1.93717e-06	1.1921e-07
12.75	1.57953e-06	5.66248e-07
12.9	1.57953e-06	5.36445e-07
13.05	1.54973e-06	4.47037e-07
13.2	1.54973e-06	5.9605e-07
13.35	1.75834e-06	6.85457e-07
13.5	1.90736e-06	6.55655e-07
13.65	2.02657e-06	5.66248e-07
13.8	2.11598e-06	5.66248e-07
13.95	2.11598e-06	4.76841e-07
14.1	1.99677e-06	3.87432e-07
14.25	1.90736e-06	1.1921e-07
14.4	1.78815e-06	2.98025e-08
14.55	1.78815e-06	0
14.7	1.99677e-06	1.78815e-07
14.85	1.90736e-06	8.94074e-08
15	1.60933e-06	2.98025e-08
