# ppms_field_set_stable_set	k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X
# "Magnetic Field"	"voltage"	"X"	"Y"	"X"
# 46	101
0	10	2.11598e-06	3.5763e-07	5.06643e-07
0	9.9	2.20539e-06	3.5763e-07	4.76841e-07
0	9.8	2.29479e-06	2.98025e-07	4.76841e-07
0	9.7	2.3246e-06	3.27827e-07	4.47037e-07
0	9.6	2.14578e-06	3.27827e-07	5.06643e-07
0	9.5	2.20539e-06	3.5763e-07	4.76841e-07
0	9.4	2.23519e-06	3.27827e-07	4.47037e-07
0	9.3	2.20539e-06	3.27827e-07	4.47037e-07
0	9.2	2.20539e-06	3.87432e-07	5.36445e-07
0	9.1	2.26499e-06	3.5763e-07	5.06643e-07
0	9	2.29479e-06	2.98025e-07	5.06643e-07
0	8.9	2.26499e-06	3.5763e-07	4.76841e-07
0	8.8	2.26499e-06	4.17234e-07	4.76841e-07
0	8.7	2.20539e-06	3.5763e-07	5.06643e-07
0	8.6	2.29479e-06	3.87432e-07	4.76841e-07
0	8.5	2.3246e-06	2.98025e-07	5.06643e-07
0	8.4	2.3842e-06	3.27827e-07	5.36445e-07
0	8.3	2.29479e-06	3.27827e-07	5.36445e-07
0	8.2	2.26499e-06	2.98025e-07	5.36445e-07
0	8.1	2.3246e-06	3.87432e-07	4.76841e-07
0	8	2.29479e-06	3.27827e-07	5.36445e-07
0	7.9	2.414e-06	2.3842e-07	5.06643e-07
0	7.8	2.3842e-06	2.68223e-07	5.66248e-07
0	7.7	2.3544e-06	2.98025e-07	5.66248e-07
0	7.6	2.47361e-06	3.5763e-07	5.36445e-07
0	7.5	2.4438e-06	2.98025e-07	5.66248e-07
0	7.4	2.59282e-06	3.27827e-07	5.66248e-07
0	7.3	2.56301e-06	4.76841e-07	5.66248e-07
0	7.2	2.62262e-06	3.5763e-07	5.9605e-07
0	7.1	2.56301e-06	3.27827e-07	5.66248e-07
0	7	2.53321e-06	2.98025e-07	5.9605e-07
0	6.9	2.71203e-06	3.27827e-07	5.9605e-07
0	6.8	2.74183e-06	3.5763e-07	5.9605e-07
0	6.7	2.83124e-06	3.27827e-07	5.9605e-07
0	6.6	2.68222e-06	3.5763e-07	6.25852e-07
0	6.5	2.68222e-06	3.5763e-07	6.25852e-07
0	6.4	2.65242e-06	3.87432e-07	5.9605e-07
0	6.3	2.68222e-06	3.27827e-07	6.25852e-07
0	6.2	2.68222e-06	2.3842e-07	6.55655e-07
0	6.1	2.59282e-06	2.3842e-07	6.25852e-07
0	6	2.62262e-06	3.27827e-07	6.85457e-07
0	5.9	2.77163e-06	3.87432e-07	7.15259e-07
0	5.8	2.89084e-06	3.5763e-07	7.45062e-07
0	5.7	2.77163e-06	3.87432e-07	7.45062e-07
0	5.6	2.80143e-06	3.87432e-07	7.45062e-07
0	5.5	2.92064e-06	3.5763e-07	7.45062e-07
0	5.4	3.01005e-06	3.5763e-07	7.74864e-07
0	5.3	3.09946e-06	2.68223e-07	7.74864e-07
0	5.2	3.03985e-06	2.68223e-07	7.45062e-07
0	5.1	3.12926e-06	3.27827e-07	7.45062e-07
0	5	3.30807e-06	3.27827e-07	7.45062e-07
0	4.9	3.27827e-06	3.87432e-07	7.74864e-07
0	4.8	3.39748e-06	2.98025e-07	7.74864e-07
0	4.7	3.51669e-06	3.27827e-07	8.04666e-07
