# k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "voltage"	"X"	"Y"	"X"	"Y"
# 201
10	2.53321e-05	-7.74864e-07	2.4438e-06	2.98025e-08
9.95	2.52129e-05	-8.34469e-07	2.62262e-06	5.96051e-08
9.9	2.52725e-05	-7.15259e-07	2.59282e-06	5.96051e-08
9.85	2.47956e-05	-9.53682e-07	2.53321e-06	5.96051e-08
9.8	2.43784e-05	-8.34469e-07	2.47361e-06	2.98025e-08
9.75	2.39612e-05	-7.74864e-07	2.53321e-06	5.96051e-08
9.7	2.34247e-05	-7.74864e-07	2.4438e-06	5.96051e-08
9.65	2.30075e-05	-8.34469e-07	2.3246e-06	5.96051e-08
9.6	2.27095e-05	-7.15259e-07	2.29479e-06	5.96051e-08
9.55	2.27095e-05	-7.74864e-07	2.17558e-06	5.96051e-08
9.5	2.31863e-05	-7.15259e-07	2.02657e-06	5.96051e-08
9.45	2.40208e-05	-7.74864e-07	1.96697e-06	2.98025e-08
9.4	2.47956e-05	-6.55655e-07	1.90736e-06	5.96051e-08
9.35	2.58089e-05	-8.34469e-07	1.90736e-06	5.96051e-08
9.3	2.68818e-05	-8.94073e-07	1.90736e-06	5.96051e-08
9.25	2.80143e-05	-9.53682e-07	1.93717e-06	5.96051e-08
9.2	2.87892e-05	-8.34469e-07	1.93717e-06	5.96051e-08
9.15	2.96236e-05	-7.74864e-07	2.08618e-06	5.96051e-08
9.1	3.02197e-05	-8.34469e-07	2.26499e-06	5.96051e-08
9.05	3.03985e-05	-8.34469e-07	2.414e-06	5.96051e-08
9	3.08754e-05	-9.53682e-07	2.59282e-06	8.94074e-08
8.95	3.12331e-05	-1.07289e-06	2.83124e-06	8.94074e-08
8.9	3.16503e-05	-1.07289e-06	3.06965e-06	2.98025e-08
8.85	3.21271e-05	-1.01329e-06	3.30807e-06	5.96051e-08
8.8	3.24252e-05	-9.53682e-07	3.48689e-06	5.96051e-08
8.75	3.25444e-05	-9.53682e-07	3.6359e-06	8.94074e-08
8.7	3.27232e-05	-1.01329e-06	3.6955e-06	5.96051e-08
8.65	3.26636e-05	-9.53682e-07	3.78491e-06	8.94074e-08
8.6	3.30212e-05	-9.53682e-07	3.84453e-06	8.94074e-08
8.55	3.31404e-05	-1.07289e-06	3.87433e-06	8.94074e-08
8.5	3.36769e-05	-1.07289e-06	3.90413e-06	8.94074e-08
8.45	3.42133e-05	-9.53682e-07	3.90413e-06	8.94074e-08
8.4	3.47497e-05	-1.07289e-06	3.84453e-06	8.94074e-08
8.35	3.54054e-05	-1.01329e-06	3.87433e-06	8.94074e-08
8.3	3.61206e-05	-1.01329e-06	3.87433e-06	5.96051e-08
8.25	3.67167e-05	-1.01329e-06	4.02334e-06	8.94074e-08
8.2	3.74916e-05	-1.1325e-06	4.02334e-06	2.98025e-08
8.15	3.84452e-05	-1.2517e-06	4.14255e-06	5.96051e-08
