# k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "voltage"	"X"	"Y"	"X"	"Y"
# 101
10	1.52589e-05	-1.07289e-06	2.14578e-06	8.94074e-08
9.9	1.59146e-05	-9.53682e-07	1.99677e-06	1.1921e-07
9.8	1.53781e-05	-9.53682e-07	2.02657e-06	8.94074e-08
9.7	1.4484e-05	-1.01329e-06	1.93717e-06	5.96051e-08
9.6	1.35303e-05	-1.01329e-06	1.93717e-06	8.94074e-08
9.5	1.25766e-05	-1.01329e-06	2.14578e-06	8.94074e-08
9.4	1.18614e-05	-9.53682e-07	2.3544e-06	8.94074e-08
9.3	1.31131e-05	-9.53682e-07	2.59282e-06	8.94074e-08
9.2	1.45436e-05	-9.53682e-07	2.71203e-06	1.1921e-07
9.1	1.5855e-05	-9.53682e-07	2.86104e-06	8.94074e-08
9	1.69278e-05	-1.01329e-06	3.01005e-06	8.94074e-08
8.9	1.83583e-05	-1.07289e-06	3.21867e-06	8.94074e-08
8.8	1.97293e-05	-1.07289e-06	3.33787e-06	8.94074e-08
8.7	2.10406e-05	-1.07289e-06	3.54649e-06	1.49013e-07
8.6	2.20538e-05	-9.53682e-07	3.7253e-06	1.78815e-07
8.5	2.30075e-05	-1.1921e-06	3.87433e-06	1.49013e-07
8.4	2.3842e-05	-1.1921e-06	3.96374e-06	1.49013e-07
8.3	2.46168e-05	-1.1325e-06	3.99354e-06	1.78815e-07
8.2	2.54513e-05	-1.1325e-06	4.02334e-06	1.78815e-07
8.1	2.62262e-05	-1.1325e-06	3.99354e-06	2.08617e-07
8	2.71202e-05	-1.2517e-06	4.02334e-06	1.49013e-07
7.9	2.74779e-05	-1.31131e-06	4.02334e-06	2.08617e-07
7.8	2.78951e-05	-1.2517e-06	3.96374e-06	1.78815e-07
7.7	2.75971e-05	-1.2517e-06	3.87433e-06	1.78815e-07
7.6	2.74183e-05	-1.49012e-06	3.75511e-06	1.49013e-07
7.5	2.68222e-05	-1.1921e-06	3.78491e-06	1.49013e-07
7.4	2.59877e-05	-1.31131e-06	3.84453e-06	1.49013e-07
7.3	2.52129e-05	-1.2517e-06	3.87433e-06	1.49013e-07
7.2	2.46168e-05	-1.31131e-06	3.90413e-06	1.1921e-07
7.1	2.414e-05	-1.2517e-06	3.7253e-06	1.49013e-07
7	2.34247e-05	-1.37091e-06	3.39748e-06	8.94074e-08
6.9	2.25903e-05	-1.1325e-06	3.01005e-06	1.1921e-07
6.8	2.17558e-05	-1.1921e-06	2.80143e-06	1.49013e-07
6.7	2.06829e-05	-1.1921e-06	2.74183e-06	1.49013e-07
6.6	1.92524e-05	-1.1325e-06	2.71203e-06	1.1921e-07
6.5	1.84776e-05	-1.1325e-06	2.71203e-06	1.1921e-07
6.4	1.75835e-05	-1.07289e-06	2.86104e-06	8.94074e-08
6.3	1.69874e-05	-1.1325e-06	3.09946e-06	8.94074e-08
6.2	1.74047e-05	-1.01329e-06	3.84453e-06	8.94074e-08
6.1	1.99677e-05	-1.01329e-06	4.29156e-06	1.49013e-07
6	2.27095e-05	-1.01329e-06	4.7088e-06	1.49013e-07
5.9	2.49745e-05	-1.37091e-06	5.12603e-06	1.78815e-07
5.8	2.71202e-05	-1.31131e-06	5.45385e-06	2.3842e-07
5.7	2.94448e-05	-1.37091e-06	5.57306e-06	2.3842e-07
5.6	3.26636e-05	-1.72854e-06	5.78168e-06	2.98025e-07
5.5	3.5763e-05	-1.78815e-06	6.34792e-06	3.5763e-07
5.4	3.97565e-05	-2.02657e-06	7.09298e-06	3.87432e-07
5.3	4.36308e-05	-2.26499e-06	7.51021e-06	3.87432e-07
5.2	4.64919e-05	-2.3842e-06	7.92748e-06	3.27827e-07
5.1	4.94721e-05	-2.68222e-06	8.34471e-06	4.47037e-07
5	5.24523e-05	-2.80143e-06	8.67253e-06	3.5763e-07
4.9	5.49557e-05	-3.15906e-06	8.85135e-06	3.5763e-07
4.8	5.74591e-05	-3.45708e-06	8.82155e-06	3.87432e-07
4.7	5.90088e-05	-3.51669e-06	8.94075e-06	3.87432e-07
4.6	5.93665e-05	-3.75511e-06	9.26858e-06	3.5763e-07
4.5	5.87108e-05	-3.75511e-06	9.32819e-06	3.27827e-07
4.4	5.78167e-05	-3.51669e-06	9.29838e-06	3.27827e-07
4.3	5.66246e-05	-3.39748e-06	9.14937e-06	3.27827e-07
