# ppms_field_set_stable_set	k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X
# "Magnetic Field"	"voltage"	"X"	"Y"	"X"
# 91	101
9000	10	4.12466e-05	-1.31131e-06	6.25852e-06
9000	9.9	5.23331e-05	-1.54973e-06	7.68906e-06
9000	9.8	5.04258e-05	-1.43052e-06	8.07649e-06
9000	9.7	4.375e-05	-1.07289e-06	7.54002e-06
9000	9.6	3.74319e-05	-9.53682e-07	6.58634e-06
9000	9.5	3.27828e-05	-5.9605e-07	6.0499e-06
9000	9.4	3.07562e-05	-3.5763e-07	5.75188e-06
9000	9.3	2.96832e-05	-4.76841e-07	5.69227e-06
9000	9.2	2.96832e-05	-4.76841e-07	5.66247e-06
9000	9.1	3.00409e-05	-4.76841e-07	5.72208e-06
9000	9	3.09946e-05	-5.9605e-07	5.87109e-06
9000	8.9	3.20675e-05	-4.76841e-07	6.0201e-06
9000	8.8	3.39749e-05	-3.5763e-07	6.19891e-06
9000	8.7	3.62399e-05	-5.9605e-07	6.43733e-06
9000	8.6	3.8624e-05	-8.34469e-07	6.79496e-06
9000	8.5	4.06506e-05	-8.34469e-07	7.09298e-06
9000	8.4	4.29156e-05	-9.53682e-07	7.54002e-06
9000	8.3	4.45845e-05	-1.31131e-06	7.68906e-06
9000	8.2	4.62534e-05	-1.31131e-06	7.98708e-06
9000	8.1	4.79224e-05	-1.07289e-06	8.10629e-06
9000	8	4.92337e-05	-1.31131e-06	8.07649e-06
9000	7.9	5.07834e-05	-1.43052e-06	8.01688e-06
9000	7.8	5.23331e-05	-1.54973e-06	8.13609e-06
9000	7.7	5.36444e-05	-1.54973e-06	8.10629e-06
9000	7.6	5.44789e-05	-1.66894e-06	7.98708e-06
9000	7.5	5.42405e-05	-1.54973e-06	7.80827e-06
9000	7.4	5.37636e-05	-1.78815e-06	7.71886e-06
9000	7.3	5.31676e-05	-1.78815e-06	7.62945e-06
9000	7.2	5.16179e-05	-1.54973e-06	7.65926e-06
9000	7.1	5.01873e-05	-1.54973e-06	7.83807e-06
9000	7	4.89953e-05	-1.54973e-06	7.89767e-06
9000	6.9	4.76839e-05	-1.54973e-06	7.74866e-06
9000	6.8	4.64919e-05	-1.43052e-06	7.3314e-06
9000	6.7	4.49421e-05	-1.31131e-06	6.49694e-06
9000	6.6	4.33924e-05	-1.31131e-06	5.87109e-06
9000	6.5	4.13659e-05	-1.31131e-06	5.57306e-06
9000	6.4	3.89817e-05	-1.07289e-06	5.39425e-06
9000	6.3	3.63591e-05	-9.53682e-07	5.42405e-06
9000	6.2	3.5167e-05	-8.34469e-07	5.54326e-06
9000	6.1	3.38557e-05	-8.34469e-07	5.87109e-06
9000	6	3.27828e-05	-8.34469e-07	6.64595e-06
9000	5.9	3.5167e-05	-8.34469e-07	8.10629e-06
9000	5.8	4.10082e-05	-9.53682e-07	8.94075e-06
9000	5.7	4.62534e-05	-1.43052e-06	9.71562e-06
9000	5.6	5.01873e-05	-1.66894e-06	1.05203e-05
9000	5.5	5.43597e-05	-1.78815e-06	1.10269e-05
9000	5.4	6.02009e-05	-2.26499e-06	1.12951e-05
9000	5.3	6.60424e-05	-2.62262e-06	1.1921e-05
9000	5.2	7.3195e-05	-3.33787e-06	1.30535e-05
9000	5.1	8.09436e-05	-3.93394e-06	1.44244e-05
9000	5	8.78577e-05	-4.41077e-06	1.53781e-05
9000	4.9	9.38182e-05	-5.24524e-06	1.62722e-05
9000	4.8	0.000100375	-5.84128e-06	1.69576e-05
9000	4.7	0.000105858	-6.31812e-06	1.74941e-05
9000	4.6	0.000110627	-7.03338e-06	1.77027e-05
9000	4.5	0.000115037	-7.62945e-06	1.79113e-05
9000	4.4	0.000117541	-8.10629e-06	1.82391e-05
9000	4.3	0.000117541	-8.2255e-06	1.86564e-05
9000	4.2	0.00011623	-7.86787e-06	1.87756e-05
9000	4.1	0.000114322	-7.74866e-06	1.8567e-05
9000	4	0.000111223	-7.62945e-06	1.82987e-05
9000	3.9	0.000107646	-7.2718e-06	1.76431e-05
9000	3.8	0.000105143	-7.03338e-06	1.66298e-05
9000	3.7	0.000102997	-6.91417e-06	1.62722e-05
9000	3.6	9.95402e-05	-6.55654e-06	1.54377e-05
9000	3.5	9.53679e-05	-6.0797e-06	1.33217e-05
9000	3.4	8.86922e-05	-5.48366e-06	1.06991e-05
9000	3.3	8.24933e-05	-4.7684e-06	8.2255e-06
9000	3.2	7.62944e-05	-3.81473e-06	6.34792e-06
9000	3.1	6.75921e-05	-3.09946e-06	4.91741e-06
9000	3	5.96049e-05	-2.74183e-06	2.74183e-06
9000	2.9	5.45981e-05	-2.14578e-06	2.47361e-06
9000	2.8	6.78306e-05	-3.09946e-06	4.17235e-06
9000	2.7	9.03611e-05	-4.88761e-06	9.80502e-06
9000	2.6	0.00011611	-7.62945e-06	1.33217e-05
9000	2.5	0.000135661	-1.00136e-05	1.59146e-05
9000	2.4	0.00014794	-1.18018e-05	1.71066e-05
9000	2.3	0.000149966	-1.26362e-05	1.81795e-05
9000	2.2	0.000163556	-1.50204e-05	1.98783e-05
9000	2.1	0.000176311	-1.74047e-05	2.08915e-05
9000	2	0.000189424	-1.99081e-05	2.37228e-05
9000	1.9	0.000212313	-2.40804e-05	2.90276e-05
9000	1.8	0.000230075	-2.83719e-05	3.3498e-05
9000	1.7	0.000247242	-3.25444e-05	3.63591e-05
9000	1.6	0.000264766	-3.73127e-05	3.87134e-05
9000	1.5	0.000290038	-4.38693e-05	4.3601e-05
9000	1.4	0.000317099	-5.12602e-05	4.74157e-05
9000	1.3	0.000340821	-5.8532e-05	4.94423e-05
9000	1.2	0.00036967	-6.83074e-05	5.28398e-05
9000	1.1	0.000412824	-8.38046e-05	6.05884e-05
9000	1	0.000458242	-0.00010109	6.87246e-05
9000	0.9	0.000505809	-0.000122786	7.55792e-05
9000	0.799999999999999	0.000553016	-0.000145913	8.15396e-05
9000	0.699999999999999	0.000602726	-0.000175239	8.69338e-05
9000	0.6	0.000653986	-0.000207902	9.24175e-05
9000	0.5	0.000706319	-0.000243903	0.000100434
9000	0.399999999999999	0.000765208	-0.000286343	0.000113726
9000	0.299999999999999	0.000836734	-0.000340821	0.000134231
9000	0.199999999999999	0.000916604	-0.000407578	0.0001615
9000	0.0999999999999996	0.00100613	-0.000495795	0.000197292
9000	0	0.00108791	-0.000587944	0.00024137

8900	10	4.24387e-05	-1.31131e-06	6.55654e-06
8900	9.9	5.31676e-05	-1.54973e-06	7.92748e-06
8900	9.8	4.89953e-05	-1.43052e-06	8.07649e-06
8900	9.7	4.12466e-05	-9.53682e-07	7.12278e-06
8900	9.6	3.44517e-05	-7.15259e-07	6.25852e-06
8900	9.5	3.05178e-05	-3.5763e-07	5.75188e-06
8900	9.4	2.82527e-05	-3.5763e-07	5.45385e-06
8900	9.3	2.68222e-05	-3.5763e-07	5.33464e-06
8900	9.2	2.68222e-05	-3.5763e-07	5.30484e-06
8900	9.1	2.74183e-05	-3.5763e-07	5.39425e-06
8900	9	2.87296e-05	-3.5763e-07	5.54326e-06
8900	8.9	3.01601e-05	-4.76841e-07	5.72208e-06
8900	8.8	3.17099e-05	-4.76841e-07	5.93069e-06
8900	8.7	3.36173e-05	-7.15259e-07	6.16911e-06
8900	8.6	3.5763e-05	-7.15259e-07	6.43733e-06
8900	8.5	3.8028e-05	-7.15259e-07	6.70555e-06
8900	8.4	4.05314e-05	-9.53682e-07	7.06318e-06
8900	8.3	4.27964e-05	-1.07289e-06	7.45061e-06
8900	8.2	4.45845e-05	-9.53682e-07	7.74866e-06
8900	8.1	4.63726e-05	-1.31131e-06	7.89767e-06
8900	8	4.79224e-05	-1.31131e-06	8.10629e-06
8900	7.9	4.93529e-05	-1.31131e-06	8.16589e-06
8900	7.8	5.12602e-05	-1.54973e-06	8.1957e-06
8900	7.7	5.26907e-05	-1.43052e-06	8.10629e-06
8900	7.6	5.41213e-05	-1.78815e-06	8.16589e-06
8900	7.5	5.43597e-05	-1.66894e-06	7.98708e-06
8900	7.4	5.42405e-05	-1.66894e-06	7.89767e-06
8900	7.3	5.38828e-05	-1.66894e-06	7.74866e-06
8900	7.2	5.31676e-05	-1.54973e-06	7.62945e-06
8900	7.1	5.16179e-05	-1.54973e-06	7.89767e-06
8900	7	4.99489e-05	-1.54973e-06	8.04669e-06
8900	6.9	4.8876e-05	-1.43052e-06	8.04669e-06
8900	6.8	4.75647e-05	-1.31131e-06	7.86787e-06
8900	6.7	4.63726e-05	-1.43052e-06	7.39101e-06
8900	6.6	4.48229e-05	-1.31131e-06	6.49694e-06
8900	6.5	4.3154e-05	-1.31131e-06	5.87109e-06
8900	6.4	4.12466e-05	-1.07289e-06	5.57306e-06
8900	6.3	3.8624e-05	-9.53682e-07	5.45385e-06
8900	6.2	3.67167e-05	-8.34469e-07	5.51346e-06
8900	6.1	3.52862e-05	-8.34469e-07	5.69227e-06
8900	6	3.38557e-05	-8.34469e-07	6.19891e-06
8900	5.9	3.36173e-05	-7.15259e-07	7.2718e-06
8900	5.8	3.77896e-05	-9.53682e-07	8.61293e-06
8900	5.7	4.3154e-05	-1.1921e-06	9.29838e-06
8900	5.6	4.828e-05	-1.31131e-06	1.0103e-05
8900	5.5	5.19755e-05	-1.66894e-06	1.07289e-05
8900	5.4	5.68631e-05	-2.02657e-06	1.10269e-05
8900	5.3	6.27046e-05	-2.50341e-06	1.15634e-05
8900	5.2	6.91419e-05	-2.98025e-06	1.23978e-05
8900	5.1	7.71289e-05	-3.57629e-06	1.38581e-05
8900	5	8.49967e-05	-4.17235e-06	1.508e-05
8900	4.9	9.09572e-05	-5.00682e-06	1.6004e-05
8900	4.8	9.72752e-05	-5.36445e-06	1.68086e-05
8900	4.7	0.000103593	-6.0797e-06	1.74047e-05
8900	4.6	0.000108839	-6.79496e-06	1.77325e-05
8900	4.5	0.000113726	-7.51021e-06	1.78219e-05
8900	4.4	0.000117302	-7.86787e-06	1.80305e-05
8900	4.3	0.000118375	-8.10629e-06	1.84776e-05
8900	4.2	0.000117183	-8.10629e-06	1.88054e-05
8900	4.1	0.000115395	-7.74866e-06	1.87756e-05
8900	4	0.000112892	-7.62945e-06	1.85968e-05
8900	3.9	0.000109554	-7.39101e-06	1.81795e-05
8900	3.8	0.000106574	-7.15259e-06	1.72557e-05
8900	3.7	0.000104547	-6.91417e-06	1.66e-05
8900	3.6	0.000101209	-6.67575e-06	1.60636e-05
8900	3.5	9.76329e-05	-6.31812e-06	1.42456e-05
8900	3.4	9.13148e-05	-5.60287e-06	1.18316e-05
8900	3.3	8.53543e-05	-4.7684e-06	9.08977e-06
8900	3.2	7.90362e-05	-4.29156e-06	6.91417e-06
8900	3.1	7.16452e-05	-3.6955e-06	5.63267e-06
8900	3	6.41351e-05	-3.09946e-06	3.45708e-06
8900	2.9	5.53133e-05	-2.3842e-06	2.3544e-06
8900	2.8	6.19893e-05	-2.74183e-06	3.18886e-06
8900	2.7	8.33278e-05	-4.29156e-06	8.2553e-06
8900	2.6	0.000109435	-6.91417e-06	1.23978e-05
8900	2.5	0.000130774	-9.29838e-06	1.508e-05
8900	2.4	0.000146032	-1.15634e-05	1.68384e-05
8900	2.3	0.000150085	-1.26362e-05	1.79411e-05
8900	2.2	0.000160695	-1.45436e-05	1.96398e-05
8900	2.1	0.000174643	-1.69278e-05	2.08617e-05
8900	2	0.00018716	-1.94312e-05	2.25903e-05
8900	1.9	0.000207902	-2.33651e-05	2.80143e-05
8900	1.8	0.000227929	-2.76567e-05	3.27232e-05
8900	1.7	0.000245931	-3.21867e-05	3.59716e-05
8900	1.6	0.000263812	-3.69551e-05	3.87433e-05
8900	1.5	0.000287296	-4.30348e-05	4.29454e-05
8900	1.4	0.000317099	-5.10218e-05	4.77436e-05
8900	1.3	0.000341417	-5.82936e-05	5.03066e-05
