# ppms_temperature_set_stable_set	k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "Temperature"	"voltage"	"X"	"Y"	"X"	"Y"
# 34	21
1.75	2	0.000189782	-1.44244e-05	3.66869e-05	-1.37091e-06
1.75	1.9	0.000132442	-6.79496e-06	2.54811e-05	-5.36445e-07
1.75	1.8	0.0001117	-4.7684e-06	2.3544e-05	-4.17234e-07
1.75	1.7	0.000104785	-4.17235e-06	2.32757e-05	-3.5763e-07
1.75	1.6	9.93018e-05	-3.81473e-06	2.27393e-05	-3.27827e-07
1.75	1.5	9.69176e-05	-3.57629e-06	2.24711e-05	-3.27827e-07
1.75	1.4	9.87058e-05	-3.81473e-06	2.27691e-05	-3.27827e-07
1.75	1.3	0.00010252	-3.81473e-06	2.30671e-05	-3.5763e-07
1.75	1.2	0.000105978	-4.17235e-06	2.33055e-05	-4.17234e-07
1.75	1.1	0.000108481	-4.29156e-06	2.34247e-05	-3.87432e-07
1.75	1	0.000112653	-4.7684e-06	2.36036e-05	-3.5763e-07
1.75	0.9	0.000119687	-5.48366e-06	2.37228e-05	-3.87432e-07
1.75	0.8	0.000127555	-6.31812e-06	2.4438e-05	-4.76841e-07
1.75	0.7	0.000133277	-6.91417e-06	2.59877e-05	-5.66248e-07
1.75	0.6	0.000141026	-7.86787e-06	2.78057e-05	-6.85457e-07
1.75	0.5	0.000155688	-9.41759e-06	2.94448e-05	-8.04666e-07
1.75	0.4	0.000167609	-1.12057e-05	3.19781e-05	-9.83484e-07
1.75	0.3	0.000183226	-1.29939e-05	3.52862e-05	-1.2219e-06
1.75	0.2	0.000201703	-1.57357e-05	3.96373e-05	-1.51993e-06
1.75	0.0999999999999999	0.000220419	-1.89544e-05	4.58958e-05	-1.96697e-06
1.75	0	0.000270249	-2.84911e-05	5.48365e-05	-3.06965e-06

2	2	0.000189901	-1.45436e-05	3.66869e-05	-1.37091e-06
2	1.9	0.000132085	-6.67575e-06	2.54811e-05	-5.66248e-07
2	1.8	0.000111461	-4.64919e-06	2.35141e-05	-3.5763e-07
2	1.7	0.000104547	-3.93394e-06	2.32757e-05	-3.87432e-07
2	1.6	9.91826e-05	-3.6955e-06	2.28287e-05	-3.5763e-07
2	1.5	9.66792e-05	-3.6955e-06	2.25307e-05	-3.5763e-07
2	1.4	9.87058e-05	-3.81473e-06	2.27393e-05	-2.98025e-07
2	1.3	0.000102401	-4.05314e-06	2.31267e-05	-3.5763e-07
2	1.2	0.000105858	-4.17235e-06	2.32459e-05	-3.87432e-07
2	1.1	0.000108362	-4.41077e-06	2.34545e-05	-4.17234e-07
2	1	0.000112772	-4.88761e-06	2.3544e-05	-4.17234e-07
2	0.9	0.000119925	-5.48366e-06	2.37526e-05	-4.76841e-07
2	0.8	0.000127674	-6.19891e-06	2.4438e-05	-5.06643e-07
2	0.7	0.000132919	-6.91417e-06	2.60473e-05	-5.36445e-07
2	0.6	0.000141383	-7.86787e-06	2.77461e-05	-6.85457e-07
2	0.5	0.000155807	-9.5368e-06	2.95044e-05	-8.94073e-07
2	0.4	0.000167848	-1.12057e-05	3.20377e-05	-1.04309e-06
2	0.3	0.000183583	-1.32323e-05	3.54054e-05	-1.2517e-06
2	0.2	0.000202061	-1.5855e-05	3.98459e-05	-1.51993e-06
2	0.0999999999999999	0.000221373	-1.9312e-05	4.61044e-05	-2.02657e-06
2	0	0.00027168	-2.84911e-05	5.51345e-05	-3.06965e-06

2.25	2	0.000189782	-1.44244e-05	3.66571e-05	-1.37091e-06
2.25	1.9	0.000131846	-6.67575e-06	2.54811e-05	-5.06643e-07
2.25	1.8	0.000111342	-4.88761e-06	2.35141e-05	-3.87432e-07
2.25	1.7	0.000104428	-4.17235e-06	2.31863e-05	-3.5763e-07
2.25	1.6	9.91826e-05	-3.6955e-06	2.27393e-05	-3.27827e-07
2.25	1.5	9.67984e-05	-3.57629e-06	2.25307e-05	-3.27827e-07
2.25	1.4	9.87058e-05	-3.57629e-06	2.27393e-05	-3.27827e-07
2.25	1.3	0.000102401	-3.93394e-06	2.31267e-05	-3.5763e-07
2.25	1.2	0.000105739	-4.17235e-06	2.32757e-05	-3.5763e-07
2.25	1.1	0.000108362	-4.29156e-06	2.33651e-05	-4.17234e-07
2.25	1	0.000112653	-4.7684e-06	2.35738e-05	-3.5763e-07
2.25	0.9	0.000119687	-5.48366e-06	2.37228e-05	-4.47037e-07
2.25	0.8	0.000127912	-6.31812e-06	2.45274e-05	-5.06643e-07
2.25	0.7	0.000132919	-6.91417e-06	2.60473e-05	-5.36445e-07
2.25	0.6	0.000141502	-7.86787e-06	2.77759e-05	-6.85457e-07
2.25	0.5	0.000156165	-9.77522e-06	2.95342e-05	-8.04666e-07
2.25	0.4	0.000167848	-1.10865e-05	3.20973e-05	-9.83484e-07
2.25	0.3	0.000183822	-1.32323e-05	3.5465e-05	-1.2517e-06
2.25	0.2	0.000202299	-1.5855e-05	3.99055e-05	-1.51993e-06
2.25	0.0999999999999999	0.000221492	-1.94312e-05	4.62534e-05	-2.02657e-06
2.25	0	0.000272157	-2.86103e-05	5.52537e-05	-3.12926e-06

2.5	2	0.000189663	-1.45436e-05	3.66869e-05	-1.37091e-06
2.5	1.9	0.000131846	-6.91417e-06	2.54513e-05	-5.36445e-07
2.5	1.8	0.000111461	-4.7684e-06	2.36036e-05	-3.87432e-07
2.5	1.7	0.000104309	-4.05314e-06	2.31267e-05	-4.17234e-07
2.5	1.6	9.8825e-05	-3.6955e-06	2.27095e-05	-3.5763e-07
2.5	1.5	9.66792e-05	-3.6955e-06	2.25009e-05	-3.27827e-07
2.5	1.4	9.82289e-05	-3.57629e-06	2.27095e-05	-3.5763e-07
2.5	1.3	0.000102282	-3.81473e-06	2.30671e-05	-3.27827e-07
2.5	1.2	0.000105739	-4.17235e-06	2.32757e-05	-4.17234e-07
2.5	1.1	0.000108362	-4.41077e-06	2.33651e-05	-4.17234e-07
2.5	1	0.000112653	-4.7684e-06	2.35738e-05	-4.17234e-07
2.5	0.9	0.000119687	-5.48366e-06	2.37228e-05	-4.17234e-07
2.5	0.8	0.000127674	-6.31812e-06	2.44976e-05	-5.06643e-07
2.5	0.7	0.000133038	-7.03338e-06	2.60175e-05	-6.25852e-07
2.5	0.6	0.000141502	-7.98708e-06	2.77461e-05	-6.85457e-07
2.5	0.5	0.000156165	-9.5368e-06	2.95342e-05	-8.34469e-07
2.5	0.4	0.000167728	-1.09673e-05	3.20377e-05	-9.83484e-07
2.5	0.3	0.000183583	-1.31131e-05	3.54352e-05	-1.2517e-06
