# ppms_temperature_set_stable_set	k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "Temperature"	"voltage"	"X"	"Y"	"X"	"Y"
# 190	21
11	2	0.000186683	-1.39475e-05	3.69551e-05	-1.34111e-06
11	1.9	0.000129581	-6.55654e-06	2.56599e-05	-5.36445e-07
11	1.8	0.000109435	-4.64919e-06	2.31565e-05	-3.87432e-07
11	1.7	0.00010109	-3.81473e-06	2.22625e-05	-3.27827e-07
11	1.6	9.56063e-05	-3.33787e-06	2.17856e-05	-2.68223e-07
11	1.5	9.39374e-05	-3.33787e-06	2.16664e-05	-2.98025e-07
11	1.4	9.57255e-05	-3.21867e-06	2.17856e-05	-2.68223e-07
11	1.3	9.90634e-05	-3.6955e-06	2.21134e-05	-3.27827e-07
11	1.2	0.000103117	-4.05314e-06	2.25009e-05	-3.27827e-07
11	1.1	0.000106693	-4.29156e-06	2.28883e-05	-3.5763e-07
11	1	0.000111461	-4.64919e-06	2.34247e-05	-4.17234e-07
11	0.9	0.000118494	-5.36445e-06	2.40804e-05	-4.76841e-07
11	0.8	0.000126363	-6.0797e-06	2.49447e-05	-5.06643e-07
11	0.7	0.00013137	-6.67575e-06	2.61666e-05	-5.36445e-07
11	0.6	0.000139833	-7.62945e-06	2.77759e-05	-6.55655e-07
11	0.5	0.000154496	-9.29838e-06	2.9862e-05	-8.04666e-07
11	0.4	0.000167013	-1.08481e-05	3.25742e-05	-9.53682e-07
11	0.3	0.000182153	-1.27555e-05	3.62697e-05	-1.2219e-06
11	0.2	0.000202418	-1.57357e-05	4.1187e-05	-1.57953e-06
11	0.0999999999999999	0.000224353	-1.94312e-05	4.78032e-05	-2.08618e-06
11	0	0.000268819	-2.76567e-05	5.63266e-05	-3.03985e-06

12	2	0.000186683	-1.38283e-05	3.70743e-05	-1.31131e-06
12	1.9	0.000129343	-6.31812e-06	2.57493e-05	-5.06643e-07
12	1.8	0.000109315	-4.41077e-06	2.31565e-05	-3.87432e-07
12	1.7	0.000100852	-3.81473e-06	2.22028e-05	-2.98025e-07
12	1.6	9.53679e-05	-3.45708e-06	2.1726e-05	-2.68223e-07
12	1.5	9.3699e-05	-3.21867e-06	2.16068e-05	-2.98025e-07
12	1.4	9.52487e-05	-3.33787e-06	2.1726e-05	-2.98025e-07
12	1.3	9.87058e-05	-3.6955e-06	2.2024e-05	-3.27827e-07
12	1.2	0.000102878	-3.93394e-06	2.24711e-05	-3.27827e-07
12	1.1	0.000106693	-4.29156e-06	2.28883e-05	-3.5763e-07
12	1	0.000111342	-4.64919e-06	2.34247e-05	-3.87432e-07
12	0.9	0.000118256	-5.24524e-06	2.41102e-05	-4.17234e-07
12	0.8	0.000125886	-5.96049e-06	2.50043e-05	-4.76841e-07
12	0.7	0.000131012	-6.55654e-06	2.6256e-05	-5.66248e-07
12	0.6	0.000139714	-7.62945e-06	2.78653e-05	-5.9605e-07
12	0.5	0.000154258	-9.17917e-06	2.99813e-05	-8.04666e-07
12	0.4	0.000167132	-1.09673e-05	3.26934e-05	-1.01329e-06
12	0.3	0.000182391	-1.28747e-05	3.63889e-05	-1.2517e-06
12	0.2	0.000202538	-1.5855e-05	4.13063e-05	-1.57953e-06
12	0.0999999999999999	0.000224472	-1.94312e-05	4.78926e-05	-2.08618e-06
12	0	0.000267269	-2.7299e-05	5.62074e-05	-3.03985e-06

13	2	0.000186444	-1.38283e-05	3.71041e-05	-1.31131e-06
13	1.9	0.000129343	-6.55654e-06	2.57791e-05	-5.06643e-07
13	1.8	0.000109196	-4.64919e-06	2.31863e-05	-3.5763e-07
13	1.7	0.000100494	-3.81473e-06	2.2173e-05	-2.98025e-07
13	1.6	9.53679e-05	-3.45708e-06	2.1726e-05	-2.3842e-07
13	1.5	9.38182e-05	-3.33787e-06	2.15472e-05	-2.68223e-07
13	1.4	9.51295e-05	-3.45708e-06	2.16962e-05	-3.27827e-07
13	1.3	9.84673e-05	-3.6955e-06	2.19644e-05	-3.5763e-07
13	1.2	0.000102759	-3.81473e-06	2.23817e-05	-2.98025e-07
13	1.1	0.000106574	-4.17235e-06	2.28883e-05	-3.87432e-07
13	1	0.000111342	-4.7684e-06	2.34247e-05	-4.17234e-07
13	0.9	0.000118137	-5.36445e-06	2.414e-05	-4.47037e-07
13	0.8	0.000125886	-6.0797e-06	2.51235e-05	-4.47037e-07
13	0.7	0.000131131	-6.55654e-06	2.63156e-05	-5.36445e-07
13	0.6	0.000139714	-7.62945e-06	2.78951e-05	-6.85457e-07
13	0.5	0.000154139	-9.29838e-06	3.00409e-05	-7.74864e-07
13	0.4	0.000167013	-1.08481e-05	3.28424e-05	-9.83484e-07
13	0.3	0.000182391	-1.27555e-05	3.65379e-05	-1.2219e-06
13	0.2	0.000202776	-1.57357e-05	4.14553e-05	-1.60933e-06
13	0.0999999999999999	0.00022471	-1.95504e-05	4.7982e-05	-2.08618e-06
13	0	0.000265839	-2.69414e-05	5.5969e-05	-3.03985e-06

14	2	0.000186444	-1.38283e-05	3.71637e-05	-1.31131e-06
14	1.9	0.000129343	-6.31812e-06	2.58685e-05	-5.36445e-07
14	1.8	0.000109196	-4.52998e-06	2.31565e-05	-3.5763e-07
14	1.7	0.000100255	-3.6955e-06	2.21134e-05	-2.98025e-07
14	1.6	9.52487e-05	-3.33787e-06	2.16068e-05	-2.68223e-07
14	1.5	9.3699e-05	-3.33787e-06	2.14876e-05	-2.68223e-07
14	1.4	9.50103e-05	-3.33787e-06	2.16068e-05	-2.98025e-07
14	1.3	9.82289e-05	-3.57629e-06	2.19644e-05	-3.27827e-07
14	1.2	0.000102282	-3.93394e-06	2.23221e-05	-3.27827e-07
14	1.1	0.000106454	-4.29156e-06	2.28287e-05	-3.5763e-07
14	1	0.000111223	-4.64919e-06	2.34545e-05	-3.5763e-07
14	0.9	0.000118256	-5.36445e-06	2.41996e-05	-3.87432e-07
14	0.8	0.000125886	-6.0797e-06	2.51831e-05	-4.76841e-07
14	0.7	0.00013137	-6.55654e-06	2.64646e-05	-5.66248e-07
14	0.6	0.000139833	-7.51021e-06	2.80441e-05	-6.55655e-07
14	0.5	0.0001539	-9.17917e-06	3.01601e-05	-8.04666e-07
14	0.4	0.000167252	-1.08481e-05	3.29616e-05	-9.83484e-07
14	0.3	0.00018263	-1.28747e-05	3.66869e-05	-1.2517e-06
14	0.2	0.000202776	-1.5855e-05	4.15745e-05	-1.60933e-06
14	0.0999999999999999	0.000224472	-1.95504e-05	4.80118e-05	-2.14578e-06
14	0	0.00026417	-2.6703e-05	5.57902e-05	-2.95044e-06

15	2	0.000186206	-1.37091e-05	3.72531e-05	-1.31131e-06
15	1.9	0.000129224	-6.43733e-06	2.59281e-05	-5.06643e-07
15	1.8	0.000109077	-4.41077e-06	2.31565e-05	-3.87432e-07
15	1.7	0.000100255	-3.6955e-06	2.20538e-05	-2.98025e-07
15	1.6	9.52487e-05	-3.45708e-06	2.1577e-05	-2.68223e-07
15	1.5	9.38182e-05	-3.33787e-06	2.1428e-05	-2.3842e-07
15	1.4	9.50103e-05	-3.33787e-06	2.15472e-05	-2.68223e-07
15	1.3	9.82289e-05	-3.57629e-06	2.19048e-05	-2.68223e-07
15	1.2	0.000102282	-3.93394e-06	2.22923e-05	-3.27827e-07
15	1.1	0.000106335	-4.29156e-06	2.27989e-05	-3.5763e-07
15	1	0.000111223	-4.64919e-06	2.34843e-05	-3.87432e-07
15	0.9	0.000118018	-5.24524e-06	2.42294e-05	-4.47037e-07
15	0.8	0.000126005	-6.0797e-06	2.52129e-05	-5.06643e-07
15	0.7	0.00013125	-6.67575e-06	2.64646e-05	-5.36445e-07
15	0.6	0.000139953	-7.74866e-06	2.81633e-05	-6.25852e-07
15	0.5	0.000154019	-9.17917e-06	3.02495e-05	-7.74864e-07
15	0.4	0.00016749	-1.07289e-05	3.31106e-05	-9.83484e-07
15	0.3	0.000182987	-1.28747e-05	3.68657e-05	-1.2219e-06
15	0.2	0.000202895	-1.57357e-05	4.17235e-05	-1.60933e-06
15	0.0999999999999999	0.000224472	-1.9312e-05	4.80118e-05	-2.14578e-06
15	0	0.000262382	-2.62262e-05	5.54922e-05	-2.98025e-06

16	2	0.000185371	-1.34707e-05	3.71637e-05	-1.31131e-06
16	1.9	0.000129224	-6.43733e-06	2.59579e-05	-5.06643e-07
16	1.8	0.000108839	-4.52998e-06	2.31267e-05	-3.5763e-07
16	1.7	9.97786e-05	-3.81473e-06	2.2024e-05	-2.98025e-07
16	1.6	9.50103e-05	-3.57629e-06	2.15174e-05	-2.3842e-07
16	1.5	9.3699e-05	-3.21867e-06	2.1428e-05	-2.3842e-07
16	1.4	9.48911e-05	-3.57629e-06	2.15174e-05	-2.68223e-07
16	1.3	9.79905e-05	-3.57629e-06	2.18154e-05	-2.68223e-07
16	1.2	0.000101805	-3.81473e-06	2.22625e-05	-3.27827e-07
16	1.1	0.000105978	-4.29156e-06	2.28287e-05	-3.27827e-07
16	1	0.000110984	-4.64919e-06	2.34843e-05	-3.87432e-07
16	0.9	0.000117898	-5.36445e-06	2.4289e-05	-4.17234e-07
16	0.8	0.000125767	-6.0797e-06	2.53023e-05	-5.06643e-07
16	0.7	0.00013137	-6.67575e-06	2.65838e-05	-5.36445e-07
16	0.6	0.00014031	-7.62945e-06	2.82229e-05	-5.9605e-07
16	0.5	0.000154139	-9.17917e-06	3.03687e-05	-8.04666e-07
16	0.4	0.00016749	-1.08481e-05	3.32298e-05	-9.53682e-07
16	0.3	0.000182987	-1.28747e-05	3.69551e-05	-1.2219e-06
16	0.2	0.000202895	-1.56165e-05	4.18129e-05	-1.60933e-06
16	0.0999999999999999	0.000224353	-1.9312e-05	4.79224e-05	-2.05637e-06
16	0	0.000260832	-2.6107e-05	5.52239e-05	-2.92064e-06

17	2	0.000185967	-1.34707e-05	3.72829e-05	-1.31131e-06
17	1.9	0.000129343	-6.31812e-06	2.60473e-05	-5.36445e-07
17	1.8	0.000108958	-4.52998e-06	2.31565e-05	-3.5763e-07
17	1.7	9.95402e-05	-3.93394e-06	2.19942e-05	-3.27827e-07
17	1.6	9.50103e-05	-3.33787e-06	2.14876e-05	-2.68223e-07
17	1.5	9.3699e-05	-3.21867e-06	2.13386e-05	-2.68223e-07
17	1.4	9.50103e-05	-3.33787e-06	2.14876e-05	-2.3842e-07
17	1.3	9.79905e-05	-3.45708e-06	2.17856e-05	-2.98025e-07
17	1.2	0.000102163	-3.93394e-06	2.22326e-05	-2.68223e-07
17	1.1	0.000106216	-4.29156e-06	2.28287e-05	-3.5763e-07
17	1	0.000111223	-4.7684e-06	2.35141e-05	-3.87432e-07
17	0.9	0.000118256	-5.36445e-06	2.43188e-05	-4.17234e-07
17	0.8	0.000125767	-5.96049e-06	2.53619e-05	-4.76841e-07
17	0.7	0.000131489	-6.67575e-06	2.66732e-05	-5.06643e-07
17	0.6	0.00014031	-7.62945e-06	2.83421e-05	-6.25852e-07
17	0.5	0.000154019	-9.29838e-06	3.05476e-05	-7.74864e-07
17	0.4	0.000167609	-1.08481e-05	3.33192e-05	-9.83484e-07
17	0.3	0.000183226	-1.29939e-05	3.71041e-05	-1.2219e-06
17	0.2	0.000202895	-1.56165e-05	4.18427e-05	-1.57953e-06
17	0.0999999999999999	0.000223876	-1.9312e-05	4.78926e-05	-2.08618e-06
17	0	0.000259163	-2.57493e-05	5.49259e-05	-2.89084e-06

18	2	0.00018561	-1.34707e-05	3.74319e-05	-1.28151e-06
18	1.9	0.000129581	-6.43733e-06	2.61368e-05	-5.06643e-07
18	1.8	0.000109196	-4.41077e-06	2.31863e-05	-3.87432e-07
18	1.7	0.000100017	-3.6955e-06	2.19644e-05	-2.98025e-07
18	1.6	9.50103e-05	-3.33787e-06	2.14578e-05	-2.68223e-07
18	1.5	9.38182e-05	-3.21867e-06	2.13088e-05	-2.68223e-07
18	1.4	9.50103e-05	-3.33787e-06	2.1428e-05	-2.68223e-07
18	1.3	9.79905e-05	-3.6955e-06	2.17856e-05	-2.3842e-07
18	1.2	0.000102044	-4.05314e-06	2.22326e-05	-2.68223e-07
18	1.1	0.000106216	-4.29156e-06	2.28287e-05	-3.27827e-07
18	1	0.000111342	-4.7684e-06	2.35141e-05	-3.87432e-07
18	0.9	0.000118375	-5.36445e-06	2.44082e-05	-4.17234e-07
18	0.8	0.000126005	-5.96049e-06	2.54513e-05	-5.06643e-07
18	0.7	0.000131727	-6.67575e-06	2.67626e-05	-5.66248e-07
18	0.6	0.00014031	-7.62945e-06	2.84613e-05	-6.55655e-07
18	0.5	0.000154139	-9.17917e-06	3.0637e-05	-8.04666e-07
18	0.4	0.000167848	-1.08481e-05	3.34682e-05	-9.83484e-07
18	0.3	0.000183345	-1.28747e-05	3.71935e-05	-1.2517e-06
18	0.2	0.000202776	-1.56165e-05	4.19023e-05	-1.57953e-06
18	0.0999999999999999	0.000223638	-1.91928e-05	4.78628e-05	-2.08618e-06
18	0	0.000257494	-2.55109e-05	5.45683e-05	-2.80143e-06

19	2	0.000185491	-1.33515e-05	3.74618e-05	-1.34111e-06
19	1.9	0.000129581	-6.19891e-06	2.62262e-05	-5.36445e-07
19	1.8	0.000109077	-4.41077e-06	2.31863e-05	-3.87432e-07
19	1.7	9.97786e-05	-3.81473e-06	2.19942e-05	-2.98025e-07
19	1.6	9.50103e-05	-3.33787e-06	2.1428e-05	-2.3842e-07
19	1.5	9.3699e-05	-3.21867e-06	2.13088e-05	-2.68223e-07
19	1.4	9.50103e-05	-3.33787e-06	2.13982e-05	-2.68223e-07
19	1.3	9.77521e-05	-3.6955e-06	2.17558e-05	-2.68223e-07
19	1.2	0.000102044	-3.93394e-06	2.22028e-05	-2.98025e-07
19	1.1	0.000106216	-4.17235e-06	2.27989e-05	-3.27827e-07
19	1	0.000111223	-4.7684e-06	2.35738e-05	-3.87432e-07
19	0.9	0.000118256	-5.36445e-06	2.44082e-05	-4.17234e-07
19	0.8	0.000125767	-6.0797e-06	2.55109e-05	-4.76841e-07
19	0.7	0.000131846	-6.67575e-06	2.68818e-05	-5.36445e-07
19	0.6	0.000140429	-7.62945e-06	2.86103e-05	-6.25852e-07
19	0.5	0.000153781	-9.17917e-06	3.07264e-05	-7.74864e-07
19	0.4	0.000167728	-1.07289e-05	3.35278e-05	-9.83484e-07
19	0.3	0.000183345	-1.28747e-05	3.72531e-05	-1.2219e-06
19	0.2	0.000202657	-1.56165e-05	4.19321e-05	-1.57953e-06
19	0.0999999999999999	0.000223042	-1.90736e-05	4.77138e-05	-2.05637e-06
19	0	0.000255706	-2.51533e-05	5.42405e-05	-2.77163e-06

20	2	0.000185014	-1.33515e-05	3.74021e-05	-1.28151e-06
20	1.9	0.000129581	-6.43733e-06	2.62858e-05	-5.06643e-07
20	1.8	0.000109077	-4.52998e-06	2.31863e-05	-4.17234e-07
20	1.7	9.97786e-05	-3.81473e-06	2.19942e-05	-2.68223e-07
20	1.6	9.51295e-05	-3.33787e-06	2.1428e-05	-2.68223e-07
20	1.5	9.39374e-05	-3.33787e-06	2.13088e-05	-2.3842e-07
20	1.4	9.48911e-05	-3.57629e-06	2.14578e-05	-2.68223e-07
20	1.3	9.79905e-05	-3.57629e-06	2.17558e-05	-2.68223e-07
20	1.2	0.000101924	-3.81473e-06	2.22326e-05	-3.27827e-07
20	1.1	0.000106216	-4.29156e-06	2.27989e-05	-2.68223e-07
20	1	0.000111342	-4.64919e-06	2.3544e-05	-3.5763e-07
20	0.9	0.000118256	-5.36445e-06	2.44976e-05	-4.47037e-07
