# k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "voltage"	"X"	"Y"	"X"	"Y"
# 221
22	2.08617e-05	1.1921e-07	2.62262e-06	0
21.9	2.06233e-05	0	2.65242e-06	-2.98025e-08
21.8	2.08617e-05	-1.1921e-07	2.59282e-06	0
21.7	2.08617e-05	1.1921e-07	2.62262e-06	0
21.6	2.06233e-05	1.1921e-07	2.62262e-06	0
21.5	2.08617e-05	1.1921e-07	2.59282e-06	0
21.4	2.11002e-05	0	2.62262e-06	0
21.3	2.0981e-05	0	2.62262e-06	0
21.2	2.0981e-05	0	2.62262e-06	0
21.1	2.08617e-05	1.1921e-07	2.62262e-06	0
21	2.0981e-05	1.1921e-07	2.62262e-06	0
20.9	2.0981e-05	1.1921e-07	2.62262e-06	0
20.8	2.11002e-05	0	2.62262e-06	2.98025e-08
20.7	2.11002e-05	1.1921e-07	2.71203e-06	0
20.6	2.11002e-05	1.1921e-07	2.65242e-06	0
20.5	2.0981e-05	1.1921e-07	2.68222e-06	0
20.4	2.12194e-05	1.1921e-07	2.68222e-06	0
20.3	2.12194e-05	0	2.65242e-06	0
20.2	2.13386e-05	1.1921e-07	2.68222e-06	0
20.1	2.12194e-05	0	2.68222e-06	2.98025e-08
20	2.13386e-05	1.1921e-07	2.71203e-06	0
19.9	2.14578e-05	1.1921e-07	2.68222e-06	0
19.8	2.1577e-05	0	2.65242e-06	-2.98025e-08
19.7	2.1577e-05	1.1921e-07	2.71203e-06	0
19.6	2.1577e-05	0	2.74183e-06	0
19.5	2.1577e-05	0	2.71203e-06	0
19.4	2.16962e-05	1.1921e-07	2.71203e-06	0
19.3	2.18154e-05	1.1921e-07	2.77163e-06	2.98025e-08
19.2	2.18154e-05	0	2.77163e-06	0
19.1	2.16962e-05	0	2.74183e-06	0
19	2.18154e-05	0	2.77163e-06	2.98025e-08
18.9	2.18154e-05	0	2.77163e-06	0
18.8	2.20538e-05	0	2.77163e-06	0
18.7	2.20538e-05	1.1921e-07	2.77163e-06	0
18.6	2.2173e-05	1.1921e-07	2.77163e-06	2.98025e-08
18.5	2.20538e-05	-1.1921e-07	2.77163e-06	0
18.4	2.2173e-05	-1.1921e-07	2.77163e-06	0
18.3	2.2173e-05	0	2.80143e-06	0
18.2	2.22923e-05	0	2.83124e-06	2.98025e-08
18.1	2.22923e-05	0	2.83124e-06	2.98025e-08
18	2.2173e-05	0	2.83124e-06	0
17.9	2.22923e-05	1.1921e-07	2.86104e-06	-2.98025e-08
17.8	2.25307e-05	1.1921e-07	2.83124e-06	0
17.7	2.25307e-05	1.1921e-07	2.89084e-06	-5.96051e-08
17.6	2.25307e-05	1.1921e-07	2.92064e-06	0
17.5	2.25307e-05	0	2.86104e-06	0
17.4	2.26499e-05	1.1921e-07	2.89084e-06	0
17.3	2.27691e-05	1.1921e-07	2.92064e-06	0
17.2	2.26499e-05	0	2.86104e-06	0
17.1	2.27691e-05	0	2.92064e-06	0
17	2.28883e-05	0	2.89084e-06	0
16.9	2.28883e-05	0	2.92064e-06	0
16.8	2.27691e-05	1.1921e-07	2.95044e-06	0
16.7	2.31267e-05	1.1921e-07	2.98025e-06	0
16.6	2.31267e-05	0	2.98025e-06	0
16.5	2.31267e-05	0	2.98025e-06	0
16.4	2.31267e-05	0	2.98025e-06	0
16.3	2.31267e-05	0	2.98025e-06	-2.98025e-08
16.2	2.32459e-05	0	3.01005e-06	0
16.1	2.33651e-05	1.1921e-07	3.01005e-06	0
16	2.34843e-05	0	3.01005e-06	2.98025e-08
15.9	2.33651e-05	0	3.01005e-06	0
15.8	2.34843e-05	-1.1921e-07	3.03985e-06	0
15.7	2.36036e-05	0	3.06965e-06	-5.96051e-08
15.6	2.3842e-05	0	3.03985e-06	0
15.5	2.37228e-05	-1.1921e-07	3.06965e-06	0
15.4	2.37228e-05	0	3.09946e-06	0
15.3	2.3842e-05	-1.1921e-07	3.09946e-06	2.98025e-08
15.2	2.37228e-05	0	3.09946e-06	0
15.1	2.40804e-05	0	3.12926e-06	2.98025e-08
15	2.40804e-05	0	3.15906e-06	0
14.9	2.41996e-05	-1.1921e-07	3.12926e-06	2.98025e-08
14.8	2.41996e-05	0	3.15906e-06	0
14.7	2.43188e-05	1.1921e-07	3.15906e-06	2.98025e-08
14.6	2.43188e-05	0	3.15906e-06	-2.98025e-08
14.5	2.4438e-05	1.1921e-07	3.18886e-06	2.98025e-08
14.4	2.4438e-05	-1.1921e-07	3.21867e-06	2.98025e-08
14.3	2.4438e-05	-1.1921e-07	3.24847e-06	0
14.2	2.4438e-05	1.1921e-07	3.24847e-06	0
