# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 601
-15	4.33998e-07	1.67639e-08
-14.95	3.53904e-07	-2.23519e-08
-14.9	4.07921e-07	-4.65664e-08
-14.85	4.84291e-07	7.0781e-08
-14.8	4.95467e-07	1.49013e-08
-14.75	3.78119e-07	-5.02916e-08
-14.7	4.52625e-07	2.98025e-08
-14.65	4.04196e-07	-7.45064e-09
-14.6	4.60075e-07	-5.02916e-08
-14.55	4.61938e-07	-2.79398e-08
-14.5	2.70085e-07	0
-14.45	4.41449e-07	3.35278e-08
-14.4	4.89879e-07	5.96051e-08
-14.35	5.0478e-07	1.49013e-08
-14.3	5.2527e-07	-4.65664e-08
-14.25	4.50762e-07	4.09784e-08
-14.2	5.06643e-07	-5.21543e-08
-14.15	5.14094e-07	1.30386e-08
-14.1	5.2527e-07	-2.04892e-08
-14.05	5.36445e-07	2.60771e-08
-14	5.75561e-07	1.67639e-08
-13.95	5.69973e-07	2.04892e-08
-13.9	5.53209e-07	-2.98025e-08
-13.85	6.51929e-07	2.98025e-08
-13.8	6.64968e-07	-4.28411e-08
-13.75	7.43199e-07	3.72532e-09
-13.7	7.11534e-07	-2.60771e-08
-13.65	8.1398e-07	3.72531e-08
-13.6	9.35052e-07	5.58796e-09
-13.55	1.20141e-06	-1.30386e-08
-13.5	1.51806e-06	-5.58796e-09
-13.45	1.58139e-06	2.23519e-08
-13.4	1.54228e-06	-1.67639e-08
-13.35	1.46777e-06	-1.86266e-08
-13.3	1.35043e-06	4.09784e-08
-13.25	1.39327e-06	3.16652e-08
-13.2	1.41934e-06	-2.79398e-08
-13.15	1.35974e-06	1.11759e-08
-13.1	1.38582e-06	3.72532e-09
-13.05	1.38209e-06	-5.58796e-08
-13	1.45473e-06	-5.58796e-09
-12.95	1.44728e-06	2.98025e-08
-12.9	1.45287e-06	5.58796e-08
-12.85	1.40817e-06	3.53905e-08
-12.8	1.39327e-06	-1.45287e-07
-12.75	1.43611e-06	5.96051e-08
-12.7	1.59629e-06	-5.58796e-09
-12.65	1.43052e-06	3.16652e-08
-12.6	1.24798e-06	-1.88128e-07
-12.55	1.49012e-06	1.09897e-07
-12.5	1.47708e-06	-3.72532e-09
-12.45	1.50875e-06	-4.47037e-08
-12.4	1.42121e-06	-3.91158e-08
-12.35	1.41189e-06	-2.23519e-08
-12.3	1.43611e-06	5.02916e-08
-12.25	1.40258e-06	3.35278e-08
-12.2	1.45846e-06	1.30386e-08
-12.15	1.41189e-06	1.67639e-08
-12.1	1.32994e-06	-1.11759e-08
-12.05	1.49944e-06	3.53905e-08
-12	1.48454e-06	-1.17347e-07
-11.95	1.55159e-06	-4.09784e-08
-11.9	1.46591e-06	-5.21543e-08
-11.85	1.5609e-06	3.16652e-08
-11.8	1.57022e-06	-8.00942e-08
-11.75	1.60933e-06	-5.40169e-08
-11.7	1.60747e-06	1.30386e-08
-11.65	1.73972e-06	-2.42145e-08
-11.6	1.75462e-06	-3.16652e-08
-11.55	1.79187e-06	1.49013e-08
-11.5	1.81795e-06	4.28411e-08
-11.45	1.76021e-06	-5.77422e-08
-11.4	1.68384e-06	-1.28523e-07
-11.35	1.56835e-06	2.04892e-08
-11.3	1.50316e-06	2.60771e-08
-11.25	1.51248e-06	7.63689e-08
-11.2	1.45473e-06	4.09784e-08
-11.15	1.40258e-06	8.19568e-08
-11.1	1.49571e-06	3.72532e-09
-11.05	1.31503e-06	1.28523e-07
-11	1.30758e-06	5.02916e-08
-10.95	1.35229e-06	-2.23519e-08
-10.9	1.27219e-06	5.02916e-08
-10.85	1.20328e-06	-5.58796e-09
-10.8	1.16975e-06	-1.30386e-08
-10.75	1.25543e-06	-9.31328e-09
-10.7	1.30945e-06	2.60771e-08
-10.65	1.13995e-06	2.04892e-08
-10.6	1.10456e-06	1.30386e-08
-10.55	1.13995e-06	-5.58796e-09
-10.5	1.12132e-06	-2.04892e-07
-10.45	1.13063e-06	1.99304e-07
-10.4	1.09897e-06	1.67639e-08
-10.35	1.15485e-06	-1.86266e-09
-10.3	1.19769e-06	0
-10.25	1.16789e-06	-3.16652e-08
-10.2	1.17906e-06	-2.60771e-08
-10.15	1.1772e-06	0
-10.1	1.07662e-06	1.52738e-07
-10.05	1.23308e-06	3.16652e-08
-10	1.19396e-06	-7.26436e-08
-9.95	1.16602e-06	0
-9.9	1.02819e-06	-2.98025e-08
-9.85	1.18837e-06	2.42145e-08
-9.8	1.3318e-06	-1.11759e-07
-9.75	1.20328e-06	2.60771e-08
-9.7	1.24984e-06	2.19793e-07
-9.65	1.34297e-06	-5.40169e-08
-9.6	1.26847e-06	-4.8429e-08
-9.55	1.21818e-06	6.14677e-08
-9.5	1.24612e-06	5.58796e-08
-9.45	1.11014e-06	7.82316e-08
-9.4	9.74171e-07	-1.67639e-08
-9.35	1.15485e-06	-1.80677e-07
-9.3	9.18288e-07	7.45063e-08
-9.25	1.0822e-06	-2.01167e-07
-9.2	8.99661e-07	-8.75448e-08
-9.15	1.00956e-06	1.22935e-07
-9.1	8.2143e-07	-4.09784e-08
-9.05	1.02819e-06	-1.30386e-08
-9	1.09524e-06	-1.58326e-07
-8.95	1.09711e-06	1.84403e-07
-8.9	1.12132e-06	-5.02916e-08
-8.85	9.74171e-07	3.72532e-09
-8.8	1.24425e-06	1.73227e-07
-8.75	1.25729e-06	-2.25381e-07
-8.7	8.4937e-07	-1.04309e-07
-8.65	1.12877e-06	-2.98025e-07
-8.6	1.09897e-06	4.65664e-08
-8.55	1.10642e-06	-3.33415e-07
-8.5	1.24239e-06	-3.6508e-07
-8.45	1.02632e-06	-6.89183e-08
-8.4	1.11946e-06	1.11759e-08
-8.35	1.14367e-06	-1.97441e-07
-8.3	1.19769e-06	-6.70557e-08
-8.25	1.07289e-06	-3.35278e-08
-8.2	1.11201e-06	-3.91158e-08
-8.15	1.03564e-06	1.58326e-07
-8.1	1.13995e-06	-3.72532e-09
-8.05	1.10456e-06	1.86266e-08
-8	1.29455e-06	-1.26661e-07
-7.95	1.10642e-06	-6.14677e-08
-7.9	1.1623e-06	-7.82316e-08
-7.85	1.14181e-06	-5.58796e-09
-7.8	1.14367e-06	-5.58796e-09
-7.75	1.06917e-06	5.02916e-08
-7.7	1.06358e-06	4.28411e-08
-7.65	1.1325e-06	-1.56463e-07
-7.6	1.1772e-06	-5.58796e-09
-7.55	9.90934e-07	2.60772e-07
-7.5	1.03936e-06	-5.96051e-08
-7.45	1.04495e-06	-9.31328e-09
-7.4	1.26661e-06	6.70557e-08
-7.35	1.17161e-06	-3.59492e-07
-7.3	1.31317e-06	3.16652e-08
-7.25	7.91628e-07	-3.35278e-08
-7.2	1.15485e-06	-6.89183e-08
-7.15	1.46218e-06	5.96051e-08
-7.1	1.23308e-06	3.12926e-07
-7.05	1.19769e-06	-8.00942e-08
-7	1.31317e-06	-1.22935e-07
-6.95	1.29082e-06	2.86849e-07
-6.9	1.1772e-06	1.39699e-07
-6.85	1.39885e-06	-6.14677e-08
-6.8	1.48826e-06	-1.50875e-07
-6.75	1.53296e-06	1.49013e-08
-6.7	1.38582e-06	-6.5193e-08
-6.65	1.52738e-06	-2.60771e-08
-6.6	1.57394e-06	1.49013e-08
-6.55	1.5609e-06	1.49013e-08
-6.5	1.49571e-06	-6.89183e-08
-6.45	1.58884e-06	-7.45064e-09
-6.4	1.65404e-06	-7.26436e-08
-6.35	1.6857e-06	-4.28411e-08
-6.3	1.65776e-06	-1.67639e-08
-6.25	1.92785e-06	3.72532e-09
-6.2	1.82167e-06	1.49013e-08
-6.15	1.8105e-06	-2.79398e-08
-6.1	1.70805e-06	0
-6.05	1.63541e-06	-2.23519e-08
-6	1.60933e-06	-6.5193e-08
-5.95	1.67453e-06	9.49954e-08
-5.9	1.63541e-06	5.58796e-09
-5.85	1.58326e-06	2.60771e-08
-5.8	1.69688e-06	-1.67639e-08
-5.75	1.53483e-06	2.79398e-08
-5.7	1.57208e-06	-5.21543e-08
-5.65	1.50502e-06	-6.33304e-08
-5.6	1.45473e-06	1.09897e-07
-5.55	1.38395e-06	1.11759e-08
-5.5	1.37836e-06	6.5193e-08
-5.45	1.23494e-06	-8.00942e-08
-5.4	1.23494e-06	3.16652e-08
-5.35	1.25916e-06	5.96051e-08
-5.3	1.1921e-06	1.15484e-07
-5.25	1.21631e-06	-1.43425e-07
-5.2	1.10642e-06	3.72532e-09
-5.15	1.15112e-06	-7.63689e-08
-5.1	1.2368e-06	7.45064e-09
-5.05	1.21818e-06	-9.6858e-08
-5	1.18837e-06	-2.42145e-08
-4.95	1.09897e-06	-6.5193e-08
-4.9	1.12318e-06	1.30386e-08
-4.85	8.8476e-07	2.71948e-07
-4.8	1.12132e-06	1.49013e-07
-4.75	1.05426e-06	7.63689e-08
-4.7	9.64857e-07	5.21543e-08
-4.65	1.12318e-06	-1.86266e-09
-4.6	1.09152e-06	6.5193e-08
-4.55	1.1325e-06	8.56821e-08
-4.5	1.09524e-06	1.58326e-07
-4.45	1.23867e-06	1.45287e-07
-4.4	1.13622e-06	-7.45064e-09
-4.35	1.03936e-06	-5.02916e-08
-4.3	1.04495e-06	-3.53905e-08
-4.25	1.29641e-06	3.16652e-08
-4.2	1.26661e-06	-3.35278e-08
-4.15	1.12691e-06	9.31328e-09
-4.1	1.27219e-06	8.75448e-08
-4.05	1.15671e-06	5.21543e-08
-4	1.22935e-06	-7.63689e-08
-3.95	1.17906e-06	2.23519e-08
-3.9	1.2368e-06	-2.42145e-08
-3.85	1.22563e-06	-2.42145e-08
-3.8	1.16975e-06	-5.21543e-08
-3.75	1.15671e-06	-1.67639e-08
-3.7	1.16416e-06	1.49013e-08
-3.65	1.16044e-06	0
-3.6	1.32249e-06	1.30386e-08
-3.55	1.19769e-06	-2.98025e-08
-3.5	1.32435e-06	1.04309e-07
-3.45	1.34111e-06	-2.42145e-08
-3.4	1.36346e-06	-3.72532e-09
-3.35	1.43983e-06	-1.11759e-08
-3.3	1.41003e-06	-8.94074e-08
-3.25	1.35601e-06	6.70557e-08
-3.2	1.41189e-06	5.96051e-08
-3.15	1.36905e-06	5.96051e-08
-3.1	1.49571e-06	4.65664e-08
-3.05	1.45846e-06	-2.42145e-08
-3	1.51993e-06	3.72532e-09
-2.95	1.27592e-06	7.82316e-08
-2.9	1.35788e-06	5.21543e-08
-2.85	1.60747e-06	9.12701e-08
-2.8	1.48826e-06	-1.45287e-07
-2.75	1.68198e-06	3.72531e-08
-2.7	1.72109e-06	9.87206e-08
-2.65	1.97628e-06	1.56463e-07
-2.6	1.89804e-06	-7.45064e-09
-2.55	1.79001e-06	1.13622e-07
-2.5	1.89804e-06	-1.86266e-09
-2.45	1.97256e-06	-3.35278e-08
-2.4	1.97628e-06	-7.0781e-08
-2.35	2.02657e-06	-1.11759e-08
-2.3	1.99863e-06	-4.09784e-08
-2.25	1.93717e-06	0
-2.2	1.94462e-06	3.72532e-09
-2.15	2.00422e-06	-4.8429e-08
-2.1	2.01912e-06	-1.49013e-08
-2.05	1.88687e-06	-1.1921e-07
-2	2.03589e-06	-5.58796e-09
-1.95	1.99677e-06	-6.5193e-08
-1.9	2.0154e-06	5.02916e-08
-1.85	1.91109e-06	5.02916e-08
-1.8	1.9502e-06	-4.47037e-08
-1.75	1.99491e-06	3.72531e-08
-1.7	1.95207e-06	8.75448e-08
-1.65	2.0303e-06	1.49013e-08
-1.6	2.00795e-06	-1.11759e-08
-1.55	2.15882e-06	-1.30386e-08
-1.5	2.17558e-06	5.96051e-08
-1.45	2.23146e-06	-5.02916e-08
-1.4	2.3395e-06	-1.28523e-07
-1.35	2.4792e-06	-3.35278e-08
-1.3	2.57605e-06	-4.8429e-08
-1.25	2.55184e-06	-7.45064e-09
-1.2	2.62448e-06	1.67639e-08
-1.15	2.75487e-06	-3.53905e-08
-1.1	2.85731e-06	-8.00942e-08
-1.05	2.97093e-06	-4.65664e-08
-1	3.21494e-06	-1.11759e-08
-0.949999999999999	3.3714e-06	-5.21543e-08
-0.899999999999999	3.42356e-06	-6.5193e-08
-0.85	3.57629e-06	0
-0.799999999999999	3.8259e-06	-9.87206e-08
-0.75	4.09226e-06	-3.16652e-08
-0.699999999999999	4.12579e-06	-5.40169e-08
-0.649999999999999	4.08854e-06	-2.42145e-08
-0.6	4.16304e-06	-1.30386e-08
-0.549999999999999	4.29156e-06	3.72532e-09
-0.5	4.34931e-06	-8.56821e-08
-0.449999999999999	4.57469e-06	-3.35278e-08
-0.399999999999999	4.43126e-06	-6.89183e-08
-0.35	4.04011e-06	-1.02446e-07
-0.299999999999999	3.59119e-06	-8.00942e-08
-0.25	3.35278e-06	-4.09784e-08
-0.199999999999999	3.18514e-06	-6.5193e-08
-0.149999999999999	2.96348e-06	-5.21543e-08
-0.0999999999999996	2.75487e-06	2.23519e-08
-0.0499999999999989	2.71389e-06	-3.53905e-08
0	2.65242e-06	-5.40169e-08
0.0500000000000007	2.65242e-06	-1.86266e-08
0.100000000000001	2.67105e-06	1.30386e-08
0.15	2.72506e-06	-1.49013e-08
0.200000000000001	2.8331e-06	-3.91158e-08
0.25	2.8331e-06	-3.16652e-08
0.300000000000001	2.90015e-06	-3.35278e-08
0.350000000000001	2.86476e-06	-3.91158e-08
0.4	3.07152e-06	7.45064e-09
0.450000000000001	3.1423e-06	-3.16652e-08
0.5	3.13298e-06	-1.49013e-08
0.550000000000001	3.10318e-06	-3.35278e-08
0.600000000000001	3.19631e-06	-3.35278e-08
0.65	3.40493e-06	-3.16652e-08
0.700000000000001	3.58561e-06	5.58796e-09
0.75	3.68619e-06	-5.40169e-08
0.800000000000001	3.77932e-06	-6.33304e-08
0.850000000000001	3.55394e-06	-2.23519e-08
0.9	3.59678e-06	3.91158e-08
0.950000000000001	3.87433e-06	-6.14677e-08
1	4.36979e-06	-5.58796e-08
1.05	4.69762e-06	-1.49013e-08
1.1	4.9528e-06	-3.91158e-08
1.15	5.11485e-06	-6.14677e-08
1.2	5.26386e-06	-1.67639e-08
1.25	5.2918e-06	-3.53905e-08
1.3	5.27877e-06	-5.58796e-09
1.35	5.28994e-06	-6.70557e-08
1.4	5.26573e-06	-9.31327e-08
1.45	5.14466e-06	-1.13622e-07
1.5	5.24338e-06	-4.47037e-08
1.55	5.05711e-06	-2.60771e-08
1.6	3.87061e-06	-6.14677e-08
1.65	3.22798e-06	3.72532e-09
1.7	2.60772e-06	-4.09784e-08
1.75	2.36371e-06	-1.00583e-07
1.8	1.99863e-06	5.58796e-09
1.85	1.74158e-06	9.31328e-09
1.9	1.60374e-06	2.42145e-08
1.95	1.52365e-06	7.45064e-09
2	1.50875e-06	3.72532e-09
2.05	1.40817e-06	4.09784e-08
2.1	1.41189e-06	1.67639e-08
2.15	1.32807e-06	-3.53905e-08
2.2	1.23494e-06	-2.23519e-08
2.25	1.12691e-06	2.23519e-08
2.3	1.21259e-06	4.65664e-08
2.35	1.18837e-06	-6.70557e-08
2.4	1.12877e-06	-4.65664e-08
2.45	1.05799e-06	2.98025e-08
2.5	1.10828e-06	-4.65664e-08
2.55	9.18288e-07	4.28411e-08
2.6	1.06544e-06	-9.31328e-09
2.65	9.25738e-07	1.02446e-07
2.7	9.10837e-07	-5.58796e-09
2.75	9.22013e-07	-2.60771e-08
2.8	9.46227e-07	-5.21543e-08
2.85	9.38777e-07	-3.16652e-08
2.9	8.23293e-07	-3.91158e-08
2.95	8.36331e-07	-3.35278e-08
3	7.5065e-07	3.72532e-09
3.05	7.581e-07	3.72532e-09
3.1	7.84177e-07	4.09784e-08
3.15	7.74864e-07	-5.21543e-08
3.2	7.56238e-07	-2.42145e-08
3.25	7.11534e-07	2.23519e-08
3.3	7.28298e-07	-4.65664e-08
3.35	7.11534e-07	-1.67639e-08
3.4	6.20264e-07	9.31328e-09
3.45	6.05363e-07	-1.11759e-08
3.5	6.14677e-07	-1.67639e-08
3.55	6.5938e-07	-6.89183e-08
3.6	6.64968e-07	1.49013e-08
3.65	6.40754e-07	-1.28523e-07
3.7	6.07226e-07	5.02916e-08
3.75	6.12814e-07	0
3.8	5.92325e-07	-5.21543e-08
3.85	5.64385e-07	-2.23519e-08
3.9	5.99775e-07	-7.45063e-08
3.95	5.36445e-07	1.39699e-07
4	6.01638e-07	2.98025e-08
4.05	5.36445e-07	-8.19568e-08
4.1	4.74976e-07	-2.01167e-07
4.15	4.84291e-07	-5.77422e-08
4.2	4.43311e-07	-5.96051e-08
4.25	6.01638e-07	2.79398e-08
4.3	4.50762e-07	-1.58326e-07
4.35	5.55072e-07	-3.35278e-08
4.4	5.84874e-07	8.19568e-08
4.45	5.43896e-07	1.49013e-08
4.5	4.84291e-07	4.09784e-08
4.55	5.62522e-07	-1.11759e-08
4.6	5.6066e-07	-3.35278e-08
4.65	4.71251e-07	-5.58796e-09
4.7	5.0478e-07	6.14677e-08
4.75	4.99193e-07	7.26436e-08
4.8	6.98496e-07	5.77422e-08
4.85	5.90462e-07	-3.35278e-08
4.9	5.75561e-07	3.53905e-08
4.95	4.26548e-07	-3.79981e-07
5	8.23293e-07	7.45064e-09
5.05	3.5763e-07	2.92437e-07
5.1	5.3272e-07	5.21543e-08
5.15	1.67639e-07	-2.55184e-07
5.2	4.26548e-07	5.40169e-08
5.25	4.71251e-07	1.15484e-07
5.3	5.43896e-07	9.87206e-08
5.35	5.36445e-07	2.42145e-08
5.4	5.06643e-07	-6.5193e-08
5.45	4.69388e-07	2.98025e-08
5.5	5.12231e-07	-1.50875e-07
5.55	4.80566e-07	-7.82316e-08
5.6	4.33998e-07	-5.21543e-08
5.65	4.65663e-07	-7.82316e-08
5.7	4.22822e-07	2.04892e-08
5.75	4.9733e-07	-2.83124e-07
5.8	6.5938e-07	-1.34111e-07
5.85	4.54487e-07	-8.38195e-08
5.9	4.91742e-07	-7.82316e-08
5.95	8.81035e-07	2.58909e-07
