# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 361
-9	5.84128e-06	3.6955e-06
-8.95	6.0201e-06	4.05314e-06
-8.9	5.54326e-06	2.98025e-06
-8.85	5.06642e-06	4.82801e-06
-8.8	6.31812e-06	4.29156e-06
-8.75	5.36445e-06	3.93394e-06
-8.7	4.94721e-06	3.21867e-06
-8.65	5.84128e-06	4.05314e-06
-8.6	7.45061e-06	5.96049e-06
-8.55	8.58313e-06	5.18563e-06
-8.5	6.61614e-06	5.66247e-06
-8.45	9.71562e-06	6.31812e-06
-8.4	7.68906e-06	5.12603e-06
-8.35	1.06097e-05	5.96049e-06
-8.3	9.83482e-06	6.37773e-06
-8.25	1.39475e-05	3.6955e-06
-8.2	1.13249e-05	6.61614e-06
-8.15	8.64273e-06	5.18563e-06
-8.1	9.41759e-06	5.84128e-06
-8.05	7.80827e-06	5.42405e-06
-8	7.74866e-06	5.12603e-06
-7.95	8.2851e-06	4.64919e-06
-7.9	7.74866e-06	3.99354e-06
-7.85	7.2718e-06	4.58959e-06
-7.8	1.09077e-05	5.00682e-06
-7.75	1.15038e-05	4.64919e-06
-7.7	8.46392e-06	3.27827e-06
-7.65	9.95403e-06	3.21867e-06
-7.6	1.15634e-05	3.15906e-06
-7.55	1.38283e-05	3.21867e-06
-7.5	1.87756e-05	2.68222e-06
-7.45	4.09486e-05	8.34469e-07
-7.4	0.000111521	-1.508e-05
-7.35	0.000163854	-1.86564e-05
-7.3	0.000179888	-2.31863e-05
-7.25	0.000196577	-2.88488e-05
-7.2	0.000206829	-2.78355e-05
-7.15	0.000235499	-3.8326e-05
-7.1	0.000265243	-5.76975e-05
-7.05	0.000188709	-2.50341e-05
-7	0.000195087	-3.17695e-05
-6.95	0.000197412	-2.72394e-05
-6.9	0.000268521	-5.19755e-05
-6.85	0.000172735	-8.88115e-06
-6.8	0.000160635	-1.96697e-06
-6.75	0.000182272	-5.66247e-06
-6.7	0.000184716	-5.48366e-06
-6.65	0.000220002	-1.14442e-05
-6.6	0.000217796	-2.62262e-06
-6.55	0.000161172	1.84775e-06
-6.5	0.000127138	1.66894e-06
-6.45	0.000118554	9.53682e-07
-6.4	0.000118316	-4.29156e-06
-6.35	0.000122786	-7.56982e-06
-6.3	0.000123323	-9.17917e-06
-6.25	0.000109852	-5.84128e-06
-6.2	9.31625e-05	-2.92064e-06
-6.15	7.42679e-05	-6.55655e-07
-6.1	6.03797e-05	4.94721e-06
-6.05	5.41809e-05	3.03985e-06
-6	5.28099e-05	4.64919e-06
-5.95	5.38232e-05	3.45708e-06
-5.9	5.56114e-05	3.57629e-06
-5.85	5.87108e-05	4.11275e-06
-5.8	5.89492e-05	2.92064e-06
-5.75	5.83532e-05	3.6955e-06
-5.7	6.09758e-05	2.74183e-06
-5.65	5.88896e-05	3.75511e-06
-5.6	5.04854e-05	3.09946e-06
-5.55	5.29292e-05	3.39748e-06
-5.5	5.33464e-05	2.20539e-06
-5.45	5.13794e-05	1.90736e-06
-5.4	4.48229e-05	4.11275e-06
-5.35	3.93989e-05	6.0201e-06
-5.3	2.96236e-05	5.84128e-06
-5.25	2.90872e-05	5.00682e-06
-5.2	2.8968e-05	4.82801e-06
-5.15	2.53321e-05	6.19891e-06
-5.1	2.414e-05	5.24524e-06
-5.05	2.87892e-05	5.54326e-06
-5	2.65242e-05	6.25852e-06
-4.95	2.71202e-05	3.93394e-06
-4.9	2.68818e-05	4.7684e-06
-4.85	2.79547e-05	2.56301e-06
-4.8	2.26499e-05	6.85456e-06
