# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 161
-8	2.64497e-06	-6.70557e-08
-7.9	2.73438e-06	-7.45063e-08
-7.8	2.91319e-06	-6.70557e-08
-7.7	3.10691e-06	-5.21543e-08
-7.6	3.29317e-06	-9.6858e-08
-7.5	3.39003e-06	-7.45063e-08
-7.4	3.53904e-06	-7.45063e-08
-7.3	3.62845e-06	-8.19568e-08
-7.2	3.74766e-06	-9.6858e-08
-7.1	3.82963e-06	-1.26661e-07
-7	3.74766e-06	-8.19568e-08
-6.9	3.82963e-06	-1.1921e-07
-6.8	3.6806e-06	-9.6858e-08
-6.7	3.59864e-06	-8.19568e-08
-6.6	3.55394e-06	-8.94074e-08
-6.5	3.57629e-06	-8.94074e-08
-6.4	3.47944e-06	-9.6858e-08
-6.3	3.28572e-06	-9.6858e-08
-6.2	3.09946e-06	-9.6858e-08
-6.1	3.15161e-06	-9.6858e-08
-6	3.15161e-06	-8.19568e-08
-5.9	2.98025e-06	-8.19568e-08
-5.8	3.0771e-06	-9.6858e-08
-5.7	3.12181e-06	-8.19568e-08
-5.6	3.0473e-06	-9.6858e-08
-5.5	3.0622e-06	-7.45063e-08
-5.4	3.10691e-06	-9.6858e-08
-5.3	3.18886e-06	-8.19568e-08
-5.2	3.18886e-06	-8.19568e-08
-5.1	3.24102e-06	-8.19568e-08
-5	3.28572e-06	-6.70557e-08
-4.9	3.33042e-06	-8.94074e-08
-4.8	3.53904e-06	-8.94074e-08
-4.7	3.65825e-06	-7.45063e-08
-4.6	4.0904e-06	-1.1921e-07
-4.5	4.35117e-06	-8.94074e-08
-4.4	4.46293e-06	-1.34111e-07
-4.3	4.39587e-06	-9.6858e-08
-4.2	4.52998e-06	-1.26661e-07
-4.1	4.64919e-06	-1.26661e-07
-4	4.67154e-06	-1.04309e-07
-3.9	4.91741e-06	-1.04309e-07
-3.8	4.92486e-06	-1.41562e-07
-3.7	4.90251e-06	-1.63914e-07
-3.6	5.17073e-06	-1.34111e-07
-3.5	5.3719e-06	-1.63914e-07
-3.4	5.57306e-06	-2.45871e-07
-3.3	5.94559e-06	-2.60772e-07
-3.2	6.31067e-06	-2.60772e-07
-3.1	6.41498e-06	-2.83124e-07
-3	6.83966e-06	-2.60772e-07
-2.9	6.79496e-06	-2.3842e-07
-2.8	7.15259e-06	-2.30969e-07
-2.7	7.42081e-06	-2.16068e-07
-2.6	7.86042e-06	-2.60772e-07
-2.5	7.56237e-06	-2.60772e-07
-2.4	8.17335e-06	-2.3842e-07
-2.3	8.40431e-06	-2.53322e-07
-2.2	8.80664e-06	-2.23518e-07
-2.1	9.27603e-06	-2.3842e-07
-2	8.78429e-06	-2.53322e-07
-1.9	8.94821e-06	-2.3842e-07
-1.8	9.54425e-06	-2.53322e-07
-1.7	1.01925e-05	-2.60772e-07
-1.6	1.08109e-05	-3.35278e-07
-1.5	1.12057e-05	-3.12926e-07
-1.4	1.12653e-05	-2.68223e-07
-1.3	1.12504e-05	-4.24685e-07
-1.2	1.131e-05	-4.84291e-07
-1.1	1.13473e-05	-5.14094e-07
-1	1.20178e-05	-6.55655e-07
-0.899999999999999	1.23904e-05	-6.55655e-07
-0.8	1.26511e-05	-6.10951e-07
-0.699999999999999	1.25915e-05	-5.9605e-07
-0.6	1.30535e-05	-5.81149e-07
-0.5	1.2979e-05	-5.886e-07
-0.399999999999999	1.36272e-05	-6.10951e-07
-0.3	1.43797e-05	-6.48204e-07
-0.199999999999999	1.57208e-05	-7.97216e-07
-0.0999999999999996	1.9014e-05	-1.04309e-06
0	2.38271e-05	-1.50502e-06
0.0999999999999996	2.414e-05	-1.55718e-06
0.200000000000001	1.99081e-05	-1.24425e-06
0.300000000000001	1.6682e-05	-9.53682e-07
0.4	1.60189e-05	-6.85457e-07
0.5	1.58699e-05	-6.63105e-07
0.6	1.42754e-05	-5.21544e-07
0.700000000000001	1.4037e-05	-4.84291e-07
0.800000000000001	1.34409e-05	-4.76841e-07
0.9	1.35229e-05	-5.36445e-07
1	1.32174e-05	-4.69388e-07
1.1	1.32695e-05	-5.58797e-07
1.2	1.28002e-05	-4.99193e-07
1.3	1.283e-05	-4.61938e-07
1.4	1.20551e-05	-4.02333e-07
1.5	1.15336e-05	-2.68223e-07
1.6	1.15261e-05	-3.35278e-07
1.7	1.12802e-05	-3.05476e-07
1.8	1.13845e-05	-3.72531e-07
1.9	1.09524e-05	-3.50179e-07
2	1.07512e-05	-3.20377e-07
2.1	1.05873e-05	-2.98025e-07
2.2	9.5666e-06	-2.83124e-07
2.3	9.60386e-06	-3.20377e-07
2.4	9.49955e-06	-3.12926e-07
2.5	8.03923e-06	-2.3842e-07
2.6	7.76356e-06	-2.45871e-07
2.7	7.45806e-06	-1.93716e-07
2.8	7.51021e-06	-1.49013e-07
2.9	7.15259e-06	-1.49013e-07
3	6.93652e-06	-1.1921e-07
3.1	6.88437e-06	-1.49013e-07
3.2	6.40008e-06	-1.26661e-07
3.3	6.08715e-06	-1.56463e-07
3.4	5.81893e-06	-1.26661e-07
3.5	5.52836e-06	-8.19568e-08
3.6	5.31229e-06	-9.6858e-08
3.7	5.21544e-06	-8.94074e-08
3.8	4.91741e-06	-8.94074e-08
3.9	4.54488e-06	-8.19568e-08
4	4.50018e-06	-8.19568e-08
4.1	4.37352e-06	-8.94074e-08
4.2	4.1798e-06	-7.45063e-08
4.3	4.03824e-06	-6.70557e-08
4.4	3.89668e-06	-8.19568e-08
4.5	3.73276e-06	-6.70557e-08
4.6	3.41983e-06	-7.45063e-08
4.7	3.09946e-06	-6.70557e-08
4.8	3.0473e-06	-7.45063e-08
4.9	2.78653e-06	-1.04309e-07
5	2.53321e-06	-7.45063e-08
5.1	2.36185e-06	-5.21543e-08
5.2	2.24264e-06	-6.70557e-08
5.3	2.11598e-06	-5.96051e-08
5.4	2.04892e-06	-5.96051e-08
5.5	2.05637e-06	-4.47037e-08
5.6	2.07873e-06	-2.23519e-08
5.7	1.95952e-06	-7.45064e-09
5.8	1.90736e-06	2.98025e-08
5.9	1.83285e-06	-3.72531e-08
6	1.8701e-06	-2.23519e-08
6.1	1.83285e-06	7.45064e-09
6.2	1.78815e-06	-7.45064e-09
6.3	1.8105e-06	-2.98025e-08
6.4	1.8105e-06	-7.45063e-08
6.5	1.92971e-06	0
6.6	1.98187e-06	-2.23519e-08
6.7	2.08618e-06	-6.70557e-08
6.8	2.13833e-06	-5.21543e-08
6.9	2.15323e-06	-5.96051e-08
7	2.15323e-06	-5.96051e-08
7.1	2.10108e-06	-6.70557e-08
7.2	1.95952e-06	-5.21543e-08
7.3	1.885e-06	-2.23519e-08
7.4	1.74344e-06	-5.96051e-08
7.5	1.60188e-06	0
7.6	1.51993e-06	-5.96051e-08
7.7	1.48267e-06	-4.47037e-08
7.8	1.37091e-06	-2.23519e-08
7.9	1.34111e-06	4.47037e-08
8	1.26661e-06	-4.47037e-08
