# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 201
-10	7.15633e-05	2.7232e-06
-9.9	7.13174e-05	1.61492e-05
-9.8	9.00781e-06	7.71513e-06
-9.7	4.89134e-06	4.92114e-06
-9.6	1.88128e-06	1.84403e-06
-9.5	1.69129e-06	1.49012e-06
-9.4	1.46032e-06	1.49385e-06
-9.3	1.40817e-06	1.2517e-06
-9.2	1.58326e-06	1.46777e-06
-9.1	1.34856e-06	1.08407e-06
-9	1.18092e-06	1.62796e-06
-8.9	1.51993e-06	1.1921e-06
-8.8	1.1623e-06	1.51993e-06
-8.7	1.1474e-06	1.4715e-06
-8.6	1.01329e-06	1.01701e-06
-8.5	8.00941e-07	6.70557e-08
-8.4	5.73698e-07	4.91742e-07
-8.3	7.00358e-07	4.47037e-07
-8.2	6.25852e-07	2.60772e-07
-8.1	5.14094e-07	2.34694e-07
-8	3.05476e-07	2.98025e-08
-7.9	4.65663e-07	1.30386e-07
-7.8	4.76841e-07	2.3842e-07
-7.7	4.17234e-07	1.41562e-07
-7.6	4.54487e-07	1.56463e-07
-7.5	4.43311e-07	2.12342e-07
-7.4	4.24685e-07	1.26661e-07
-7.3	4.13509e-07	8.94074e-08
-7.2	4.73114e-07	8.19568e-08
-7.1	5.99775e-07	2.60772e-07
-7	4.54487e-07	1.00583e-07
-6.9	4.99193e-07	9.31327e-08
-6.8	3.87432e-07	8.94074e-08
-6.7	4.39586e-07	7.45064e-09
-6.6	5.17819e-07	1.26661e-07
-6.5	4.39586e-07	5.58796e-08
-6.4	3.79981e-07	7.82316e-08
-6.3	4.17234e-07	7.45064e-09
-6.2	5.69973e-07	-4.8429e-08
-6.1	4.02333e-07	8.94074e-08
-6	3.0175e-07	1.49013e-08
-5.9	1.7509e-07	-1.22935e-07
-5.8	2.23518e-07	-1.15484e-07
-5.7	3.79981e-07	1.26661e-07
-5.6	2.53322e-07	5.21543e-08
-5.5	3.09201e-07	5.96051e-08
-5.4	2.60772e-07	-1.86266e-08
-5.3	4.43311e-07	1.1921e-07
-5.2	2.83124e-07	4.8429e-08
-5.1	7.45063e-08	7.82316e-08
-5	2.75673e-07	6.70557e-08
-4.9	2.90574e-07	7.0781e-08
-4.8	1.37837e-07	2.60772e-07
-4.7	1.30386e-07	9.31327e-08
-4.6	1.49013e-07	1.45287e-07
-4.5	2.34694e-07	2.3842e-07
-4.4	2.19793e-07	7.45063e-08
-4.3	9.31327e-08	5.58796e-08
-4.2	7.0781e-08	0
-4.1	1.00583e-07	4.8429e-08
-4	1.11759e-07	3.72531e-08
-3.9	-7.0781e-08	1.15484e-07
-3.8	5.96051e-08	-3.35278e-08
-3.7	7.45063e-08	9.31327e-08
-3.6	1.00583e-07	6.33304e-08
-3.5	-3.72532e-09	5.96051e-08
-3.4	-3.72532e-09	1.11759e-07
-3.3	7.82316e-08	8.19568e-08
-3.2	-7.45063e-08	8.19568e-08
-3.1	7.82316e-08	4.47037e-08
-3	-8.19568e-08	1.11759e-07
-2.9	-1.1921e-07	1.1921e-07
-2.8	-6.33304e-08	9.31327e-08
-2.7	-5.96051e-08	1.15484e-07
-2.6	2.23519e-08	2.79399e-07
-2.5	2.60771e-08	2.90574e-07
-2.4	1.08034e-07	4.47037e-07
-2.3	-2.23519e-08	8.19568e-08
-2.2	-8.56821e-08	1.7509e-07
-2.1	-6.70557e-08	1.7509e-07
-2	-1.00583e-07	2.30969e-07
-1.9	7.0781e-08	1.93716e-07
-1.8	-8.56821e-08	9.31327e-08
-1.7	-4.8429e-08	1.11759e-07
-1.6	-2.23519e-08	8.94074e-08
-1.5	-7.45064e-09	9.31327e-08
-1.4	-1.11759e-07	1.45287e-07
-1.3	-1.71364e-07	9.6858e-08
-1.2	-2.53322e-07	1.52738e-07
-1.1	-3.72531e-08	1.22935e-07
-1	2.60771e-08	1.15484e-07
-0.9	-1.11759e-07	3.87432e-07
-0.799999999999999	-8.56821e-08	8.94074e-08
