# srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"	"X"	"Y"
# 271
-13	-5.36445e-07	-8.94073e-07	1.12057e-05	-8.34469e-07
-12.9	-8.94073e-07	-1.96697e-06	1.26362e-05	-1.07289e-06
-12.8	-1.84775e-06	-4.7088e-06	1.50204e-05	-1.07289e-06
-12.7	-6.85456e-06	-1.79411e-05	1.78815e-05	-1.54973e-06
-12.6	-2.90872e-05	-7.40294e-05	2.25307e-05	-2.26499e-06
-12.5	-0.000211895	-0.000443639	2.76567e-05	-4.7684e-06
-12.4	-0.000270428	-0.000536148	4.0889e-05	-7.86787e-06
-12.3	-0.000544313	-0.000899378	5.53133e-05	-1.51396e-05
-12.2	-0.0010922	-0.0010922	8.02283e-05	-3.39749e-05
-12.1	-0.000649098	-0.000974838	0.000136376	-4.5419e-05
-12	-0.000729803	-0.00103045	0.000203968	-7.64136e-05
-11.9	-0.000737492	-0.000999816	0.000312449	-0.000141145
-11.8	-0.000461461	-0.000735704	0.000426175	-0.000193478
-11.7	-0.000503961	-0.000868503	0.000462057	-0.000241996
-11.6	-0.000495795	-0.000840489	0.000929717	-0.000783566
-11.5	-0.000873271	-0.0010922	0.000957612	-0.00109483
-11.4	-0.000370147	-0.000927512	0.000927094	-0.001104
-11.3	-0.000434102	-0.0010922	0.00104309	-0.00127269
-11.2	-0.00060505	-0.000978954	0.0005523	-0.000898603
-11.1	-0.000381948	-0.000633243	0.000758413	-0.00103963
-11	-0.00029576	-0.000519101	0.000573877	-0.00147332
-10.9	-0.000153781	-0.000216068	0.000708941	-0.00165821
-10.8	-0.000202836	-5.00681e-05	0.000487925	-0.00109661
-10.7	-0.000168324	-9.10168e-05	0.00049961	-0.00161947
-10.6	-9.07783e-05	7.84402e-05	-0.000130297	-0.000338318
-10.5	0.000290515	0.000758234	-0.000223757	-0.000688914
-10.4	0.000219763	0.0006187	0.000291707	-0.00114859
-10.3	0.000481131	0.00100894	0.00010252	-0.000755314
-10.2	0.000383081	0.000939492	0.000416758	-0.000937942
-10.1	1.24574e-05	0.000554267	0.000494245	-0.000589136
-10	5.82936e-05	0.000463666	0.000188828	-0.000345113
-9.9	-9.10764e-05	0.000413777	0.000361206	-0.000303509
-9.8	-5.44789e-05	0.000135423	0.000245573	-0.000114799
-9.7	-4.63726e-05	8.18376e-05	0.000233413	-8.32085e-05
-9.6	-1.79411e-05	3.33788e-05	0.000255229	-8.08244e-05
-9.5	-1.28747e-05	2.69414e-05	0.000245454	-7.33142e-05
-9.4	-1.10865e-05	2.25903e-05	0.00028372	-8.18972e-05
-9.3	-1.00136e-05	1.93716e-05	0.000319364	-9.03611e-05
-9.2	-7.98708e-06	2.03849e-05	0.000309231	-8.23741e-05
-9.1	-7.92748e-06	1.83583e-05	0.000305535	-8.01091e-05
-9	-7.62945e-06	1.8418e-05	0.000293138	-7.27181e-05
-8.9	-1.06693e-05	1.98485e-05	0.000296833	-7.093e-05
-8.8	-9.83482e-06	1.77623e-05	0.000251891	-5.47173e-05
-8.7	-9.83482e-06	1.73451e-05	0.000243903	-5.16179e-05
-8.6	-6.73535e-06	1.35303e-05	0.000211478	-4.17235e-05
-8.5	-4.17235e-06	1.12653e-05	0.000197769	-3.70743e-05
-8.4	-1.78815e-06	9.35799e-06	0.00017798	-3.15907e-05
-8.3	-2.08618e-06	1.01328e-05	0.000168205	-2.8968e-05
-8.2	-2.02657e-06	8.88115e-06	0.000163198	-2.7299e-05
-8.1	-8.94073e-07	7.51021e-06	0.000133038	-2.07425e-05
-8	-6.55655e-07	6.85456e-06	0.000121952	-1.84776e-05
-7.9	-2.98025e-07	6.31812e-06	0.000112415	-1.65702e-05
-7.8	-1.78815e-07	6.31812e-06	0.000103832	-1.4782e-05
-7.7	-2.3842e-07	5.72208e-06	9.70368e-05	-1.33515e-05
-7.6	5.96051e-08	5.72208e-06	9.21492e-05	-1.23978e-05
-7.5	0	5.78168e-06	8.36854e-05	-1.08481e-05
-7.4	0	5.84128e-06	7.85594e-05	-9.89443e-06
-7.3	2.98025e-07	5.48366e-06	7.6652e-05	-9.5368e-06
-7.2	2.98025e-07	5.36445e-06	7.73673e-05	-9.5368e-06
-7.1	3.5763e-07	5.36445e-06	7.67712e-05	-9.5368e-06
-7	2.3842e-07	5.36445e-06	7.30758e-05	-8.94075e-06
-6.9	2.98025e-07	5.42405e-06	6.73537e-05	-7.86787e-06
-6.8	5.9605e-07	5.36445e-06	6.25853e-05	-7.15259e-06
-6.7	7.74864e-07	5.42405e-06	5.76975e-05	-6.55654e-06
-6.6	1.01329e-06	5.48366e-06	5.32868e-05	-5.96049e-06
-6.5	9.53682e-07	5.42405e-06	5.00681e-05	-5.48366e-06
-6.4	1.1325e-06	5.60287e-06	4.73263e-05	-5.00682e-06
-6.3	1.2517e-06	5.72208e-06	4.50613e-05	-4.7684e-06
-6.2	1.1325e-06	5.48366e-06	4.35116e-05	-4.52998e-06
-6.1	1.2517e-06	5.48366e-06	4.20811e-05	-4.29156e-06
-6	9.53682e-07	5.24524e-06	4.11274e-05	-4.17235e-06
