# ppms_field_set_stable_set	srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "Magnetic Field"	"volt"	"X"	"Y"	"X"	"Y"
# 181	631
0	-10	0.000157357	0.000908259	0.000362875	-0.000572447
0	-9.96666666666667	6.35986e-05	0.000805501	0.000241281	-0.00026405
0	-9.93333333333333	-2.62262e-06	0.000770871	0.000357153	-0.000305535
0	-9.9	-8.01687e-05	0.000529055	0.000448348	-0.000386002
0	-9.86666666666667	-8.67252e-05	0.000197173	0.000378491	-0.000257732
0	-9.83333333333333	-6.49695e-05	0.000158251	0.000403883	-0.000296595
0	-9.8	-5.63862e-05	0.000142218	0.000374677	-0.000206352
0	-9.76666666666667	-4.77436e-05	0.000100494	0.000280978	-0.000130774
0	-9.73333333333333	-3.71935e-05	7.25393e-05	0.000265839	-0.000100494
0	-9.7	-3.45113e-05	6.16913e-05	0.000253679	-9.52487e-05
0	-9.66666666666667	-3.2306e-05	5.90088e-05	0.000244381	-8.83345e-05
0	-9.63333333333333	-1.63914e-05	3.36769e-05	0.000226022	-7.39102e-05
0	-9.6	-1.59146e-05	2.62262e-05	0.000241638	-7.61752e-05
0	-9.56666666666667	-1.2517e-05	2.76567e-05	0.000237466	-7.43871e-05
0	-9.53333333333333	-1.06097e-05	2.59281e-05	0.000238777	-7.39102e-05
0	-9.5	-9.41759e-06	2.2173e-05	0.000237108	-6.8665e-05
0	-9.46666666666667	-1.05501e-05	2.17558e-05	0.000224949	-6.28238e-05
0	-9.43333333333333	-8.82155e-06	2.18154e-05	0.000236274	-6.5804e-05
0	-9.4	-9.4772e-06	2.0981e-05	0.000249149	-6.93803e-05
0	-9.36666666666667	-1.08481e-05	1.86564e-05	0.000278713	-7.91554e-05
0	-9.33333333333333	-7.80827e-06	2.06829e-05	0.000309112	-8.8573e-05
0	-9.3	-8.16589e-06	2.03253e-05	0.000321867	-9.10764e-05
0	-9.26666666666667	-5.72208e-06	1.84776e-05	0.00025809	-6.78306e-05
0	-9.23333333333333	-7.03338e-06	1.8418e-05	0.000282289	-7.47447e-05
0	-9.2	-6.97377e-06	1.90736e-05	0.000280501	-7.24797e-05
0	-9.16666666666667	-9.00036e-06	2.06233e-05	0.000300409	-7.93939e-05
0	-9.13333333333333	-7.51021e-06	1.97293e-05	0.000262143	-6.42543e-05
0	-9.1	-6.91417e-06	1.8716e-05	0.00030637	-7.98707e-05
0	-9.06666666666667	-7.39101e-06	1.86564e-05	0.000309588	-8.01091e-05
0	-9.03333333333333	-8.2255e-06	1.82391e-05	0.00029278	-7.34334e-05
0	-9	-9.71562e-06	1.98485e-05	0.000318052	-8.15396e-05
0	-8.96666666666667	-8.70234e-06	1.95504e-05	0.000321629	-8.15396e-05
0	-8.93333333333333	-1.01925e-05	1.9312e-05	0.000332357	-8.46391e-05
0	-8.9	-1.07885e-05	2.1875e-05	0.000310542	-7.58176e-05
0	-8.86666666666667	-1.00136e-05	1.95504e-05	0.000295641	-6.94995e-05
0	-8.83333333333333	-9.59641e-06	2.06233e-05	0.000332477	-8.1778e-05
0	-8.8	-9.59641e-06	1.85372e-05	0.000259401	-5.69823e-05
0	-8.76666666666667	-8.58313e-06	1.65702e-05	0.000234486	-4.91145e-05
0	-8.73333333333333	-9.17917e-06	1.71066e-05	0.000257256	-5.60286e-05
0	-8.7	-1.00732e-05	1.76431e-05	0.000242949	-5.16179e-05
0	-8.66666666666667	-9.4772e-06	1.69278e-05	0.000258567	-5.55518e-05
0	-8.63333333333333	-7.15259e-06	1.63914e-05	0.000237823	-4.8876e-05
0	-8.6	-5.78168e-06	1.39475e-05	0.000203014	-3.93393e-05
0	-8.56666666666667	-5.30484e-06	1.15634e-05	0.000190259	-3.5763e-05
0	-8.53333333333333	-4.58959e-06	1.31131e-05	0.000201703	-3.85048e-05
0	-8.5	-4.7088e-06	1.16826e-05	0.00020063	-3.79088e-05
0	-8.46666666666667	-4.11275e-06	1.10865e-05	0.000181437	-3.2902e-05
0	-8.43333333333333	-2.3842e-06	1.02521e-05	0.000167967	-2.94448e-05
0	-8.4	-1.90736e-06	9.35799e-06	0.000177504	-3.14715e-05
0	-8.36666666666667	-1.78815e-06	9.4772e-06	0.00017345	-3.03985e-05
0	-8.33333333333333	-2.68222e-06	9.71562e-06	0.000175835	-3.07562e-05
0	-8.3	-2.50341e-06	1.01925e-05	0.000164987	-2.80143e-05
0	-8.26666666666667	-1.96697e-06	9.4772e-06	0.000169159	-2.88488e-05
0	-8.23333333333333	-2.02657e-06	7.98708e-06	0.000161291	-2.69414e-05
0	-8.2	-1.49012e-06	8.2851e-06	0.000152946	-2.49149e-05
0	-8.16666666666667	-1.01329e-06	7.51021e-06	0.000143171	-2.28883e-05
0	-8.13333333333333	-6.55655e-07	7.39101e-06	0.00014031	-2.2173e-05
0	-8.1	-7.74864e-07	7.15259e-06	0.000137211	-2.14578e-05
0	-8.06666666666667	-7.15259e-07	7.15259e-06	0.000137688	-2.1577e-05
0	-8.03333333333333	-5.36445e-07	6.85456e-06	0.000130058	-2.00273e-05
0	-8	-8.34469e-07	6.61614e-06	0.000121713	-1.83583e-05
0	-7.96666666666667	-4.76841e-07	6.49694e-06	0.00011766	-1.75239e-05
0	-7.93333333333333	-3.5763e-07	6.49694e-06	0.000113965	-1.68086e-05
0	-7.9	-1.78815e-07	6.85456e-06	0.000111461	-1.62126e-05
0	-7.86666666666667	-4.76841e-07	6.49694e-06	0.00011158	-1.62126e-05
0	-7.83333333333333	-4.17234e-07	6.13931e-06	0.000108958	-1.57357e-05
0	-7.8	-2.3842e-07	6.0797e-06	0.000106574	-1.53781e-05
0	-7.76666666666667	-1.78815e-07	6.19891e-06	0.000102997	-1.45436e-05
0	-7.73333333333333	-5.96051e-08	5.96049e-06	9.87058e-05	-1.37091e-05
0	-7.7	-3.5763e-07	5.84128e-06	9.54871e-05	-1.31131e-05
0	-7.66666666666667	-4.17234e-07	5.72208e-06	9.56063e-05	-1.31131e-05
0	-7.63333333333333	-1.1921e-07	6.0201e-06	9.34605e-05	-1.26362e-05
0	-7.6	5.96051e-08	5.96049e-06	9.15532e-05	-1.22786e-05
0	-7.56666666666667	0	5.78168e-06	8.90498e-05	-1.18018e-05
0	-7.53333333333333	5.96051e-08	5.72208e-06	8.59504e-05	-1.12057e-05
0	-7.5	3.5763e-07	5.84128e-06	8.39238e-05	-1.08481e-05
0	-7.46666666666667	0	5.42405e-06	8.15396e-05	-1.03713e-05
0	-7.43333333333333	-1.1921e-07	5.72208e-06	7.95131e-05	-1.00136e-05
0	-7.4	2.98025e-07	5.84128e-06	7.8917e-05	-9.89443e-06
0	-7.36666666666667	1.1921e-07	5.84128e-06	7.82018e-05	-9.77522e-06
0	-7.33333333333333	1.1921e-07	5.78168e-06	7.6652e-05	-9.5368e-06
0	-7.3	5.96051e-08	5.60287e-06	7.62944e-05	-9.41759e-06
0	-7.26666666666667	3.5763e-07	5.66247e-06	7.65328e-05	-9.41759e-06
0	-7.23333333333333	2.98025e-07	5.36445e-06	7.64136e-05	-9.41759e-06
0	-7.2	2.3842e-07	5.36445e-06	7.6652e-05	-9.5368e-06
0	-7.16666666666667	1.78815e-07	5.30484e-06	7.73673e-05	-9.5368e-06
0	-7.13333333333333	3.5763e-07	5.48366e-06	7.67712e-05	-9.41759e-06
0	-7.1	4.17234e-07	5.24524e-06	7.70097e-05	-9.5368e-06
0	-7.06666666666667	2.98025e-07	5.36445e-06	7.54599e-05	-9.29838e-06
0	-7.03333333333333	2.3842e-07	5.30484e-06	7.51023e-05	-9.17917e-06
0	-7	2.3842e-07	5.18563e-06	7.3195e-05	-8.82155e-06
0	-6.96666666666667	1.78815e-07	5.42405e-06	7.10492e-05	-8.58313e-06
0	-6.93333333333333	1.78815e-07	5.42405e-06	6.90226e-05	-8.2255e-06
0	-6.9	1.1921e-07	5.42405e-06	6.72345e-05	-7.86787e-06
0	-6.86666666666667	1.78815e-07	5.42405e-06	6.56848e-05	-7.62945e-06
0	-6.83333333333333	4.17234e-07	5.42405e-06	6.43735e-05	-7.51021e-06
0	-6.8	5.9605e-07	5.36445e-06	6.27046e-05	-7.15259e-06
0	-6.76666666666667	6.55655e-07	5.30484e-06	6.10356e-05	-7.03338e-06
0	-6.73333333333333	7.15259e-07	5.30484e-06	5.94857e-05	-6.67575e-06
0	-6.7	7.74864e-07	5.24524e-06	5.76975e-05	-6.55654e-06
0	-6.66666666666667	8.94073e-07	5.36445e-06	5.6267e-05	-6.31812e-06
0	-6.63333333333333	8.94073e-07	5.24524e-06	5.45981e-05	-6.0797e-06
0	-6.6	1.1325e-06	5.36445e-06	5.31676e-05	-5.84128e-06
0	-6.56666666666667	9.53682e-07	5.42405e-06	5.22139e-05	-5.72208e-06
0	-6.53333333333333	9.53682e-07	5.54326e-06	5.12602e-05	-5.60287e-06
0	-6.5	1.07289e-06	5.42405e-06	5.00681e-05	-5.48366e-06
0	-6.46666666666667	1.01329e-06	5.36445e-06	4.92337e-05	-5.36445e-06
0	-6.43333333333333	1.1325e-06	5.42405e-06	4.828e-05	-5.24524e-06
0	-6.4	1.2517e-06	5.54326e-06	4.72071e-05	-5.00682e-06
0	-6.36666666666667	1.2517e-06	5.54326e-06	4.63726e-05	-4.88761e-06
0	-6.33333333333333	1.2517e-06	5.42405e-06	4.56574e-05	-4.7684e-06
0	-6.3	1.2517e-06	5.48366e-06	4.50613e-05	-4.7684e-06
0	-6.26666666666667	1.1325e-06	5.30484e-06	4.44653e-05	-4.64919e-06
0	-6.23333333333333	1.1325e-06	5.42405e-06	4.41077e-05	-4.64919e-06
0	-6.2	1.1325e-06	5.48366e-06	4.36308e-05	-4.52998e-06
0	-6.16666666666667	1.2517e-06	5.66247e-06	4.30348e-05	-4.41077e-06
0	-6.13333333333333	1.01329e-06	5.60287e-06	4.25579e-05	-4.41077e-06
0	-6.1	6.55655e-07	5.48366e-06	4.20811e-05	-4.29156e-06
0	-6.06666666666667	7.74864e-07	5.12603e-06	4.17235e-05	-4.29156e-06
0	-6.03333333333333	6.55655e-07	5.84128e-06	4.13659e-05	-4.17235e-06
0	-6	9.53682e-07	5.24524e-06	4.10082e-05	-4.17235e-06
0	-5.96666666666667	1.01329e-06	5.36445e-06	4.07698e-05	-4.05314e-06
0	-5.93333333333333	8.94073e-07	5.06642e-06	4.01738e-05	-4.05314e-06
0	-5.9	1.1921e-06	5.00682e-06	3.98161e-05	-3.93394e-06
0	-5.86666666666667	1.1325e-06	5.12603e-06	3.95777e-05	-3.93394e-06
0	-5.83333333333333	7.15259e-07	4.88761e-06	3.92201e-05	-3.93394e-06
0	-5.8	1.1325e-06	4.7088e-06	3.89817e-05	-3.81473e-06
0	-5.76666666666667	1.07289e-06	4.7684e-06	3.8624e-05	-3.81473e-06
0	-5.73333333333333	9.53682e-07	4.47038e-06	3.83856e-05	-3.81473e-06
0	-5.7	5.9605e-07	4.64919e-06	3.8028e-05	-3.81473e-06
0	-5.66666666666667	7.74864e-07	4.41077e-06	3.77896e-05	-3.6955e-06
0	-5.63333333333333	7.74864e-07	4.35117e-06	3.75512e-05	-3.6955e-06
0	-5.6	6.55655e-07	4.29156e-06	3.73127e-05	-3.6955e-06
0	-5.56666666666667	5.9605e-07	4.23196e-06	3.71935e-05	-3.6955e-06
0	-5.53333333333333	5.9605e-07	4.23196e-06	3.68359e-05	-3.6955e-06
0	-5.5	5.36445e-07	4.05314e-06	3.68359e-05	-3.57629e-06
0	-5.46666666666667	4.76841e-07	4.05314e-06	3.65975e-05	-3.57629e-06
0	-5.43333333333333	4.17234e-07	4.05314e-06	3.63591e-05	-3.57629e-06
0	-5.4	2.98025e-07	4.23196e-06	3.63591e-05	-3.57629e-06
0	-5.36666666666667	1.78815e-07	3.99354e-06	3.62399e-05	-3.57629e-06
0	-5.33333333333333	2.98025e-07	3.99354e-06	3.62399e-05	-3.57629e-06
0	-5.3	0	3.99354e-06	3.61206e-05	-3.57629e-06
0	-5.26666666666667	5.96051e-08	3.81473e-06	3.62399e-05	-3.57629e-06
0	-5.23333333333333	5.96051e-08	3.6955e-06	3.62399e-05	-3.57629e-06
0	-5.2	5.96051e-08	3.6955e-06	3.62399e-05	-3.57629e-06
0	-5.16666666666667	1.1921e-07	3.6359e-06	3.63591e-05	-3.57629e-06
0	-5.13333333333333	1.1921e-07	3.51669e-06	3.65975e-05	-3.57629e-06
0	-5.1	2.3842e-07	3.45708e-06	3.67167e-05	-3.57629e-06
0	-5.06666666666667	2.3842e-07	3.27827e-06	3.68359e-05	-3.57629e-06
0	-5.03333333333333	1.78815e-07	3.21867e-06	3.69551e-05	-3.57629e-06
0	-5	2.98025e-07	3.15906e-06	3.73127e-05	-3.6955e-06
0	-4.96666666666667	2.98025e-07	3.09946e-06	3.74319e-05	-3.6955e-06
0	-4.93333333333333	1.78815e-07	2.92064e-06	3.75512e-05	-3.6955e-06
0	-4.9	2.98025e-07	2.86104e-06	3.76704e-05	-3.6955e-06
0	-4.86666666666667	1.1921e-07	2.86104e-06	3.76704e-05	-3.6955e-06
0	-4.83333333333333	1.1921e-07	2.68222e-06	3.77896e-05	-3.6955e-06
0	-4.8	-1.1921e-07	2.80143e-06	3.8028e-05	-3.81473e-06
0	-4.76666666666667	-5.96051e-08	2.74183e-06	3.8028e-05	-3.81473e-06
0	-4.73333333333333	0	2.62262e-06	3.8028e-05	-3.81473e-06
0	-4.7	-2.3842e-07	2.56301e-06	3.79088e-05	-3.81473e-06
0	-4.66666666666667	-4.17234e-07	2.3246e-06	3.77896e-05	-3.81473e-06
0	-4.63333333333333	-4.17234e-07	2.14578e-06	3.75512e-05	-3.81473e-06
0	-4.6	-1.78815e-07	1.78815e-06	3.73127e-05	-3.6955e-06
0	-4.56666666666667	0	2.02657e-06	3.70743e-05	-3.6955e-06
0	-4.53333333333333	-1.78815e-07	1.84775e-06	3.67167e-05	-3.6955e-06
