# ppms_field_set_stable_set	srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "Magnetic Field"	"volt"	"X"	"Y"	"X"	"Y"
# 20	841
-500	-10	0.000414016	0.00109214	0.000270488	-0.000401976
-500	-9.975	0.000310184	0.00109214	0.000241281	-0.000329496
-500	-9.95	0.000112415	0.00102479	0.000353457	-0.000267031
-500	-9.925	9.35798e-05	0.000961784	0.00027311	-0.000244858
-500	-9.9	-8.76193e-05	0.000420751	0.000423672	-0.00039685
-500	-9.875	-8.8871e-05	0.000439944	0.000454189	-0.000341775
-500	-9.85	-8.01687e-05	0.000248672	0.000428798	-0.000282051
-500	-9.825	-4.828e-05	0.000151576	0.00042391	-0.000272991
-500	-9.8	-5.87108e-05	0.000137747	0.000404479	-0.000213147
-500	-9.775	-5.75187e-05	0.000118435	0.00034404	-0.000175358
-500	-9.75	-4.6313e-05	0.000107885	0.000287773	-0.000111819
-500	-9.725	-3.98161e-05	8.31489e-05	0.000293138	-0.000112892
-500	-9.7	-3.93393e-05	6.75921e-05	0.000275495	-0.000100613
-500	-9.675	-3.95181e-05	7.43871e-05	0.000263931	-0.000101686
-500	-9.65	-4.32136e-05	6.98571e-05	0.000260236	-9.22685e-05
-500	-9.625	-2.43188e-05	4.13659e-05	0.000248076	-8.23741e-05
-500	-9.6	-1.68086e-05	3.50478e-05	0.000237943	-7.42679e-05
-500	-9.575	-1.74047e-05	3.21271e-05	0.000253798	-8.04667e-05
-500	-9.55	-1.55569e-05	3.11735e-05	0.000245335	-7.71289e-05
-500	-9.525	-1.30535e-05	2.63454e-05	0.000243069	-7.3791e-05
-500	-9.5	-1.35303e-05	2.54513e-05	0.000243665	-7.093e-05
-500	-9.475	-1.1623e-05	2.50341e-05	0.000238539	-6.84266e-05
-500	-9.45	-9.29838e-06	2.28883e-05	0.000237823	-6.67577e-05
-500	-9.425	-1.09673e-05	2.05041e-05	0.000248553	-7.05724e-05
-500	-9.4	-1.08481e-05	2.10406e-05	0.000262501	-7.33142e-05
-500	-9.375	-1.02521e-05	1.98485e-05	0.00027323	-7.65328e-05
-500	-9.35	-8.76194e-06	2.07425e-05	0.000282766	-8.01091e-05
-500	-9.325	-1.00732e-05	1.87756e-05	0.000285389	-8.07052e-05
-500	-9.3	-8.10629e-06	2.05041e-05	0.00028527	-7.84402e-05
-500	-9.275	-7.98708e-06	1.86564e-05	0.000275256	-7.3791e-05
-500	-9.25	-7.92748e-06	1.8716e-05	0.000269892	-7.05724e-05
-500	-9.225	-8.88115e-06	1.85968e-05	0.000264408	-6.72345e-05
-500	-9.2	-9.11957e-06	1.75835e-05	0.000302317	-8.01091e-05
-500	-9.175	-7.03338e-06	2.02061e-05	0.000298383	-7.80826e-05
-500	-9.15	-7.68906e-06	1.78815e-05	0.000270726	-6.74729e-05
-500	-9.125	-8.34471e-06	1.71663e-05	0.000266196	-6.56848e-05
-500	-9.1	-7.56982e-06	1.74047e-05	0.00030339	-7.8321e-05
-500	-9.075	-7.45061e-06	1.68682e-05	0.000300886	-7.54599e-05
-500	-9.05	-7.80827e-06	1.78219e-05	0.000335099	-8.92882e-05
-500	-9.025	-7.56982e-06	1.74047e-05	0.000314118	-8.04667e-05
-500	-9	-7.56982e-06	1.77623e-05	0.000309231	-7.84402e-05
-500	-8.975	-8.88115e-06	1.72259e-05	0.000302197	-7.54599e-05
-500	-8.95	-8.34471e-06	1.72855e-05	0.000308754	-7.73673e-05
-500	-8.925	-7.80827e-06	1.82987e-05	0.000302317	-7.40294e-05
-500	-8.9	-1.02521e-05	1.97293e-05	0.000305178	-7.42679e-05
-500	-8.875	-1.17422e-05	1.99081e-05	0.000286819	-6.68769e-05
-500	-8.85	-1.03713e-05	1.95504e-05	0.000305297	-7.27181e-05
-500	-8.825	-9.77522e-06	1.961e-05	0.000294687	-6.8665e-05
-500	-8.8	-1.07885e-05	1.8716e-05	0.000255467	-5.59094e-05
-500	-8.775	-9.05996e-06	1.85372e-05	0.000231505	-4.828e-05
-500	-8.75	-8.2851e-06	1.72855e-05	0.000237943	-5.03066e-05
-500	-8.725	-9.41759e-06	1.75239e-05	0.000252249	-5.43597e-05
-500	-8.7	-1.00136e-05	1.78219e-05	0.00023985	-5.0545e-05
-500	-8.675	-9.11957e-06	1.75239e-05	0.000261428	-5.63862e-05
-500	-8.65	-9.29838e-06	1.6749e-05	0.000249626	-5.26907e-05
-500	-8.625	-8.52352e-06	1.50204e-05	0.000226618	-4.57766e-05
-500	-8.6	-7.62945e-06	1.34707e-05	0.000212909	-4.19619e-05
-500	-8.575	-6.85456e-06	1.34111e-05	0.000199438	-3.81472e-05
-500	-8.55	-6.0201e-06	1.27555e-05	0.000201703	-3.8624e-05
-500	-8.525	-5.90089e-06	1.25766e-05	0.000214578	-4.17235e-05
-500	-8.5	-5.30484e-06	1.26958e-05	0.000206948	-3.98161e-05
-500	-8.475	-4.94721e-06	1.23382e-05	0.000193478	-3.58822e-05
-500	-8.45	-3.81473e-06	1.1623e-05	0.000175119	-3.12331e-05
-500	-8.425	-2.50341e-06	1.10865e-05	0.00017202	-3.02793e-05
-500	-8.4	-1.84775e-06	1.03117e-05	0.000179649	-3.19483e-05
-500	-8.375	-1.60933e-06	9.65601e-06	0.000174762	-3.07562e-05
-500	-8.35	-1.84775e-06	9.59641e-06	0.000178815	-3.14715e-05
-500	-8.325	-1.78815e-06	9.95403e-06	0.000182391	-3.21867e-05
-500	-8.3	-1.84775e-06	9.83482e-06	0.000172616	-2.99216e-05
-500	-8.275	-1.84775e-06	1.04309e-05	0.000171543	-2.94448e-05
-500	-8.25	-1.49012e-06	8.76194e-06	0.000167967	-2.84911e-05
-500	-8.225	-2.20539e-06	8.34471e-06	0.000166536	-2.80143e-05
-500	-8.2	-1.54973e-06	8.52352e-06	0.000159503	-2.64646e-05
-500	-8.175	-1.31131e-06	8.58313e-06	0.000150443	-2.4438e-05
