# srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"	"X"	"Y"
# 271
-13	3.5763e-07	-1.78815e-07	9.89442e-05	-9.41759e-06
-12.9	3.5763e-07	1.1325e-06	0.000101209	-9.65601e-06
-12.8	-2.3842e-07	7.15259e-07	0.000114918	-1.16826e-05
-12.7	4.76841e-07	7.74864e-07	0.000145555	-1.4782e-05
-12.6	-5.96051e-08	1.1921e-07	0.000227452	-2.3842e-05
-12.5	-1.1921e-07	1.01329e-06	0.000562076	-8.20165e-05
-12.4	5.96051e-08	-7.15259e-07	0.000682715	-0.000113369
-12.3	3.5763e-07	2.98025e-07	0.00159074	-0.000549678
-12.2	5.96051e-08	-1.01329e-06	0.00172914	-0.000646118
-12.1	0	5.9605e-07	0.00141097	-0.000437142
-12	1.78815e-07	2.98025e-07	0.00152088	-0.000490908
-11.9	-5.96051e-08	3.5763e-07	0.00162483	-0.000558738
-11.8	2.3842e-07	-4.17234e-07	0.00175632	-0.000799898
-11.7	4.76841e-07	-9.53682e-07	0.00187994	-0.00126184
-11.6	-1.1921e-07	-1.1921e-07	0.00188959	-0.00114561
-11.5	-8.34469e-07	-1.78815e-07	0.00212802	-0.00163198
-11.4	-2.3842e-07	5.36445e-07	0.00218429	-0.00130881
-11.3	-1.37091e-06	-5.36445e-07	0.00214173	-0.00154448
-11.2	2.98025e-07	-3.5763e-07	0.00203992	-0.000989087
-11.1	1.90736e-06	1.78815e-07	0.00214578	-0.00107325
-11	-2.3842e-07	4.17234e-07	0.00218429	-0.000951175
-10.9	1.78815e-07	8.94073e-07	0.00218429	-0.000939492
-10.8	2.3842e-07	-1.1921e-06	0.00218429	-0.00118817
-10.7	-1.2517e-06	-4.76841e-07	0.0020472	-0.000544909
-10.6	-1.1921e-07	-1.07289e-06	0.00218429	-0.000768427
-10.5	5.36445e-07	-2.98025e-07	0.00218429	-0.000766281
-10.4	7.74864e-07	-4.17234e-07	0.00198032	-0.000463726
-10.3	-4.17234e-07	-1.90736e-06	0.00153888	-0.0002898
-10.2	7.74864e-07	5.96051e-08	0.00161839	-0.000313522
-10.1	6.55655e-07	-1.07289e-06	0.00135685	-0.000237466
-10	-2.98025e-07	6.55655e-07	0.00172902	-0.000372412
-9.9	-1.1921e-07	-5.36445e-07	0.000995643	-0.000144602
-9.8	-8.94073e-07	-7.74864e-07	0.000791673	-0.000103117
-9.7	-1.07289e-06	-1.1921e-07	0.000609282	-7.12876e-05
-9.6	5.36445e-07	-6.55655e-07	0.000551227	-6.22277e-05
-9.5	-5.36445e-07	-5.36445e-07	0.000484588	-5.28099e-05
-9.4	4.17234e-07	-1.84775e-06	0.000453951	-4.81608e-05
-9.3	2.98025e-07	-8.34469e-07	0.00038922	-4.04122e-05
-9.2	-6.55655e-07	2.98025e-07	0.00032449	-3.20675e-05
-9.1	-9.53682e-07	0	0.000338914	-3.38557e-05
-9	-4.17234e-07	-1.31131e-06	0.000288369	-2.88488e-05
-8.9	8.94073e-07	7.74864e-07	0.000237108	-2.28883e-05
-8.8	1.78815e-07	0	0.00021577	-2.01465e-05
-8.7	-8.34469e-07	0	0.000221969	-2.12194e-05
-8.6	2.98025e-07	-6.55655e-07	0.000227214	-2.19346e-05
-8.5	-2.3842e-07	7.15259e-07	0.000213624	-1.99081e-05
-8.4	-1.01329e-06	5.9605e-07	0.000204087	-1.89544e-05
-8.3	-8.34469e-07	-1.2517e-06	0.000197292	-1.90736e-05
-8.2	7.15259e-07	4.76841e-07	0.000200988	-1.9312e-05
-8.1	-9.53682e-07	5.96051e-08	0.000203849	-1.90736e-05
-8	1.01329e-06	-2.3842e-07	0.000202061	-1.94312e-05
-7.9	1.1921e-07	-4.17234e-07	0.000217319	-2.07425e-05
-7.8	-4.76841e-07	5.96051e-08	0.000208617	-1.94312e-05
-7.7	7.74864e-07	-2.98025e-07	0.000198008	-1.84776e-05
-7.6	-1.60933e-06	-1.1921e-06	0.000175119	-1.68086e-05
-7.5	5.9605e-07	7.15259e-07	0.000159622	-1.49012e-05
-7.4	-2.98025e-07	-1.1921e-06	0.000154854	-1.45436e-05
-7.3	-4.76841e-07	4.76841e-07	0.000153423	-1.4782e-05
-7.2	2.98025e-07	-2.3842e-07	0.000158549	-1.4782e-05
-7.1	2.98025e-07	2.3842e-07	0.000155688	-1.4782e-05
-7	-4.76841e-07	-5.96051e-08	0.000151158	-1.43052e-05
-6.9	-7.15259e-07	-1.1921e-07	0.000151039	-1.39475e-05
-6.8	2.3842e-07	5.96051e-08	0.000145794	-1.31131e-05
-6.7	-1.1921e-07	-4.17234e-07	0.000147105	-1.37091e-05
-6.6	-7.74864e-07	8.94073e-07	0.000148416	-1.37091e-05
-6.5	3.5763e-07	3.5763e-07	0.000147105	-1.38283e-05
-6.4	-3.5763e-07	-4.76841e-07	0.000141622	-1.33515e-05
-6.3	3.5763e-07	-1.31131e-06	0.000142456	-1.37091e-05
-6.2	5.96051e-08	-4.17234e-07	0.000144959	-1.31131e-05
-6.1	-6.55655e-07	-1.1921e-07	0.000141741	-1.26362e-05
-6	5.96051e-08	-1.54973e-06	0.000138284	-1.32323e-05
-5.9	4.17234e-07	6.55655e-07	0.000142456	-1.32323e-05
-5.8	-2.3842e-07	0	0.000145317	-1.39475e-05
-5.7	7.74864e-07	7.15259e-07	0.000144959	-1.29939e-05
-5.6	7.15259e-07	1.1921e-07	0.000140429	-1.27555e-05
-5.5	-3.5763e-07	-2.98025e-07	0.000137092	-1.26362e-05
-5.4	4.17234e-07	1.2517e-06	0.000136496	-1.26362e-05
-5.3	1.31131e-06	-2.98025e-07	0.000135542	-1.31131e-05
-5.2	1.1921e-07	2.3842e-07	0.000136257	-1.33515e-05
-5.1	-7.74864e-07	-2.3842e-07	0.000132442	-1.20402e-05
-5	-1.1921e-07	-4.17234e-07	0.000132919	-1.2517e-05
-4.9	-1.1921e-07	-8.34469e-07	0.000136376	-1.31131e-05
-4.8	-8.34469e-07	-1.54973e-06	0.000146032	-1.35899e-05
-4.7	0	-1.1921e-07	0.000151874	-1.35899e-05
-4.6	-3.5763e-07	2.3842e-07	0.000167371	-1.54973e-05
-4.5	4.76841e-07	-9.53682e-07	0.000165821	-1.51396e-05
-4.4	-4.17234e-07	9.53682e-07	0.000169874	-1.51396e-05
-4.3	-4.17234e-07	-1.1921e-07	0.000149966	-1.44244e-05
-4.2	-7.74864e-07	5.96051e-08	0.000139237	-1.32323e-05
-4.1	1.78815e-07	5.96051e-08	0.000137688	-1.2517e-05
-4	-3.5763e-07	-1.1921e-07	0.000133158	-1.22786e-05
-3.9	1.78815e-07	-1.1921e-06	0.000133635	-1.2517e-05
-3.8	2.98025e-07	0	0.000127316	-1.22786e-05
-3.7	-1.01329e-06	2.3842e-07	0.000126959	-1.16826e-05
-3.6	-3.5763e-07	-1.2517e-06	0.000132085	-1.22786e-05
-3.5	-2.3842e-07	-7.15259e-07	0.000133515	-1.28747e-05
-3.4	1.78815e-07	-7.74864e-07	0.0001359	-1.33515e-05
-3.3	5.36445e-07	6.55655e-07	0.000138045	-1.31131e-05
-3.2	-1.1921e-07	-1.78815e-07	0.000138641	-1.26362e-05
-3.1	-1.31131e-06	-3.5763e-07	0.000135423	-1.32323e-05
-3	1.78815e-07	1.1921e-07	0.000132562	-1.27555e-05
-2.9	-2.3842e-07	-7.74864e-07	0.000131608	-1.21594e-05
-2.8	0	-3.5763e-07	0.000121475	-1.13249e-05
-2.7	7.74864e-07	-8.94073e-07	0.000120998	-1.16826e-05
-2.6	-8.34469e-07	3.5763e-07	0.000124813	-1.15634e-05
-2.5	-8.94073e-07	-2.3842e-07	0.000126482	-1.18018e-05
-2.4	-1.1921e-07	-1.1921e-07	0.000129224	-1.18018e-05
-2.3	5.96051e-08	5.9605e-07	0.000130058	-1.23978e-05
-2.2	0	-5.96051e-08	0.000130297	-1.22786e-05
-2.1	5.36445e-07	-2.3842e-07	0.000128985	-1.23978e-05
-2	-9.53682e-07	-4.76841e-07	0.000126482	-1.21594e-05
-1.9	-4.17234e-07	-5.96051e-08	0.000129224	-1.22786e-05
-1.8	-8.94073e-07	-2.98025e-07	0.000135184	-1.27555e-05
-1.7	-7.15259e-07	3.5763e-07	0.000143529	-1.33515e-05
-1.6	-4.76841e-07	-3.5763e-07	0.000150205	-1.34707e-05
-1.5	0	3.5763e-07	0.00016153	-1.52589e-05
-1.4	-1.01329e-06	-1.49012e-06	0.000163675	-1.50204e-05
-1.3	-1.31131e-06	-4.17234e-07	0.00016749	-1.54973e-05
-1.2	-1.01329e-06	-1.01329e-06	0.000162364	-1.51396e-05
-1.1	-4.76841e-07	4.76841e-07	0.00015998	-1.44244e-05
-1	7.15259e-07	-8.34469e-07	0.000167013	-1.56165e-05
-0.899999999999999	-3.5763e-07	-1.1921e-06	0.000169517	-1.6451e-05
-0.799999999999999	4.17234e-07	4.17234e-07	0.000181557	-1.68086e-05
-0.699999999999999	1.1921e-07	5.96051e-08	0.000186444	-1.74047e-05
-0.6	1.60933e-06	-8.34469e-07	0.000192166	-1.83583e-05
-0.5	1.1921e-07	-3.5763e-07	0.00020969	-2.05041e-05
-0.399999999999999	5.9605e-07	-5.9605e-07	0.00022781	-2.1577e-05
-0.299999999999999	-3.5763e-07	2.3842e-07	0.0002445	-2.36036e-05
-0.199999999999999	5.36445e-07	0	0.000260832	-2.53917e-05
-0.0999999999999996	6.55655e-07	-1.78815e-07	0.000307443	-3.2306e-05
0	7.74864e-07	-1.01329e-06	0.000436189	-5.26907e-05
0.100000000000001	9.53682e-07	-1.1921e-07	0.000660185	-8.8573e-05
0.200000000000001	1.1921e-07	7.74864e-07	0.000687364	-9.84673e-05
0.300000000000001	5.36445e-07	6.55655e-07	0.000874404	-0.00013888
0.4	-4.76841e-07	-4.17234e-07	0.00116134	-0.000221134
0.5	3.5763e-07	7.74864e-07	0.00105859	-0.000198246
0.600000000000001	-1.78815e-07	4.76841e-07	0.000665072	-9.29837e-05
0.700000000000001	7.15259e-07	9.53682e-07	0.000486614	-5.88896e-05
0.800000000000001	-5.36445e-07	7.74864e-07	0.000381472	-4.17235e-05
0.9	5.9605e-07	1.1921e-07	0.000320198	-3.39749e-05
1	-7.74864e-07	0	0.000270011	-2.82527e-05
1.1	-1.1921e-07	5.96051e-08	0.000240208	-2.43188e-05
1.2	-1.1921e-07	5.9605e-07	0.000214816	-2.11002e-05
1.3	-1.1921e-07	-4.76841e-07	0.000191689	-1.80007e-05
1.4	-1.31131e-06	0	0.000176908	-1.66894e-05
1.5	-5.96051e-08	-1.49012e-06	0.000164033	-1.53781e-05
1.6	-5.36445e-07	7.74864e-07	0.000151516	-1.43052e-05
1.7	3.5763e-07	5.96051e-08	0.00014782	-1.43052e-05
1.8	4.76841e-07	-1.54973e-06	0.00015998	-1.45436e-05
1.9	2.98025e-07	8.94073e-07	0.000160218	-1.51396e-05
2	-2.98025e-07	3.5763e-07	0.000156284	-1.44244e-05
2.1	3.5763e-07	-7.15259e-07	0.000162722	-1.4782e-05
2.2	-1.49012e-06	0	0.000152112	-1.37091e-05
2.3	5.96051e-08	-1.31131e-06	0.000141741	-1.32323e-05
2.4	-1.1921e-07	2.98025e-07	0.000146867	-1.32323e-05
2.5	1.1921e-07	5.96051e-08	0.000157715	-1.4782e-05
2.6	1.1921e-07	4.17234e-07	0.000161649	-1.4782e-05
2.7	4.76841e-07	4.76841e-07	0.000152589	-1.33515e-05
2.8	-7.15259e-07	-8.34469e-07	0.000142575	-1.27555e-05
2.9	-7.74864e-07	2.98025e-07	0.00013733	-1.31131e-05
3	-1.1921e-07	-1.1921e-07	0.000133992	-1.26362e-05
3.1	5.9605e-07	2.3842e-07	0.000132442	-1.20402e-05
3.2	1.49012e-06	-4.76841e-07	0.000114203	-1.09673e-05
3.3	-9.53682e-07	4.17234e-07	0.00011015	-1.07289e-05
3.4	4.17234e-07	-2.3842e-07	0.0001117	-1.10865e-05
3.5	-4.76841e-07	6.55655e-07	0.000112772	-1.09673e-05
3.6	-7.74864e-07	1.07289e-06	0.000113011	-1.09673e-05
3.7	1.1921e-07	4.76841e-07	0.000121594	-1.14442e-05
3.8	-1.43052e-06	-4.17234e-07	0.000127912	-1.21594e-05
3.9	-6.55655e-07	0	0.000129105	-1.20402e-05
4	5.96051e-08	-1.01329e-06	0.000139118	-1.21594e-05
4.1	7.74864e-07	2.3842e-07	0.000145555	-1.33515e-05
4.2	5.36445e-07	-1.07289e-06	0.000137807	-1.31131e-05
4.3	2.3842e-07	-8.34469e-07	0.00013125	-1.22786e-05
4.4	-2.98025e-07	5.36445e-07	0.000137807	-1.32323e-05
4.5	1.1921e-07	-4.17234e-07	0.000148059	-1.33515e-05
4.6	-4.17234e-07	7.15259e-07	0.000154854	-1.43052e-05
4.7	1.78815e-07	-5.36445e-07	0.000159145	-1.44244e-05
4.8	-1.78815e-07	-1.1921e-07	0.000157834	-1.40668e-05
4.9	-1.1921e-07	0	0.000163079	-1.43052e-05
5	1.31131e-06	1.1921e-07	0.00017345	-1.54973e-05
5.1	-1.78815e-07	-2.3842e-07	0.000172854	-1.5855e-05
5.2	-7.74864e-07	5.96051e-08	0.000169636	-1.56165e-05
5.3	1.1325e-06	-6.55655e-07	0.000174881	-1.59742e-05
5.4	9.53682e-07	-3.5763e-07	0.000174046	-1.57357e-05
5.5	2.3842e-07	7.15259e-07	0.000180007	-1.59742e-05
5.6	-1.2517e-06	0	0.000188471	-1.7047e-05
5.7	-5.36445e-07	-2.3842e-07	0.000181318	-1.65702e-05
