# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 271
-13	0.000109077	-1.09673e-05
-12.9	0.000110388	-1.03713e-05
-12.8	0.000118137	-1.15634e-05
-12.7	0.000143887	-1.45436e-05
-12.6	0.000217677	-2.24115e-05
-12.5	0.00052524	-7.40294e-05
-12.4	0.000721101	-0.000123502
-12.3	0.000838283	-0.000162364
-12.2	0.0017407	-0.000638369
-12.1	0.00135577	-0.000379922
-12	0.0013249	-0.000360014
-11.9	0.00131298	-0.000365855
-11.8	0.00217475	-0.0012132
-11.7	0.00185884	-0.00143505
-11.6	0.00218429	-0.00154568
-11.5	0.00212289	-0.00196184
-11.4	0.0019486	-0.00116826
-11.3	0.00195779	-0.00116337
-11.2	0.00218429	-0.00127888
-11.1	0.00197949	-0.00109995
-11	0.00184382	-0.000667933
-10.9	0.0014608	-0.000407459
-10.8	0.00145841	-0.000368359
-10.7	0.00166822	-0.000441315
-10.6	0.00186766	-0.000490908
-10.5	0.00144161	-0.000303628
-10.4	0.00200547	-0.000565652
-10.3	0.00218429	-0.000652675
-10.2	0.00218429	-0.000952128
-10.1	0.00218429	-0.00101722
-10	0.00218429	-0.000710372
-9.9	0.00159109	-0.00035608
-9.8	0.0014813	-0.000317933
-9.7	0.0011958	-0.000219704
-9.6	0.00075293	-0.000105978
-9.5	0.00065339	-8.60696e-05
-9.4	0.000600819	-7.58176e-05
-9.3	0.00053573	-6.54464e-05
-9.2	0.000516418	-6.22277e-05
-9.1	0.000488045	-5.69823e-05
-9	0.000491027	-5.73399e-05
-8.9	0.000597242	-7.52215e-05
-8.8	0.000606421	-7.59368e-05
-8.7	0.000554208	-6.72345e-05
-8.6	0.00053728	-6.38966e-05
-8.5	0.000455858	-5.17371e-05
-8.4	0.00034094	-3.56438e-05
-8.3	0.00036514	-3.91009e-05
-8.2	0.000330808	-3.39749e-05
-8.1	0.00028515	-2.86103e-05
-8	0.00027776	-2.75375e-05
-7.9	0.000268342	-2.68222e-05
-7.8	0.000269296	-2.7299e-05
-7.7	0.00025201	-2.50341e-05
-7.6	0.000241757	-2.43188e-05
-7.5	0.00025809	-2.56301e-05
-7.4	0.000254871	-2.51533e-05
-7.3	0.000231625	-2.31267e-05
-7.2	0.000225903	-2.16962e-05
-7.1	0.000227929	-2.1577e-05
-7	0.000243546	-2.32459e-05
-6.9	0.000254037	-2.51533e-05
-6.8	0.000226856	-2.20538e-05
-6.7	0.000210405	-1.97889e-05
-6.6	0.000211121	-2.05041e-05
-6.5	0.000227571	-2.22923e-05
-6.4	0.000209213	-2.02657e-05
-6.3	0.000197173	-1.8716e-05
-6.2	0.000198484	-1.91928e-05
-6.1	0.000208736	-2.00273e-05
-6	0.000205041	-1.97889e-05
-5.9	0.000201822	-1.9312e-05
-5.8	0.000192166	-1.83583e-05
-5.7	0.000192643	-1.84776e-05
-5.6	0.000214101	-2.03849e-05
-5.5	0.000215531	-2.06233e-05
-5.4	0.000243546	-2.3842e-05
-5.3	0.000260117	-2.57493e-05
-5.2	0.000254275	-2.51533e-05
-5.1	0.000235558	-2.24115e-05
-5	0.000207902	-2.02657e-05
-4.9	0.000200511	-1.94312e-05
-4.8	0.000223638	-2.1577e-05
-4.7	0.000226618	-2.18154e-05
-4.6	0.000220061	-2.11002e-05
-4.5	0.00022328	-2.12194e-05
-4.4	0.000218631	-2.12194e-05
-4.3	0.000202538	-1.96696e-05
-4.2	0.000192643	-1.78815e-05
-4.1	0.000186206	-1.76431e-05
-4	0.000181557	-1.72855e-05
-3.9	0.000173212	-1.68086e-05
-3.8	0.000178576	-1.7047e-05
-3.7	0.000186444	-1.77623e-05
-3.6	0.000196815	-1.8716e-05
-3.5	0.000217319	-2.05041e-05
-3.4	0.000223757	-2.18154e-05
-3.3	0.000224353	-2.20538e-05
-3.2	0.000198484	-1.89544e-05
-3.1	0.000191928	-1.83583e-05
-3	0.000199438	-1.89544e-05
-2.9	0.000201822	-1.91928e-05
-2.8	0.000199676	-1.90736e-05
-2.7	0.000257852	-2.55109e-05
-2.6	0.000316026	-3.17099e-05
-2.5	0.000314118	-3.17099e-05
-2.4	0.000276687	-2.76567e-05
-2.3	0.000359299	-3.73127e-05
-2.2	0.000360372	-3.8028e-05
-2.1	0.000360372	-3.75512e-05
-2	0.000399353	-4.32732e-05
-1.9	0.000358703	-3.69551e-05
-1.8	0.000319364	-3.2306e-05
-1.7	0.000307443	-3.07562e-05
-1.6	0.000280144	-2.77759e-05
-1.5	0.000273826	-2.75375e-05
-1.4	0.000271561	-2.6703e-05
-1.3	0.000261189	-2.58685e-05
-1.2	0.000252964	-2.51533e-05
-1.1	0.000259044	-2.57493e-05
-1	0.000246407	-2.39612e-05
-0.899999999999999	0.00023985	-2.36036e-05
-0.799999999999999	0.000216247	-2.12194e-05
-0.699999999999999	0.000219465	-2.13386e-05
-0.6	0.000240565	-2.39612e-05
-0.5	0.000289442	-2.8968e-05
-0.399999999999999	0.00029433	-3.05178e-05
-0.299999999999999	0.000311973	-3.36173e-05
-0.199999999999999	0.000336887	-3.70743e-05
-0.0999999999999996	0.00044501	-5.55518e-05
0	0.0007484	-0.000123979
0.100000000000001	0.00107158	-0.00023079
0.200000000000001	0.0011437	-0.000263454
0.300000000000001	0.000969533	-0.000189424
0.4	0.000895027	-0.000180126
0.5	0.000879768	-0.000171901
0.600000000000001	0.000887159	-0.000147463
0.700000000000001	0.000630025	-8.6308e-05
0.800000000000001	0.000488045	-6.06778e-05
0.9	0.000586037	-7.48639e-05
1	0.000407102	-4.64919e-05
1.1	0.000373127	-4.17235e-05
1.2	0.000362517	-3.91009e-05
1.3	0.000353577	-3.76704e-05
1.4	0.000331284	-3.40941e-05
