# srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"	"X"	"Y"
# 271
-13	-9.53682e-07	-2.3842e-06	1.51992e-05	-1.1623e-06
-12.9	5.96051e-08	2.3842e-07	1.72259e-05	-9.23876e-07
-12.8	-5.36445e-07	9.53682e-07	1.89842e-05	-7.45062e-07
-12.7	-5.96051e-08	-1.78815e-07	2.38718e-05	-1.1921e-06
-12.6	1.1921e-07	-4.76841e-07	3.45709e-05	-2.59282e-06
-12.5	-1.1921e-07	-6.55655e-07	7.65328e-05	-8.70234e-06
-12.4	-7.15259e-07	-3.5763e-07	9.90336e-05	-1.30237e-05
-12.3	-8.34469e-07	6.55655e-07	0.000140936	-2.37526e-05
-12.2	4.17234e-07	-5.96051e-08	0.000122757	-1.91928e-05
-12.1	-6.55655e-07	7.74864e-07	0.000161202	-2.95938e-05
-12	5.36445e-07	-5.9605e-07	0.000170142	-3.26338e-05
-11.9	-1.96697e-06	-2.3842e-07	0.000189782	-4.05612e-05
-11.8	-1.1921e-06	1.96697e-06	0.000228972	-7.12578e-05
-11.7	-1.1921e-06	-3.5763e-07	0.000238718	-7.56686e-05
-11.6	3.5763e-07	3.5763e-07	0.000232548	-7.25691e-05
-11.5	2.3842e-07	-2.3842e-07	0.000251057	-9.7156e-05
-11.4	1.1325e-06	-3.5763e-07	0.000233144	-9.26559e-05
-11.3	1.1921e-07	5.96051e-08	0.000199021	-6.17807e-05
-11.2	-2.3842e-07	-7.15259e-07	0.000181646	-4.58362e-05
-11.1	5.96051e-08	-2.3842e-07	0.000152917	-2.80143e-05
-11	-2.98025e-07	2.98025e-07	0.000198395	-3.42133e-05
-10.9	-1.07289e-06	-6.55655e-07	0.000232787	-4.13659e-05
-10.8	-6.55655e-07	-3.5763e-07	0.000198991	-3.15013e-05
-10.7	-4.17234e-07	2.3842e-07	0.000168563	-2.35738e-05
-10.6	4.76841e-07	5.9605e-07	0.000165285	-2.25605e-05
-10.5	-1.2517e-06	0	0.000180335	-2.50937e-05
-10.4	7.15259e-07	-4.17234e-07	0.000191123	-2.6703e-05
-10.3	-5.36445e-07	-5.96051e-08	0.000174345	-2.31863e-05
-10.2	7.74864e-07	1.1921e-07	0.000169427	-2.16664e-05
-10.1	4.76841e-07	-7.15259e-07	0.00014338	-1.73749e-05
-10	-1.1921e-07	-9.53682e-07	0.000121087	-1.32323e-05
-9.9	-2.98025e-07	-2.3842e-07	9.9123e-05	-9.5666e-06
-9.8	-1.1921e-06	5.9605e-07	8.36556e-05	-7.83807e-06
-9.7	-3.5763e-07	-5.36445e-07	7.29267e-05	-7.15259e-06
-9.6	-2.98025e-07	-1.1921e-07	6.78902e-05	-6.0499e-06
-9.5	-7.15259e-07	1.43052e-06	6.55954e-05	-6.46713e-06
-9.4	1.1921e-07	6.55655e-07	6.21383e-05	-4.91741e-06
-9.3	6.55655e-07	3.5763e-07	5.8234e-05	-4.91741e-06
-9.2	1.1325e-06	-2.3842e-07	5.1141e-05	-4.38097e-06
-9.1	-1.2517e-05	7.2718e-06	5.07536e-05	-4.26176e-06
-9	-5.96051e-08	-1.1921e-06	4.78032e-05	-3.81473e-06
-8.9	1.78815e-07	5.96051e-08	4.47931e-05	-3.15906e-06
-8.8	-5.96051e-08	-4.76841e-07	4.21407e-05	-3.27827e-06
-8.7	8.94073e-07	1.78815e-07	4.0144e-05	-3.30807e-06
-8.6	5.9605e-07	-2.3842e-07	3.82366e-05	-3.51669e-06
-8.5	1.1325e-06	4.76841e-07	3.75214e-05	-2.95044e-06
-8.4	4.76841e-07	5.96051e-08	3.74021e-05	-2.02657e-06
-8.3	2.3842e-07	2.98025e-07	3.61504e-05	-2.65242e-06
-8.2	-6.55655e-07	-5.36445e-07	3.5763e-05	-2.05637e-06
-8.1	6.55655e-07	-1.66894e-06	3.40941e-05	-3.12926e-06
-8	6.55655e-07	2.98025e-07	3.34384e-05	-2.3246e-06
-7.9	1.78815e-07	7.15259e-07	3.2604e-05	-2.47361e-06
-7.8	-4.76841e-07	-2.3842e-07	3.14417e-05	-1.07289e-06
-7.7	1.49012e-06	5.96051e-08	3.01005e-05	-2.02657e-06
-7.6	-5.36445e-07	-1.1921e-07	2.94746e-05	-2.05637e-06
-7.5	7.15259e-07	-8.34469e-07	2.87296e-05	-1.51993e-06
-7.4	9.53682e-07	8.94073e-07	2.79845e-05	-1.40072e-06
-7.3	1.78815e-07	-1.66894e-06	2.79249e-05	-1.96697e-06
-7.2	-1.2517e-06	-3.5763e-07	2.77759e-05	-1.66894e-06
-7.1	3.5763e-07	1.1921e-07	2.68222e-05	-1.90736e-06
-7	2.3842e-07	1.78815e-07	2.69712e-05	-1.96697e-06
