# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 271
-13	1.34707e-05	-4.47037e-07
-12.9	1.35899e-05	-5.66248e-07
-12.8	1.46926e-05	-1.04309e-06
-12.7	1.58251e-05	-4.47037e-07
-12.6	1.73749e-05	-3.5763e-07
-12.5	1.91034e-05	-1.2219e-06
-12.4	2.19942e-05	-1.40072e-06
-12.3	2.55109e-05	-1.78815e-06
-12.2	3.2753e-05	-2.95044e-06
-12.1	5.81148e-05	-7.39101e-06
-12	0.000103951	-2.50043e-05
-11.9	9.75137e-05	-2.13684e-05
-11.8	9.08975e-05	-1.87458e-05
-11.7	9.99873e-05	-2.2173e-05
-11.6	0.000103236	-2.27095e-05
-11.5	0.00011018	-2.46764e-05
-11.4	0.00012073	-2.67328e-05
-11.3	0.00015092	-3.82366e-05
-11.2	0.000208111	-7.52811e-05
-11.1	0.000210286	-7.85892e-05
-11	0.00024599	-9.19406e-05
-10.9	0.000227124	-5.70121e-05
-10.8	0.00032446	-9.79905e-05
-10.7	0.000404598	-0.000155241
-10.6	0.000445427	-0.000150741
-10.5	0.000328394	-9.00035e-05
-10.4	0.000259491	-7.55494e-05
-10.3	0.000201763	-5.62968e-05
-10.2	0.000231774	-6.98571e-05
-10.1	0.000160516	-3.80578e-05
-10	0.000131489	-2.4736e-05
-9.9	0.000107319	-1.72557e-05
-9.8	9.20598e-05	-1.35303e-05
-9.7	8.53841e-05	-1.17422e-05
-9.6	7.38208e-05	-1.03713e-05
-9.5	6.339e-05	-7.83807e-06
-9.4	5.70419e-05	-6.46713e-06
-9.3	5.45087e-05	-6.43733e-06
-9.2	5.129e-05	-5.84128e-06
-9.1	4.95615e-05	-4.97702e-06
-9	4.94423e-05	-5.42405e-06
-8.9	4.70581e-05	-4.82801e-06
-8.8	4.45249e-05	-5.27504e-06
-8.7	4.3601e-05	-4.26176e-06
-8.6	4.17235e-05	-4.55978e-06
-8.5	3.93691e-05	-4.35117e-06
-8.4	3.74319e-05	-3.6955e-06
-8.3	3.54054e-05	-2.92064e-06
-8.2	3.49584e-05	-3.21867e-06
-8.1	3.32298e-05	-2.89084e-06
-8	3.17993e-05	-2.3544e-06
-7.9	3.16801e-05	-2.50341e-06
-7.8	3.03985e-05	-3.06965e-06
-7.7	2.9415e-05	-3.06965e-06
-7.6	2.93554e-05	-2.3842e-06
-7.5	2.9564e-05	-2.05637e-06
-7.4	2.83123e-05	-2.53321e-06
-7.3	2.68222e-05	-2.4438e-06
-7.2	2.6554e-05	-2.3544e-06
-7.1	2.52129e-05	-2.3544e-06
-7	2.56599e-05	-1.99677e-06
-6.9	2.4289e-05	-2.20539e-06
-6.8	2.37526e-05	-2.23519e-06
-6.7	2.32757e-05	-1.57953e-06
-6.6	2.2024e-05	-1.49012e-06
-6.5	2.18452e-05	-2.08618e-06
-6.4	2.10108e-05	-8.64271e-07
-6.3	2.04743e-05	-1.81795e-06
-6.2	2.05041e-05	-1.51993e-06
-6.1	2.03253e-05	-1.31131e-06
-6	2.09213e-05	-1.2517e-06
-5.9	2.13386e-05	-1.49012e-06
-5.8	2.1279e-05	-1.96697e-06
-5.7	2.06531e-05	-1.49012e-06
-5.6	2.10108e-05	-1.2517e-06
-5.5	2.10108e-05	-1.57953e-06
-5.4	2.00273e-05	-1.57953e-06
-5.3	2.01763e-05	-1.1623e-06
-5.2	1.96398e-05	-1.31131e-06
-5.1	1.97591e-05	-1.57953e-06
-5	1.96696e-05	-1.43052e-06
-4.9	2.06531e-05	-7.45062e-07
-4.8	1.99081e-05	-1.10269e-06
-4.7	1.96696e-05	-1.1325e-06
-4.6	1.94312e-05	-1.51993e-06
-4.5	1.91332e-05	-1.49012e-06
-4.4	1.95802e-05	-1.60933e-06
-4.3	1.98485e-05	-1.10269e-06
-4.2	1.95206e-05	-1.40072e-06
-4.1	1.9312e-05	-1.60933e-06
-4	1.95802e-05	-1.28151e-06
-3.9	1.91928e-05	-1.1325e-06
-3.8	1.90736e-05	-5.06643e-07
-3.7	1.90438e-05	-1.75834e-06
-3.6	1.90736e-05	-1.60933e-06
-3.5	1.9163e-05	-1.31131e-06
-3.4	1.88948e-05	-1.54973e-06
-3.3	1.86266e-05	-1.2517e-06
-3.2	1.94908e-05	-1.10269e-06
-3.1	1.92822e-05	-1.2517e-06
-3	1.89246e-05	-1.66894e-06
-2.9	1.95206e-05	-1.04309e-06
-2.8	1.95206e-05	-1.54973e-06
-2.7	1.90736e-05	-1.1623e-06
-2.6	1.96398e-05	-1.75834e-06
-2.5	1.99975e-05	-1.10269e-06
-2.4	2.04147e-05	-8.34469e-07
-2.3	2.02955e-05	-1.66894e-06
-2.2	2.04445e-05	-1.87755e-06
-2.1	2.04445e-05	-1.57953e-06
-2	2.07723e-05	-1.60933e-06
-1.9	2.07723e-05	-1.72854e-06
-1.8	2.1279e-05	-2.20539e-06
-1.7	2.113e-05	-1.51993e-06
-1.6	2.15174e-05	-1.69874e-06
-1.5	2.25903e-05	-1.46032e-06
-1.4	2.24115e-05	-1.96697e-06
-1.3	2.33353e-05	-1.2517e-06
-1.2	2.33651e-05	-2.26499e-06
-1.1	2.3693e-05	-2.4438e-06
-1	2.41698e-05	-2.14578e-06
-0.899999999999999	2.50639e-05	-2.02657e-06
-0.799999999999999	2.69116e-05	-1.90736e-06
-0.699999999999999	2.77461e-05	-2.02657e-06
-0.6	2.93852e-05	-1.90736e-06
-0.5	3.22761e-05	-2.89084e-06
-0.399999999999999	3.57034e-05	-3.33787e-06
-0.299999999999999	3.94585e-05	-3.78491e-06
-0.199999999999999	4.7833e-05	-5.00682e-06
-0.0999999999999996	6.01711e-05	-7.68906e-06
0	8.20761e-05	-1.27555e-05
0.100000000000001	0.000102222	-1.98187e-05
0.200000000000001	0.000112087	-2.3693e-05
0.300000000000001	0.000107617	-2.00273e-05
0.4	9.77819e-05	-1.63616e-05
0.5	8.92584e-05	-1.41562e-05
0.600000000000001	7.92746e-05	-1.18912e-05
0.700000000000001	6.88438e-05	-9.38779e-06
0.800000000000001	6.00221e-05	-7.45061e-06
0.9	5.55518e-05	-6.67575e-06
1	5.24523e-05	-6.28832e-06
1.1	4.83098e-05	-5.57306e-06
1.2	4.40183e-05	-5.21544e-06
1.3	4.08592e-05	-4.44058e-06
1.4	3.69849e-05	-4.05314e-06
1.5	3.35875e-05	-3.33787e-06
1.6	3.11735e-05	-2.74183e-06
1.7	2.99515e-05	-2.77163e-06
1.8	2.96832e-05	-2.95044e-06
1.9	2.8819e-05	-2.02657e-06
2	2.78653e-05	-2.08618e-06
2.1	2.6852e-05	-1.96697e-06
2.2	2.61964e-05	-2.02657e-06
2.3	2.4289e-05	-2.3544e-06
2.4	2.40804e-05	-1.75834e-06
2.5	2.27393e-05	-1.72854e-06
2.6	2.19942e-05	-2.05637e-06
2.7	2.07723e-05	-1.78815e-06
2.8	1.99677e-05	-1.93717e-06
2.9	1.90438e-05	-1.78815e-06
3	1.9163e-05	-1.78815e-06
3.1	1.85968e-05	-1.10269e-06
3.2	1.81199e-05	-1.69874e-06
3.3	1.81795e-05	-1.34111e-06
3.4	1.74941e-05	-4.17234e-07
3.5	1.86266e-05	-6.25852e-07
3.6	1.77027e-05	-1.66894e-06
3.7	1.80901e-05	-4.17234e-07
3.8	1.76133e-05	-5.36445e-07
3.9	1.74345e-05	-9.53682e-07
4	1.65404e-05	-1.01329e-06
4.1	1.63914e-05	-1.01329e-06
4.2	1.62424e-05	-1.49013e-07
4.3	1.54079e-05	-1.04309e-06
4.4	1.48416e-05	-9.83484e-07
4.5	1.56463e-05	-8.94073e-07
4.6	1.51992e-05	-1.10269e-06
4.7	1.55271e-05	-2.3842e-07
4.8	1.4782e-05	-2.3842e-07
4.9	1.56761e-05	-4.17234e-07
5	1.55867e-05	-5.06643e-07
5.1	1.53483e-05	-1.34111e-06
5.2	1.46926e-05	-9.83484e-07
5.3	1.53185e-05	-7.45062e-07
5.4	1.4931e-05	-6.85457e-07
5.5	1.49012e-05	-6.55655e-07
5.6	1.46628e-05	-1.04309e-06
5.7	1.45138e-05	-3.87432e-07
5.8	1.44244e-05	-7.15259e-07
5.9	1.4484e-05	-6.25852e-07
6	1.40071e-05	-6.25852e-07
6.1	1.46628e-05	-8.94073e-07
6.2	1.4186e-05	-2.3842e-07
6.3	1.43052e-05	-8.04666e-07
6.4	1.46032e-05	-7.45062e-07
6.5	1.48714e-05	5.96051e-08
6.6	1.49608e-05	-1.31131e-06
6.7	1.51694e-05	-7.74864e-07
6.8	1.59444e-05	-1.1623e-06
6.9	1.59742e-05	-8.34469e-07
7	1.63616e-05	-1.49012e-06
7.1	1.65404e-05	-6.55655e-07
7.2	1.69874e-05	-8.94073e-07
7.3	1.74643e-05	-1.1325e-06
7.4	1.80901e-05	-1.1623e-06
7.5	1.83881e-05	-1.04309e-06
7.6	1.85968e-05	-7.45062e-07
7.7	1.86862e-05	-1.54973e-06
7.8	1.92524e-05	-1.2517e-06
7.9	1.91034e-05	-1.37091e-06
8	1.961e-05	-8.94073e-07
8.1	1.94908e-05	-1.2219e-06
8.2	2.00273e-05	-1.1623e-06
8.3	2.06829e-05	-1.43052e-06
8.4	2.02359e-05	-1.28151e-06
8.5	2.04445e-05	-1.1623e-06
8.6	2.05637e-05	-1.46032e-06
8.7	2.08319e-05	-1.37091e-06
8.8	2.05935e-05	-1.72854e-06
8.9	2.08021e-05	-1.2219e-06
9	2.10704e-05	-1.2219e-06
9.1	2.18452e-05	-1.04309e-06
9.2	2.2024e-05	-1.60933e-06
9.3	2.3544e-05	-1.43052e-06
9.4	2.54811e-05	-1.72854e-06
9.5	2.80739e-05	-1.63914e-06
9.6	3.15609e-05	-2.50341e-06
9.7	3.36471e-05	-3.12926e-06
9.8	3.71041e-05	-3.7253e-06
9.9	4.32136e-05	-3.75511e-06
10	5.25417e-05	-6.58634e-06
10.1	6.56252e-05	-9.44739e-06
10.2	0.000105203	-2.16068e-05
10.3	0.000166328	-5.19457e-05
10.4	0.000212641	-8.21655e-05
10.5	0.000204892	-6.20489e-05
10.6	0.000233592	-7.15856e-05
10.7	0.000286849	-9.72752e-05
10.8	0.000368299	-0.000125499
10.9	0.000387223	-0.000130863
11	0.000355722	-0.000115037
11.1	0.000272634	-7.20029e-05
11.2	0.000343623	-0.000101269
11.3	0.000353934	-0.000116349
11.4	0.000362786	-0.000130028
11.5	0.00044048	-0.000179441
11.6	0.000304045	-9.10466e-05
11.7	0.00017047	-3.38855e-05
11.8	0.000129224	-2.11002e-05
11.9	0.000135363	-2.00571e-05
12	0.00017646	-3.07562e-05
12.1	0.000183136	-3.2753e-05
12.2	0.000233741	-4.63726e-05
12.3	0.000296505	-6.91121e-05
12.4	0.000227184	-4.76839e-05
12.5	0.000196726	-3.82068e-05
12.6	0.000213326	-5.41213e-05
12.7	0.000222147	-9.45036e-05
12.8	0.000147433	-4.99191e-05
12.9	0.000147224	-5.3108e-05
13	0.000171513	-7.37016e-05
13.1	0.000150115	-5.56114e-05
13.2	0.000121475	-3.77598e-05
13.3	0.000111014	-3.18589e-05
13.4	9.72454e-05	-2.53023e-05
13.5	4.25579e-05	-4.85781e-06
13.6	2.55705e-05	-2.47361e-06
13.7	2.33949e-05	-1.37091e-06
13.8	2.58387e-05	-2.59282e-06
