# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 271
-13	2.50341e-06	-2.3842e-07
-12.9	2.86104e-06	-1.1921e-07
-12.8	3.15906e-06	-3.27827e-07
-12.7	3.45708e-06	-2.68223e-07
-12.6	3.42728e-06	-3.87432e-07
-12.5	7.21219e-06	-1.34111e-06
-12.4	7.15259e-06	-1.99677e-06
-12.3	5.81148e-06	-3.21867e-06
-12.2	6.22871e-06	-4.61939e-06
-12.1	1.03713e-05	-5.72208e-06
-12	8.46392e-06	-4.7684e-06
-11.9	1.12355e-05	-8.01688e-06
-11.8	3.55246e-05	-3.7879e-05
-11.7	2.16366e-05	-3.43027e-05
-11.6	3.36471e-05	-6.65491e-05
-11.5	-0.000184507	5.67141e-05
-11.4	-0.000142009	-5.36445e-06
-11.3	-9.93316e-05	-4.10678e-05
-11.2	9.87058e-05	-0.00022483
-11.1	4.67601e-05	-0.000147016
-11	7.09896e-05	-0.000136108
-10.9	2.4289e-05	-4.93827e-05
-10.8	7.08704e-05	-0.000206352
-10.7	9.45036e-05	-0.000116557
-10.6	0.000156374	-0.000228972
-10.5	0.000277223	-0.000427844
-10.4	0.00019315	-0.000424834
-10.3	0.000276359	-0.000437858
-10.2	0.000250729	-0.000488015
-10.1	0.000243247	-0.000321241
-10	0.000247242	-0.00025809
-9.9	0.000294777	-0.000297936
-9.8	0.000124396	-4.69985e-05
-9.7	7.69203e-05	-2.04743e-05
-9.6	5.15284e-05	-1.13547e-05
-9.5	4.64024e-05	-9.5368e-06
-9.4	4.19619e-05	-8.73214e-06
-9.3	3.62399e-05	-7.42081e-06
-9.2	3.2902e-05	-6.55654e-06
-9.1	3.15609e-05	-6.37773e-06
-9	3.0637e-05	-5.75188e-06
-8.9	2.82527e-05	-5.33464e-06
-8.8	2.6405e-05	-4.50018e-06
-8.7	2.50341e-05	-4.14255e-06
-8.6	2.34247e-05	-3.6061e-06
-8.5	2.2173e-05	-3.36768e-06
-8.4	2.113e-05	-3.03985e-06
-8.3	1.99081e-05	-2.80143e-06
-8.2	1.90736e-05	-2.53321e-06
-8.1	1.85372e-05	-2.4438e-06
-8	1.80007e-05	-2.29479e-06
-7.9	1.72259e-05	-2.08618e-06
-7.8	1.65106e-05	-1.96697e-06
-7.7	1.59444e-05	-1.90736e-06
-7.6	1.54079e-05	-1.78815e-06
-7.5	1.49608e-05	-1.66894e-06
-7.4	1.45436e-05	-1.60933e-06
-7.3	1.41562e-05	-1.54973e-06
-7.2	1.38581e-05	-1.46032e-06
-7.1	1.35601e-05	-1.40072e-06
-7	1.32621e-05	-1.37091e-06
-6.9	1.29343e-05	-1.37091e-06
-6.8	1.26064e-05	-1.31131e-06
-6.7	1.21892e-05	-1.2219e-06
-6.6	1.18316e-05	-1.1325e-06
-6.5	1.14442e-05	-1.07289e-06
-6.4	1.11163e-05	-1.07289e-06
-6.3	1.08183e-05	-9.83484e-07
-6.2	1.05799e-05	-9.53682e-07
-6.1	1.02819e-05	-9.53682e-07
-6	9.92423e-06	-9.23876e-07
-5.9	9.65601e-06	-8.94073e-07
-5.8	9.38779e-06	-8.34469e-07
