# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 271
-13	2.56301e-06	-1.1921e-07
-12.9	2.86104e-06	-4.47037e-07
-12.8	3.18886e-06	-2.98025e-07
-12.7	3.45708e-06	-3.5763e-07
-12.6	3.42728e-06	-3.5763e-07
-12.5	7.2718e-06	-1.31131e-06
-12.4	7.77846e-06	-2.20539e-06
-12.3	5.87109e-06	-3.27827e-06
-12.2	6.28832e-06	-4.41077e-06
-12.1	1.07587e-05	-6.16911e-06
-12	8.79174e-06	-5.06642e-06
-11.9	1.27555e-05	-1.15336e-05
-11.8	2.98024e-05	-2.50937e-05
-11.7	2.867e-05	-5.27503e-05
-11.6	4.65515e-05	-5.73995e-05
-11.5	-0.00013885	-1.59146e-05
-11.4	-0.000109673	-2.81037e-05
-11.3	-6.96187e-05	-6.79796e-05
-11.2	-5.45087e-05	-5.08728e-05
-11.1	9.26857e-05	-0.00021872
-11	-4.44058e-06	-4.50911e-05
-10.9	2.29479e-05	-5.49855e-05
-10.8	6.43437e-05	-0.000104607
-10.7	0.000191987	-0.000203402
-10.6	0.000176818	-0.000245096
-10.5	0.000262262	-0.000314476
-10.4	0.000151516	-0.000336947
-10.3	0.000218124	-0.000332685
-10.2	0.000232817	-0.000390323
-10.1	0.000210912	-0.000228227
-10	0.0002338	-0.000546101
-9.9	0.000247242	-0.000194163
-9.8	0.000122786	-4.46739e-05
-9.7	8.02879e-05	-2.10704e-05
-9.6	5.17967e-05	-1.10567e-05
-9.5	4.76243e-05	-9.95403e-06
-9.4	4.03526e-05	-8.70234e-06
-9.3	3.62995e-05	-7.39101e-06
-9.2	3.32e-05	-6.97377e-06
-9.1	3.17993e-05	-6.73535e-06
-9	3.0637e-05	-5.93069e-06
-8.9	2.81931e-05	-4.97702e-06
-8.8	2.62858e-05	-4.41077e-06
-8.7	2.47956e-05	-3.93394e-06
-8.6	2.33949e-05	-3.6061e-06
-8.5	2.20538e-05	-3.33787e-06
-8.4	2.10704e-05	-3.03985e-06
-8.3	1.99379e-05	-2.77163e-06
-8.2	1.90736e-05	-2.59282e-06
-8.1	1.85968e-05	-2.3544e-06
-8	1.79709e-05	-2.29479e-06
-7.9	1.72557e-05	-2.17558e-06
-7.8	1.65106e-05	-2.02657e-06
-7.7	1.58848e-05	-1.93717e-06
-7.6	1.53483e-05	-1.78815e-06
-7.5	1.4931e-05	-1.60933e-06
-7.4	1.46032e-05	-1.57953e-06
-7.3	1.42158e-05	-1.51993e-06
-7.2	1.38581e-05	-1.51993e-06
-7.1	1.35005e-05	-1.46032e-06
-7	1.32323e-05	-1.43052e-06
-6.9	1.29045e-05	-1.34111e-06
-6.8	1.25468e-05	-1.31131e-06
-6.7	1.2219e-05	-1.2219e-06
-6.6	1.18614e-05	-1.1623e-06
-6.5	1.1474e-05	-1.10269e-06
-6.4	1.12057e-05	-1.07289e-06
-6.3	1.08481e-05	-1.07289e-06
-6.2	1.05203e-05	-9.83484e-07
-6.1	1.02223e-05	-9.23876e-07
-6	9.89443e-06	-9.23876e-07
-5.9	9.71562e-06	-8.64271e-07
-5.8	9.44739e-06	-8.94073e-07
-5.7	9.20898e-06	-8.34469e-07
-5.6	8.97056e-06	-8.34469e-07
-5.5	8.76194e-06	-8.04666e-07
-5.4	8.55332e-06	-8.04666e-07
-5.3	8.34471e-06	-7.45062e-07
-5.2	8.1957e-06	-7.45062e-07
-5.1	8.10629e-06	-7.45062e-07
-5	8.07649e-06	-7.45062e-07
