# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 271
-13	2.62262e-06	-2.68223e-07
-12.9	2.86104e-06	-1.1921e-07
-12.8	3.36768e-06	-3.5763e-07
-12.7	3.54649e-06	-3.87432e-07
-12.6	3.54649e-06	-3.5763e-07
-12.5	6.85456e-06	-1.2219e-06
-12.4	8.04669e-06	-1.78815e-06
-12.3	8.49372e-06	-3.36768e-06
-12.2	4.97702e-06	-4.11275e-06
-12.1	1.38581e-05	-5.00682e-06
-12	1.01925e-05	-4.52998e-06
-11.9	1.22488e-05	-9.92423e-06
-11.8	3.33192e-05	-3.93393e-05
-11.7	3.07264e-05	-4.75051e-05
-11.6	1.6004e-05	-4.76541e-05
-11.5	-0.000205846	3.32596e-05
-11.4	-0.000134886	8.07649e-06
-11.3	-7.68309e-05	-3.46305e-05
-11.2	3.8326e-05	-0.000111789
-11.1	6.19893e-05	-0.00014642
-11	6.25852e-07	-5.582e-05
-10.9	7.42082e-05	-0.000134886
-10.8	6.34496e-05	-0.000112027
-10.7	0.000139386	-0.000160635
-10.6	0.000190438	-0.000386896
-10.5	0.00025657	-0.000524644
-10.4	0.000136257	-0.000173748
-10.3	0.000280114	-0.000392111
-10.2	0.000240565	-0.000278892
-10.1	0.00025061	-0.000314029
-10	0.000213028	-0.000546101
-9.9	0.000229687	-0.000158996
-9.8	0.000111431	-3.81174e-05
-9.7	7.78143e-05	-2.14578e-05
-9.6	5.12304e-05	-1.12951e-05
-9.5	4.75051e-05	-1.0103e-05
-9.4	4.14553e-05	-8.94075e-06
-9.3	3.61504e-05	-7.3314e-06
-9.2	3.28126e-05	-6.55654e-06
-9.1	3.15907e-05	-6.79496e-06
-9	3.04879e-05	-6.10951e-06
-8.9	2.83421e-05	-5.27504e-06
-8.8	2.64348e-05	-4.41077e-06
-8.7	2.50937e-05	-4.29156e-06
-8.6	2.34843e-05	-3.6359e-06
-8.5	2.21432e-05	-3.36768e-06
-8.4	2.11598e-05	-3.03985e-06
-8.3	1.99975e-05	-2.80143e-06
-8.2	1.91034e-05	-2.59282e-06
-8.1	1.86564e-05	-2.414e-06
-8	1.80305e-05	-2.26499e-06
-7.9	1.71961e-05	-2.17558e-06
-7.8	1.6451e-05	-1.96697e-06
-7.7	1.58848e-05	-1.81795e-06
-7.6	1.54079e-05	-1.75834e-06
-7.5	1.4931e-05	-1.63914e-06
-7.4	1.46628e-05	-1.57953e-06
-7.3	1.42754e-05	-1.54973e-06
-7.2	1.39177e-05	-1.49012e-06
-7.1	1.35303e-05	-1.46032e-06
-7	1.31727e-05	-1.37091e-06
-6.9	1.29045e-05	-1.31131e-06
-6.8	1.26064e-05	-1.2517e-06
-6.7	1.21892e-05	-1.1623e-06
-6.6	1.18614e-05	-1.1623e-06
-6.5	1.15038e-05	-1.10269e-06
