# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 201
-10	4.82801e-06	-3.16577e-05
-9.9	2.49149e-05	-4.5337e-05
-9.8	4.14776e-05	-2.48553e-05
-9.7	2.86998e-05	-1.12057e-05
-9.6	2.66359e-05	-8.70234e-06
-9.5	2.22625e-05	-6.31812e-06
-9.4	2.83496e-05	-8.31491e-06
-9.3	3.16279e-05	-9.19407e-06
-9.2	3.15758e-05	-8.53097e-06
-9.1	4.26325e-05	-1.30013e-05
-9	3.54724e-05	-9.55915e-06
-8.9	3.20601e-05	-7.79337e-06
-8.8	2.6472e-05	-5.84873e-06
-8.7	2.47211e-05	-5.17818e-06
-8.6	2.15695e-05	-4.21706e-06
-8.5	1.98634e-05	-3.70295e-06
-8.4	1.79858e-05	-3.20376e-06
-8.3	1.73749e-05	-2.95044e-06
-8.2	1.64063e-05	-2.72693e-06
-8.1	1.4104e-05	-2.16068e-06
-8	1.23457e-05	-1.81795e-06
-7.9	1.15485e-05	-1.65404e-06
-7.8	1.07661e-05	-1.53483e-06
-7.7	9.76777e-06	-1.35601e-06
-7.6	9.26113e-06	-1.21445e-06
-7.5	8.39686e-06	-1.08034e-06
-7.4	7.82317e-06	-9.76033e-07
-7.3	7.79337e-06	-9.53682e-07
-7.2	7.83807e-06	-9.46227e-07
-7.1	7.83062e-06	-9.46227e-07
-7	7.47296e-06	-8.94073e-07
-6.9	6.80986e-06	-8.27018e-07
-6.8	6.33302e-06	-7.52512e-07
-6.7	5.84128e-06	-6.63105e-07
-6.6	5.34955e-06	-5.73698e-07
-6.5	4.99937e-06	-5.06643e-07
-6.4	4.7237e-06	-4.54487e-07
-6.3	4.50763e-06	-4.61938e-07
-6.2	4.35117e-06	-4.54487e-07
-6.1	4.19471e-06	-4.54487e-07
-6	4.0606e-06	-4.24685e-07
-5.9	3.94139e-06	-3.87432e-07
-5.8	3.88178e-06	-3.72531e-07
-5.7	3.79981e-06	-4.02333e-07
-5.6	3.6806e-06	-4.02333e-07
-5.5	3.61355e-06	-3.87432e-07
-5.4	3.6061e-06	-3.12926e-07
-5.3	3.54649e-06	-3.42729e-07
-5.2	3.55394e-06	-3.35278e-07
-5.1	3.6061e-06	-3.6508e-07
-5	3.71785e-06	-3.35278e-07
-4.9	3.76256e-06	-3.87432e-07
-4.8	3.80726e-06	-3.35278e-07
-4.7	3.79981e-06	-3.6508e-07
-4.6	3.77001e-06	-3.87432e-07
-4.5	3.68805e-06	-3.87432e-07
-4.4	3.62845e-06	-3.12926e-07
-4.3	3.43473e-06	-3.27827e-07
-4.2	3.34533e-06	-3.05476e-07
-4.1	3.20376e-06	-2.60772e-07
-4	3.10691e-06	-2.98025e-07
-3.9	3.0324e-06	-2.75673e-07
-3.8	2.89084e-06	-2.30969e-07
-3.7	2.86849e-06	-2.83124e-07
-3.6	2.78653e-06	-2.60772e-07
-3.5	2.78653e-06	-3.35278e-07
-3.4	2.62262e-06	-1.93716e-07
-3.3	2.68222e-06	-2.08617e-07
-3.2	2.71948e-06	-2.60772e-07
-3.1	2.80143e-06	-2.83124e-07
-3	2.78653e-06	-2.08617e-07
-2.9	2.85359e-06	-2.68223e-07
-2.8	2.83869e-06	-2.30969e-07
-2.7	2.89829e-06	-2.53322e-07
-2.6	3.01005e-06	-2.75673e-07
-2.5	3.08455e-06	-3.05476e-07
-2.4	3.29317e-06	-2.60772e-07
-2.3	3.27082e-06	-3.12926e-07
-2.2	3.26337e-06	-2.98025e-07
-2.1	3.21121e-06	-2.60772e-07
-2	3.23357e-06	-2.60772e-07
-1.9	3.26337e-06	-3.35278e-07
-1.8	3.23357e-06	-3.12926e-07
-1.7	3.36768e-06	-3.79981e-07
-1.6	3.50179e-06	-3.35278e-07
-1.5	3.57629e-06	-4.02333e-07
-1.4	3.7253e-06	-3.5763e-07
-1.3	3.87433e-06	-3.94883e-07
-1.2	4.00844e-06	-4.39586e-07
-1.1	4.19471e-06	-4.84291e-07
-1	4.36607e-06	-4.84291e-07
-0.9	4.57469e-06	-5.36445e-07
-0.799999999999999	4.84291e-06	-5.28995e-07
-0.699999999999999	5.17818e-06	-6.10951e-07
-0.6	5.52836e-06	-6.92908e-07
-0.5	6.08715e-06	-7.45062e-07
-0.399999999999999	7.04083e-06	-9.01524e-07
-0.299999999999999	8.829e-06	-1.22935e-06
-0.199999999999999	1.21073e-05	-2.03402e-06
-0.0999999999999996	1.86489e-05	-3.99354e-06
0	3.00334e-05	-9.35054e-06
0.100000000000001	4.26176e-05	-1.7725e-05
0.200000000000001	3.57556e-05	-1.5393e-05
0.300000000000001	3.70818e-05	-1.4633e-05
0.4	2.98397e-05	-1.40817e-05
0.5	2.02284e-05	-1.06544e-05
0.600000000000001	1.48938e-05	-6.37773e-06
0.700000000000001	1.23978e-05	-3.0324e-06
0.800000000000001	9.49955e-06	-2.10108e-06
0.9	7.76356e-06	-1.29641e-06
1	6.7279e-06	-8.4937e-07
1.1	6.15421e-06	-5.66248e-07
1.2	5.42405e-06	-5.73698e-07
1.3	4.99192e-06	-4.47037e-07
1.4	4.52253e-06	-4.54487e-07
1.5	4.23196e-06	-4.39586e-07
1.6	4.08295e-06	-4.76841e-07
1.7	3.98609e-06	-4.24685e-07
1.8	3.81473e-06	-3.87432e-07
1.9	3.67315e-06	-3.72531e-07
2	3.44963e-06	-3.27827e-07
2.1	3.40493e-06	-8.19568e-08
2.2	3.24847e-06	-2.68223e-07
2.3	3.15161e-06	-3.20377e-07
2.4	2.9728e-06	-2.53322e-07
2.5	2.94299e-06	-2.45871e-07
2.6	2.74928e-06	-2.68223e-07
2.7	2.59282e-06	-2.60772e-07
2.8	2.47361e-06	-1.63914e-07
2.9	2.20539e-06	-1.93716e-07
3	2.21284e-06	-1.04309e-07
3.1	2.15323e-06	-1.78815e-07
3.2	2.09363e-06	-1.63914e-07
3.3	2.01167e-06	-1.71364e-07
3.4	1.96697e-06	-1.63914e-07
3.5	1.95952e-06	-1.41562e-07
3.6	1.90736e-06	-1.63914e-07
3.7	1.8105e-06	-1.49013e-07
3.8	1.7956e-06	-1.86265e-07
3.9	1.80305e-06	-2.01167e-07
4	1.83285e-06	-1.86265e-07
4.1	1.8254e-06	-1.49013e-07
4.2	1.76579e-06	-9.6858e-08
4.3	1.75089e-06	-2.60772e-07
4.4	1.7956e-06	-1.93716e-07
4.5	1.89991e-06	-1.63914e-07
4.6	1.92226e-06	-2.01167e-07
4.7	2.10108e-06	-1.71364e-07
