# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 201
-10	1.79858e-05	-3.73947e-05
-9.9	3.26189e-05	-3.13225e-05
-9.8	3.5614e-05	-1.63765e-05
-9.7	2.48478e-05	-8.67998e-06
-9.6	2.34471e-05	-7.05573e-06
-9.5	2.05786e-05	-5.52836e-06
-9.4	2.48255e-05	-6.6981e-06
-9.3	2.76045e-05	-7.16004e-06
-9.2	2.82453e-05	-6.98867e-06
-9.1	3.55321e-05	-9.63366e-06
-9	3.32373e-05	-8.56078e-06
-8.9	2.60846e-05	-5.89344e-06
-8.8	2.26797e-05	-4.65664e-06
-8.7	2.22103e-05	-4.41822e-06
-8.6	1.96324e-05	-3.62845e-06
-8.5	1.79262e-05	-3.16651e-06
-8.4	1.62051e-05	-2.71203e-06
-8.3	1.55495e-05	-2.52576e-06
-8.2	1.51471e-05	-2.46616e-06
-8.1	1.30684e-05	-2.01167e-06
-8	1.20327e-05	-1.8105e-06
-7.9	1.13026e-05	-1.63168e-06
-7.8	1.06022e-05	-1.45287e-06
-7.7	9.71562e-06	-1.29641e-06
-7.6	9.26858e-06	-1.19955e-06
-7.5	8.61293e-06	-1.10269e-06
-7.4	8.10629e-06	-1.00584e-06
-7.3	7.86042e-06	-9.83484e-07
-7.2	7.79337e-06	-9.76033e-07
-7.1	7.65926e-06	-9.38777e-07
-7	7.3314e-06	-8.41919e-07
-6.9	6.83966e-06	-7.89765e-07
-6.8	6.42988e-06	-7.30161e-07
-6.7	5.97539e-06	-6.40754e-07
-6.6	5.53581e-06	-5.886e-07
-6.5	5.23034e-06	-5.81149e-07
-6.4	4.96212e-06	-5.14094e-07
-6.3	4.7088e-06	-4.84291e-07
-6.2	4.55978e-06	-4.76841e-07
-6.1	4.44058e-06	-4.32135e-07
-6	4.38097e-06	-4.32135e-07
-5.9	4.20961e-06	-4.47037e-07
-5.8	4.12765e-06	-4.39586e-07
-5.7	4.03824e-06	-4.09784e-07
-5.6	3.97119e-06	-3.6508e-07
-5.5	3.87433e-06	-3.94883e-07
-5.4	3.83708e-06	-3.5763e-07
-5.3	3.80726e-06	-3.72531e-07
-5.2	3.82963e-06	-3.42729e-07
-5.1	3.85198e-06	-3.5763e-07
-5	3.84453e-06	-3.94883e-07
-4.9	3.86688e-06	-3.87432e-07
-4.8	3.88178e-06	-3.79981e-07
-4.7	3.85198e-06	-3.72531e-07
-4.6	3.75511e-06	-3.5763e-07
-4.5	3.70295e-06	-3.87432e-07
-4.4	3.621e-06	-3.79981e-07
-4.3	3.51669e-06	-3.35278e-07
-4.2	3.39748e-06	-3.42729e-07
-4.1	3.28572e-06	-3.42729e-07
-4	3.21121e-06	-2.75673e-07
-3.9	3.15161e-06	-3.20377e-07
-3.8	3.09201e-06	-3.87432e-07
-3.7	3.03985e-06	-3.20377e-07
-3.6	2.92064e-06	-2.60772e-07
-3.5	2.92809e-06	-2.08617e-07
-3.4	2.87594e-06	-2.45871e-07
-3.3	2.89084e-06	-2.60772e-07
-3.2	2.86104e-06	-2.68223e-07
-3.1	2.81633e-06	-2.30969e-07
-3	2.90574e-06	-2.75673e-07
-2.9	2.94299e-06	-1.93716e-07
-2.8	3.0026e-06	-3.20377e-07
-2.7	3.03985e-06	-3.05476e-07
-2.6	3.09946e-06	-2.68223e-07
-2.5	3.19631e-06	-3.12926e-07
-2.4	3.23357e-06	-3.50179e-07
-2.3	3.31552e-06	-2.68223e-07
-2.2	3.29317e-06	-2.98025e-07
-2.1	3.31552e-06	-2.90574e-07
-2	3.36023e-06	-3.42729e-07
-1.9	3.39003e-06	-3.94883e-07
-1.8	3.41983e-06	-3.42729e-07
-1.7	3.44963e-06	-3.20377e-07
-1.6	3.58374e-06	-3.27827e-07
-1.5	3.68805e-06	-3.12926e-07
-1.4	3.86688e-06	-3.35278e-07
-1.3	3.98609e-06	-4.24685e-07
-1.2	4.11275e-06	-3.94883e-07
-1.1	4.22451e-06	-4.09784e-07
-1	4.43312e-06	-4.84291e-07
-0.9	4.64919e-06	-5.21544e-07
-0.799999999999999	4.94721e-06	-5.28995e-07
-0.699999999999999	5.19308e-06	-5.81149e-07
-0.6	5.60287e-06	-6.40754e-07
-0.5	6.20636e-06	-7.30161e-07
-0.399999999999999	7.03338e-06	-9.01524e-07
-0.299999999999999	8.59803e-06	-1.207e-06
-0.199999999999999	1.14591e-05	-1.83285e-06
-0.0999999999999996	1.70172e-05	-3.44963e-06
0	2.83049e-05	-8.1957e-06
0.100000000000001	3.71786e-05	-1.41264e-05
0.200000000000001	3.61132e-05	-1.39773e-05
0.300000000000001	3.23134e-05	-1.15485e-05
0.4	2.42816e-05	-9.38034e-06
0.5	1.92003e-05	-8.15844e-06
0.600000000000001	1.42977e-05	-4.49273e-06
0.700000000000001	1.14292e-05	-2.60027e-06
0.800000000000001	9.17172e-06	-1.92226e-06
0.9	7.77846e-06	-1.1921e-06
1	6.713e-06	-8.19568e-07
1.1	6.08715e-06	-6.70556e-07
1.2	5.54326e-06	-6.18402e-07
1.3	5.06642e-06	-5.58797e-07
1.4	4.69389e-06	-5.58797e-07
1.5	4.45548e-06	-5.14094e-07
1.6	4.20216e-06	-4.32135e-07
1.7	4.04569e-06	-4.24685e-07
1.8	3.92649e-06	-3.6508e-07
1.9	3.79236e-06	-3.87432e-07
2	3.6508e-06	-2.98025e-07
2.1	3.55394e-06	-3.12926e-07
2.2	3.53904e-06	-4.09784e-07
2.3	3.28572e-06	-4.47037e-07
2.4	3.18886e-06	-3.20377e-07
2.5	3.03985e-06	-2.68223e-07
2.6	2.84614e-06	-2.83124e-07
2.7	2.71948e-06	-2.60772e-07
2.8	2.54811e-06	-2.08617e-07
2.9	2.3991e-06	-2.16068e-07
3	2.3395e-06	-1.56463e-07
3.1	2.24264e-06	-1.71364e-07
3.2	2.14578e-06	-1.78815e-07
3.3	2.19049e-06	-2.45871e-07
3.4	1.98932e-06	-9.6858e-08
3.5	2.00422e-06	-1.71364e-07
3.6	1.99677e-06	-1.78815e-07
3.7	1.95207e-06	-1.78815e-07
3.8	1.89991e-06	-1.86265e-07
3.9	1.97442e-06	-1.78815e-07
4	1.84775e-06	-1.04309e-07
4.1	1.91481e-06	-2.01167e-07
4.2	1.95952e-06	-1.26661e-07
4.3	1.95207e-06	-1.63914e-07
4.4	1.98187e-06	-1.78815e-07
4.5	2.02657e-06	-1.63914e-07
4.6	2.10853e-06	-2.16068e-07
4.7	2.19049e-06	-1.56463e-07
4.8	2.22029e-06	-1.93716e-07
4.9	2.09363e-06	-1.71364e-07
5	1.99677e-06	-2.01167e-07
5.1	1.91481e-06	-1.63914e-07
5.2	1.80305e-06	-2.30969e-07
5.3	1.83285e-06	-2.68223e-07
5.4	1.66149e-06	-1.34111e-07
5.5	1.63168e-06	-1.11759e-07
5.6	1.58698e-06	-5.96051e-08
5.7	1.60188e-06	-1.1921e-07
5.8	1.59443e-06	-1.41562e-07
5.9	1.64659e-06	-1.63914e-07
6	1.63168e-06	-1.86265e-07
