# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 201
-10	0.00174928	-0.0024481
-9.9	0.00169659	-0.00141001
-9.8	0.00122953	-0.000928883
-9.7	0.000991829	-0.000696901
-9.6	0.000827316	-0.000382664
-9.5	0.000799421	-0.000267746
-9.4	0.000750545	-0.000219346
-9.3	0.000656847	-0.000192166
-9.2	0.000614408	-0.000162364
-9.1	0.000574593	-0.000150443
-9	0.000535969	-0.000154735
-8.9	0.000519995	-0.000135661
-8.8	0.000476601	-0.000115395
-8.7	0.000448944	-0.000122548
-8.6	0.000421049	-0.000108719
-8.5	0.000395538	-0.000108243
-8.4	0.000376942	-0.000104666
-8.3	0.000356914	-8.96459e-05
-8.2	0.000341656	-9.08379e-05
-8.1	0.000329973	-8.75001e-05
-8	0.000324251	-7.10492e-05
-7.9	0.000315191	-6.38966e-05
-7.8	0.000303747	-5.65054e-05
-7.7	0.000293257	-5.36444e-05
-7.6	0.000280144	-5.26907e-05
-7.5	0.000271084	-5.14986e-05
-7.4	0.000266315	-4.81608e-05
-7.3	0.000258448	-4.50613e-05
-7.2	0.000253679	-4.36308e-05
-7.1	0.000247719	-4.05314e-05
-7	0.000241757	-3.93393e-05
-6.9	0.000234843	-3.76704e-05
-6.8	0.000230075	-3.55246e-05
-6.7	0.000222684	-3.33788e-05
-6.6	0.000215054	-3.05178e-05
-6.5	0.000207187	-2.78951e-05
-6.4	0.000199796	-2.88488e-05
-6.3	0.000192405	-2.90872e-05
-6.2	0.000186921	-2.6703e-05
-6.1	0.000180245	-2.45572e-05
-6	0.000176431	-2.3842e-05
-5.9	0.000172616	-2.31267e-05
-5.8	0.000168324	-2.3842e-05
-5.7	0.000163556	-2.55109e-05
-5.6	0.00015998	-2.64646e-05
-5.5	0.000157596	-2.36036e-05
-5.4	0.000154973	-2.2173e-05
-5.3	0.000153542	-2.0981e-05
-5.2	0.000152112	-2.05041e-05
-5.1	0.000149966	-2.12194e-05
-5	0.000148774	-2.26499e-05
-4.9	0.000149251	-2.33651e-05
-4.8	0.000148774	-2.16962e-05
-4.7	0.000149966	-2.14578e-05
-4.6	0.000151158	-2.12194e-05
-4.5	0.000152112	-2.2173e-05
-4.4	0.000152827	-2.07425e-05
-4.3	0.000152112	-1.95504e-05
-4.2	0.000150205	-1.95504e-05
-4.1	0.000148297	-1.9312e-05
-4	0.00014639	-1.83583e-05
-3.9	0.000144483	-1.90736e-05
-3.8	0.000142337	-1.9312e-05
-3.7	0.000139714	-1.83583e-05
-3.6	0.000139476	-1.88352e-05
-3.5	0.000139237	-1.81199e-05
-3.4	0.000139953	-1.78815e-05
-3.3	0.000140906	-1.74047e-05
-3.2	0.000141622	-1.83583e-05
-3.1	0.00014329	-1.9312e-05
-3	0.000144483	-1.88352e-05
-2.9	0.000144721	-1.97889e-05
-2.8	0.000144721	-1.95504e-05
-2.7	0.000144959	-1.95504e-05
-2.6	0.000146152	-2.00273e-05
-2.5	0.000146628	-2.05041e-05
-2.4	0.000146628	-2.26499e-05
-2.3	0.000146867	-2.33651e-05
-2.2	0.000146867	-2.33651e-05
-2.1	0.000149728	-2.45572e-05
-2	0.000153066	-2.33651e-05
-1.9	0.000156404	-2.19346e-05
-1.8	0.000160457	-2.2173e-05
-1.7	0.000164748	-2.33651e-05
-1.6	0.00017047	-2.45572e-05
-1.5	0.000178338	-2.55109e-05
-1.4	0.000186444	-2.76567e-05
-1.3	0.000194074	-2.9564e-05
-1.2	0.000200273	-3.21867e-05
-1.1	0.000205518	-3.50478e-05
-1	0.000212909	-3.69551e-05
-0.9	0.000224114	-3.5763e-05
-0.799999999999999	0.000236751	-4.43461e-05
-0.699999999999999	0.000250818	-4.93529e-05
-0.6	0.000270369	-5.53133e-05
-0.5	0.000291826	-6.38966e-05
-0.399999999999999	0.000316145	-7.6056e-05
-0.299999999999999	0.000352623	-9.3699e-05
-0.199999999999999	0.000434162	-0.000110865
-0.0999999999999996	0.000624422	-0.000174285
0	0.0010016	-0.000352861
0.100000000000001	0.0011325	-0.00044203
0.200000000000001	0.000972513	-0.000411989
0.300000000000001	0.000931982	-0.000430347
0.4	0.000889305	-0.000309708
0.5	0.000816587	-0.000161887
0.600000000000001	0.000662092	-0.000160218
0.700000000000001	0.000574116	-0.000130177
0.800000000000001	0.000478508	-9.656e-05
0.9	0.00040126	-8.48775e-05
1	0.000358583	-7.03339e-05
1.1	0.00031996	-5.88896e-05
1.2	0.000291111	-5.0545e-05
1.3	0.000262501	-4.33924e-05
1.4	0.000236512	-3.83856e-05
1.5	0.000216247	-3.33788e-05
1.6	0.000200034	-3.24252e-05
1.7	0.000186921	-3.43325e-05
1.8	0.000175954	-2.98024e-05
1.9	0.000167132	-2.57493e-05
2	0.000158788	-2.50341e-05
2.1	0.000153304	-2.43188e-05
2.2	0.000147582	-2.16962e-05
2.3	0.000141622	-1.9312e-05
2.4	0.000137568	-1.78815e-05
2.5	0.000132562	-1.62126e-05
2.6	0.000127316	-1.57357e-05
2.7	0.000121356	-1.62126e-05
2.8	0.000115157	-1.6451e-05
2.9	0.000110627	-1.66894e-05
3	0.000105858	-1.6451e-05
3.1	0.000103951	-1.43052e-05
3.2	0.00010109	-1.33515e-05
3.3	9.84673e-05	-1.43052e-05
3.4	9.63216e-05	-1.54973e-05
3.5	9.41758e-05	-1.66894e-05
3.6	9.34605e-05	-1.62126e-05
3.7	9.32221e-05	-1.54973e-05
3.8	9.34605e-05	-1.45436e-05
3.9	9.34605e-05	-1.50204e-05
4	9.39374e-05	-1.4782e-05
4.1	9.3699e-05	-1.40668e-05
4.2	9.27453e-05	-1.28747e-05
4.3	9.22685e-05	-1.33515e-05
4.4	9.17916e-05	-1.23978e-05
4.5	9.203e-05	-1.09673e-05
4.6	9.22685e-05	-1.14442e-05
4.7	9.34605e-05	-1.16826e-05
4.8	9.22685e-05	-1.07289e-05
4.9	9.15532e-05	-1.09673e-05
5	8.9169e-05	-1.16826e-05
5.1	8.70232e-05	-1.26362e-05
5.2	8.44006e-05	-1.23978e-05
5.3	8.24933e-05	-1.31131e-05
5.4	8.22549e-05	-1.38283e-05
5.5	8.08244e-05	-1.33515e-05
5.6	8.20165e-05	-1.26362e-05
5.7	8.1778e-05	-1.38283e-05
5.8	8.13012e-05	-1.33515e-05
5.9	8.10628e-05	-1.23978e-05
6	8.1778e-05	-1.28747e-05
6.1	8.1778e-05	-1.16826e-05
6.2	8.15396e-05	-1.12057e-05
6.3	8.1778e-05	-1.23978e-05
6.4	8.41622e-05	-1.31131e-05
6.5	8.51159e-05	-1.33515e-05
6.6	8.65464e-05	-1.14442e-05
6.7	8.75001e-05	-1.28747e-05
6.8	8.96459e-05	-1.54973e-05
6.9	9.13148e-05	-1.83583e-05
7	9.53679e-05	-1.81199e-05
7.1	9.98979e-05	-1.66894e-05
7.2	0.000103951	-2.12194e-05
7.3	0.000105143	-1.6451e-05
7.4	0.000106097	-1.45436e-05
7.5	0.000105381	-1.62126e-05
7.6	0.00010562	-1.66894e-05
7.7	0.000106335	-1.57357e-05
7.8	0.000108958	-1.57357e-05
7.9	0.00011158	-1.71663e-05
8	0.000113726	-1.81199e-05
8.1	0.000117541	-2.02657e-05
8.2	0.000120879	-2.16962e-05
8.3	0.000124932	-2.33651e-05
8.4	0.000129224	-1.9312e-05
8.5	0.000133754	-2.28883e-05
8.6	0.000139714	-2.28883e-05
8.7	0.000143529	-2.71798e-05
8.8	0.000149489	-2.83719e-05
8.9	0.000157596	-2.36036e-05
