# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 271
-13	5.33464e-05	-3.6359e-06
-12.9	5.41809e-05	-4.7684e-06
-12.8	5.17967e-05	-5.54326e-06
-12.7	5.50749e-05	-6.25852e-06
-12.6	9.18512e-05	-1.34111e-05
-12.5	7.05724e-05	-9.35799e-06
-12.4	0.000131548	-2.31267e-05
-12.3	0.000176311	-3.71935e-05
-12.2	0.000370385	-0.000135423
-12.1	0.000245633	-6.60424e-05
-12	0.000447573	-0.000200213
-11.9	0.000365974	-0.000137688
-11.8	0.000390949	-0.00016302
-11.7	0.000401022	-0.00017345
-11.6	0.000592653	-0.000428917
-11.5	0.000361862	-0.000157238
-11.4	0.000417234	-0.000220538
-11.3	0.000441017	-0.000257494
-11.2	0.000487925	-0.000429453
-11.1	0.000355067	-0.000206412
-11	0.000310244	-0.000177563
-10.9	0.000309886	-0.000183404
-10.8	0.000249626	-0.000171424
-10.7	0.000131846	-5.70419e-05
-10.6	0.000118375	-4.17831e-05
-10.5	9.04803e-05	-2.24115e-05
-10.4	5.87108e-05	-1.14442e-05
-10.3	4.6015e-05	-7.68906e-06
-10.2	3.68955e-05	-5.30484e-06
-10.1	3.08158e-05	-4.05314e-06
-10	2.66434e-05	-3.33787e-06
-9.9	2.47956e-05	-2.92064e-06
-9.8	2.28883e-05	-2.56301e-06
-9.7	2.12194e-05	-2.3842e-06
-9.6	1.99081e-05	-2.14578e-06
-9.5	1.85968e-05	-1.90736e-06
-9.4	1.72259e-05	-1.78815e-06
-9.3	1.5855e-05	-1.54973e-06
-9.2	1.46628e-05	-1.49012e-06
-9.1	1.36495e-05	-1.31131e-06
-9	1.28151e-05	-1.31131e-06
-8.9	1.20998e-05	-1.1921e-06
-8.8	1.13845e-05	-1.1325e-06
-8.7	1.06693e-05	-1.01329e-06
-8.6	1.00732e-05	-8.94073e-07
-8.5	9.35799e-06	-8.34469e-07
-8.4	8.76194e-06	-7.74864e-07
-8.3	8.2255e-06	-7.74864e-07
-8.2	7.74866e-06	-7.15259e-07
-8.1	7.45061e-06	-6.55655e-07
-8	7.15259e-06	-6.55655e-07
-7.9	6.91417e-06	-5.9605e-07
-7.8	6.85456e-06	-5.36445e-07
-7.7	6.67575e-06	-5.9605e-07
-7.6	6.67575e-06	-5.36445e-07
-7.5	6.61614e-06	-5.9605e-07
-7.4	6.55654e-06	-5.36445e-07
-7.3	6.49694e-06	-5.36445e-07
-7.2	6.43733e-06	-5.36445e-07
-7.1	6.31812e-06	-5.36445e-07
-7	6.25852e-06	-5.36445e-07
-6.9	6.25852e-06	-5.36445e-07
-6.8	6.19891e-06	-5.36445e-07
-6.7	6.13931e-06	-5.36445e-07
-6.6	6.19891e-06	-5.36445e-07
-6.5	6.0201e-06	-5.36445e-07
-6.4	6.0797e-06	-4.76841e-07
-6.3	5.96049e-06	-5.36445e-07
-6.2	5.96049e-06	-4.76841e-07
-6.1	5.78168e-06	-4.76841e-07
-6	5.78168e-06	-4.76841e-07
-5.9	5.66247e-06	-4.76841e-07
-5.8	5.54326e-06	-4.76841e-07
-5.7	5.42405e-06	-4.76841e-07
-5.6	5.36445e-06	-4.76841e-07
-5.5	5.18563e-06	-4.17234e-07
-5.4	5.00682e-06	-4.17234e-07
-5.3	4.88761e-06	-4.17234e-07
-5.2	4.7684e-06	-4.76841e-07
-5.1	4.58959e-06	-4.17234e-07
-5	4.47038e-06	-4.17234e-07
-4.9	4.35117e-06	-3.5763e-07
-4.8	4.23196e-06	-3.5763e-07
-4.7	4.11275e-06	-3.5763e-07
-4.6	4.05314e-06	-3.5763e-07
-4.5	3.93394e-06	-3.5763e-07
-4.4	3.87433e-06	-2.98025e-07
-4.3	3.81473e-06	-2.98025e-07
-4.2	3.81473e-06	-3.5763e-07
-4.1	3.6955e-06	-3.5763e-07
-4	3.6955e-06	-3.5763e-07
-3.9	3.6359e-06	-3.5763e-07
-3.8	3.6955e-06	-3.5763e-07
-3.7	3.6955e-06	-2.98025e-07
-3.6	3.75511e-06	-2.98025e-07
-3.5	3.75511e-06	-2.98025e-07
-3.4	3.81473e-06	-3.5763e-07
-3.3	3.81473e-06	-3.5763e-07
-3.2	3.81473e-06	-3.5763e-07
-3.1	3.87433e-06	-2.98025e-07
-3	3.99354e-06	-3.5763e-07
-2.9	3.99354e-06	-3.5763e-07
-2.8	4.11275e-06	-3.5763e-07
-2.7	4.17235e-06	-3.5763e-07
-2.6	4.23196e-06	-3.5763e-07
-2.5	4.35117e-06	-4.17234e-07
-2.4	4.47038e-06	-4.17234e-07
-2.3	4.52998e-06	-4.17234e-07
-2.2	4.58959e-06	-4.17234e-07
-2.1	4.7088e-06	-4.76841e-07
-2	4.82801e-06	-4.76841e-07
-1.9	5.00682e-06	-4.76841e-07
-1.8	5.18563e-06	-4.76841e-07
-1.7	5.42405e-06	-5.36445e-07
-1.6	5.72208e-06	-5.36445e-07
-1.5	6.0797e-06	-5.9605e-07
-1.4	6.43733e-06	-6.55655e-07
-1.3	6.85456e-06	-7.15259e-07
-1.2	7.3314e-06	-7.74864e-07
-1.1	7.80827e-06	-8.34469e-07
-1	8.46392e-06	-8.94073e-07
-0.899999999999999	9.11957e-06	-1.01329e-06
-0.799999999999999	9.65601e-06	-1.07289e-06
-0.699999999999999	1.04309e-05	-1.07289e-06
-0.6	1.10865e-05	-1.2517e-06
-0.5	1.20998e-05	-1.43052e-06
-0.399999999999999	1.39475e-05	-1.66894e-06
-0.299999999999999	1.68086e-05	-2.02657e-06
