# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 271
-13	5.63266e-05	-5.78168e-06
-12.9	5.97241e-05	-6.61614e-06
-12.8	5.41809e-05	-5.84128e-06
-12.7	5.30484e-05	-5.96049e-06
-12.6	6.5506e-05	-8.40431e-06
-12.5	7.58176e-05	-1.04905e-05
-12.4	8.99439e-05	-1.33515e-05
-12.3	0.000165404	-3.37365e-05
-12.2	0.000241817	-6.33602e-05
-12.1	0.000391724	-0.000152291
-12	0.000352563	-0.000125707
-11.9	0.000244917	-6.76517e-05
-11.8	0.000269296	-8.30297e-05
-11.7	0.00031996	-0.000114143
-11.6	0.000327172	-0.000122131
-11.5	0.000308873	-0.000114084
-11.4	0.000260593	-8.9169e-05
-11.3	0.000292005	-0.000116051
-11.2	0.000369431	-0.000194133
-11.1	0.000260772	-0.000103534
-11	0.000206889	-7.36122e-05
-10.9	0.000220955	-8.9467e-05
-10.8	0.00016755	-6.59828e-05
-10.7	0.000109315	-3.21867e-05
-10.6	8.36854e-05	-1.98485e-05
-10.5	6.54464e-05	-1.32323e-05
-10.4	5.52537e-05	-9.95403e-06
-10.3	4.89953e-05	-7.86787e-06
-10.2	4.45845e-05	-6.61614e-06
-10.1	3.88625e-05	-5.36445e-06
-10	3.52862e-05	-4.7088e-06
-9.9	3.31404e-05	-4.17235e-06
-9.8	3.05178e-05	-3.75511e-06
-9.7	2.89084e-05	-3.51669e-06
-9.6	2.69414e-05	-3.15906e-06
-9.5	2.53321e-05	-2.86104e-06
-9.4	2.37228e-05	-2.62262e-06
-9.3	2.22923e-05	-2.3842e-06
-9.2	2.07425e-05	-2.20539e-06
-9.1	1.96696e-05	-2.08618e-06
-9	1.86564e-05	-1.90736e-06
-8.9	1.76431e-05	-1.78815e-06
-8.8	1.68086e-05	-1.66894e-06
-8.7	1.59742e-05	-1.60933e-06
-8.6	1.51992e-05	-1.49012e-06
-8.5	1.44244e-05	-1.37091e-06
-8.4	1.38283e-05	-1.37091e-06
-8.3	1.32323e-05	-1.2517e-06
-8.2	1.27555e-05	-1.1921e-06
-8.1	1.23978e-05	-1.1921e-06
-8	1.19806e-05	-1.07289e-06
-7.9	1.1623e-05	-1.07289e-06
-7.8	1.13249e-05	-1.01329e-06
-7.7	1.10269e-05	-1.01329e-06
-7.6	1.07885e-05	-9.53682e-07
-7.5	1.05501e-05	-8.94073e-07
-7.4	1.02521e-05	-8.94073e-07
-7.3	9.95403e-06	-8.94073e-07
-7.2	9.65601e-06	-8.34469e-07
-7.1	9.35799e-06	-8.34469e-07
-7	9.05996e-06	-7.74864e-07
-6.9	8.82155e-06	-7.74864e-07
-6.8	8.58313e-06	-7.74864e-07
-6.7	8.40431e-06	-7.74864e-07
-6.6	8.2255e-06	-7.15259e-07
-6.5	8.04669e-06	-7.15259e-07
-6.4	7.86787e-06	-7.15259e-07
-6.3	7.74866e-06	-6.55655e-07
-6.2	7.62945e-06	-7.15259e-07
-6.1	7.45061e-06	-6.55655e-07
-6	7.3314e-06	-6.55655e-07
-5.9	7.15259e-06	-6.55655e-07
-5.8	7.03338e-06	-6.55655e-07
-5.7	6.91417e-06	-5.36445e-07
-5.6	6.79496e-06	-5.9605e-07
-5.5	6.61614e-06	-5.36445e-07
-5.4	6.43733e-06	-5.36445e-07
-5.3	6.25852e-06	-5.36445e-07
-5.2	6.0797e-06	-5.36445e-07
-5.1	5.96049e-06	-5.36445e-07
-5	5.84128e-06	-4.76841e-07
-4.9	5.72208e-06	-4.76841e-07
-4.8	5.54326e-06	-4.76841e-07
-4.7	5.42405e-06	-4.76841e-07
-4.6	5.24524e-06	-4.76841e-07
-4.5	5.18563e-06	-4.17234e-07
-4.4	5.12603e-06	-4.76841e-07
-4.3	5.00682e-06	-4.17234e-07
-4.2	4.88761e-06	-4.76841e-07
-4.1	4.82801e-06	-4.17234e-07
-4	4.82801e-06	-4.17234e-07
-3.9	4.7088e-06	-4.76841e-07
-3.8	4.7088e-06	-4.17234e-07
-3.7	4.64919e-06	-4.17234e-07
-3.6	4.64919e-06	-4.17234e-07
-3.5	4.58959e-06	-4.17234e-07
-3.4	4.58959e-06	-3.5763e-07
-3.3	4.58959e-06	-4.17234e-07
-3.2	4.58959e-06	-4.17234e-07
-3.1	4.58959e-06	-4.17234e-07
-3	4.58959e-06	-4.17234e-07
-2.9	4.58959e-06	-4.17234e-07
-2.8	4.64919e-06	-4.17234e-07
-2.7	4.7088e-06	-4.17234e-07
-2.6	4.7088e-06	-4.17234e-07
-2.5	4.82801e-06	-4.17234e-07
-2.4	4.82801e-06	-4.17234e-07
-2.3	4.94721e-06	-4.76841e-07
-2.2	5.00682e-06	-4.76841e-07
-2.1	5.12603e-06	-4.76841e-07
-2	5.18563e-06	-4.76841e-07
-1.9	5.42405e-06	-5.36445e-07
-1.8	5.60287e-06	-5.36445e-07
-1.7	5.78168e-06	-5.9605e-07
-1.6	6.0201e-06	-5.9605e-07
-1.5	6.31812e-06	-6.55655e-07
-1.4	6.67575e-06	-6.55655e-07
-1.3	7.09298e-06	-7.74864e-07
-1.2	7.62945e-06	-7.74864e-07
-1.1	8.04669e-06	-8.34469e-07
-1	8.58313e-06	-8.94073e-07
