# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 271
-13	5.41213e-05	-3.39748e-06
-12.9	4.2856e-05	-3.93394e-06
-12.8	5.21543e-05	-4.58959e-06
-12.7	5.07238e-05	-5.48366e-06
-12.6	7.18241e-05	-9.5368e-06
-12.5	7.05128e-05	-9.35799e-06
-12.4	0.000114084	-1.88352e-05
-12.3	0.000165404	-3.36173e-05
-12.2	0.000265064	-7.45659e-05
-12.1	0.000599448	-0.000382604
-12	0.000413598	-0.000171364
-11.9	0.000347735	-0.000124336
-11.8	0.000382306	-0.000155211
-11.7	0.000429334	-0.000194431
-11.6	0.000510994	-0.000289502
-11.5	0.000455381	-0.00024134
-11.4	0.000425341	-0.000223161
-11.3	0.000418367	-0.000231267
-11.2	0.000448169	-0.000327649
-11.1	0.000377538	-0.000219108
-11	0.000326039	-0.000172854
-10.9	0.000281932	-0.000150562
-10.8	0.000246348	-0.000145198
-10.7	0.000128091	-4.94125e-05
-10.6	0.000111521	-3.82068e-05
-10.5	8.75597e-05	-2.10406e-05
-10.4	6.14529e-05	-1.16826e-05
-10.3	4.67899e-05	-7.80827e-06
-10.2	3.74916e-05	-5.36445e-06
-10.1	3.24252e-05	-4.29156e-06
-10	2.83719e-05	-3.51669e-06
-9.9	2.55109e-05	-3.03985e-06
-9.8	2.3544e-05	-2.68222e-06
-9.7	2.22923e-05	-2.50341e-06
-9.6	2.08021e-05	-2.26499e-06
-9.5	1.92524e-05	-2.02657e-06
-9.4	1.80603e-05	-1.84775e-06
-9.3	1.6749e-05	-1.66894e-06
-9.2	1.54973e-05	-1.54973e-06
-9.1	1.44244e-05	-1.49012e-06
-9	1.34707e-05	-1.37091e-06
-8.9	1.26958e-05	-1.2517e-06
-8.8	1.19806e-05	-1.1921e-06
-8.7	1.12653e-05	-1.07289e-06
-8.6	1.05501e-05	-1.01329e-06
-8.5	9.77522e-06	-9.53682e-07
-8.4	9.17917e-06	-8.34469e-07
-8.3	8.64273e-06	-7.74864e-07
-8.2	8.16589e-06	-7.15259e-07
-8.1	7.80827e-06	-7.15259e-07
-8	7.45061e-06	-6.55655e-07
-7.9	7.2718e-06	-6.55655e-07
-7.8	7.09298e-06	-5.9605e-07
-7.7	6.91417e-06	-5.9605e-07
-7.6	6.85456e-06	-5.9605e-07
-7.5	6.79496e-06	-5.36445e-07
-7.4	6.79496e-06	-5.36445e-07
-7.3	6.79496e-06	-5.36445e-07
-7.2	6.67575e-06	-5.9605e-07
-7.1	6.67575e-06	-5.9605e-07
-7	6.61614e-06	-5.9605e-07
-6.9	6.55654e-06	-5.9605e-07
-6.8	6.49694e-06	-5.36445e-07
-6.7	6.37773e-06	-5.36445e-07
-6.6	6.31812e-06	-5.36445e-07
-6.5	6.25852e-06	-5.36445e-07
-6.4	6.19891e-06	-4.76841e-07
-6.3	6.13931e-06	-5.36445e-07
-6.2	6.0797e-06	-5.36445e-07
-6.1	6.0201e-06	-4.76841e-07
-6	5.96049e-06	-5.36445e-07
-5.9	5.84128e-06	-4.76841e-07
-5.8	5.78168e-06	-5.36445e-07
-5.7	5.66247e-06	-4.76841e-07
-5.6	5.48366e-06	-4.76841e-07
-5.5	5.36445e-06	-4.76841e-07
-5.4	5.18563e-06	-4.17234e-07
-5.3	5.00682e-06	-4.76841e-07
-5.2	4.88761e-06	-4.76841e-07
-5.1	4.82801e-06	-4.17234e-07
-5	4.64919e-06	-4.17234e-07
-4.9	4.52998e-06	-4.17234e-07
-4.8	4.41077e-06	-3.5763e-07
-4.7	4.35117e-06	-3.5763e-07
-4.6	4.23196e-06	-3.5763e-07
-4.5	4.11275e-06	-3.5763e-07
-4.4	4.05314e-06	-4.17234e-07
-4.3	3.99354e-06	-3.5763e-07
-4.2	3.87433e-06	-3.5763e-07
-4.1	3.87433e-06	-3.5763e-07
-4	3.81473e-06	-3.5763e-07
-3.9	3.87433e-06	-3.5763e-07
-3.8	3.81473e-06	-3.5763e-07
-3.7	3.81473e-06	-3.5763e-07
-3.6	3.81473e-06	-3.5763e-07
-3.5	3.81473e-06	-3.5763e-07
-3.4	3.87433e-06	-3.5763e-07
-3.3	3.93394e-06	-3.5763e-07
-3.2	3.99354e-06	-3.5763e-07
-3.1	3.99354e-06	-3.5763e-07
-3	4.05314e-06	-3.5763e-07
-2.9	4.11275e-06	-3.5763e-07
-2.8	4.17235e-06	-3.5763e-07
-2.7	4.23196e-06	-3.5763e-07
-2.6	4.29156e-06	-4.17234e-07
-2.5	4.41077e-06	-3.5763e-07
-2.4	4.47038e-06	-4.17234e-07
-2.3	4.52998e-06	-3.5763e-07
-2.2	4.58959e-06	-4.17234e-07
-2.1	4.7088e-06	-4.17234e-07
-2	4.82801e-06	-4.76841e-07
-1.9	4.94721e-06	-4.76841e-07
-1.8	5.18563e-06	-4.76841e-07
-1.7	5.36445e-06	-5.36445e-07
-1.6	5.66247e-06	-5.36445e-07
-1.5	6.0201e-06	-6.55655e-07
-1.4	6.43733e-06	-6.55655e-07
-1.3	6.91417e-06	-7.15259e-07
-1.2	7.45061e-06	-7.74864e-07
-1.1	8.04669e-06	-8.34469e-07
-1	8.70234e-06	-9.53682e-07
-0.899999999999999	9.5368e-06	-1.07289e-06
-0.799999999999999	1.02521e-05	-1.07289e-06
-0.699999999999999	1.09077e-05	-1.2517e-06
-0.6	1.1623e-05	-1.31131e-06
-0.5	1.2517e-05	-1.37091e-06
-0.399999999999999	1.42456e-05	-1.66894e-06
-0.299999999999999	1.72259e-05	-2.14578e-06
-0.199999999999999	2.42592e-05	-3.27827e-06
-0.0999999999999996	4.70283e-05	-8.34471e-06
0	9.25069e-05	-2.7001e-05
0.100000000000001	9.67984e-05	-3.14715e-05
0.200000000000001	3.73127e-05	-9.65601e-06
0.300000000000001	1.60934e-05	-3.93394e-06
0.4	1.09673e-05	-3.39748e-06
0.5	9.89443e-06	-5.60287e-06
0.600000000000001	7.98708e-06	-6.13931e-06
0.700000000000001	8.64273e-06	-4.17235e-06
0.800000000000001	8.52352e-06	-2.4438e-06
0.9	7.09298e-06	-1.2517e-06
1	6.0201e-06	-8.94073e-07
1.1	5.24524e-06	-7.15259e-07
1.2	4.7088e-06	-5.36445e-07
1.3	4.47038e-06	-5.36445e-07
1.4	4.23196e-06	-4.76841e-07
1.5	3.93394e-06	-4.17234e-07
1.6	3.6359e-06	-4.17234e-07
1.7	3.45708e-06	-3.5763e-07
1.8	3.27827e-06	-2.98025e-07
1.9	3.09946e-06	-2.98025e-07
2	2.92064e-06	-2.3842e-07
2.1	2.74183e-06	-2.3842e-07
2.2	2.62262e-06	-2.3842e-07
2.3	2.4438e-06	-2.3842e-07
2.4	2.3842e-06	-1.78815e-07
2.5	2.3246e-06	-1.78815e-07
2.6	2.26499e-06	-1.78815e-07
2.7	2.14578e-06	-1.78815e-07
2.8	2.08618e-06	-1.78815e-07
2.9	2.02657e-06	-1.78815e-07
3	1.90736e-06	-1.78815e-07
3.1	1.84775e-06	-1.1921e-07
3.2	1.78815e-06	-1.78815e-07
3.3	1.72854e-06	-1.78815e-07
3.4	1.72854e-06	-1.78815e-07
3.5	1.72854e-06	-1.78815e-07
3.6	1.66894e-06	-1.78815e-07
3.7	1.60933e-06	-1.78815e-07
3.8	1.60933e-06	-1.78815e-07
3.9	1.54973e-06	-1.1921e-07
4	1.54973e-06	-1.78815e-07
4.1	1.54973e-06	-1.78815e-07
4.2	1.49012e-06	-1.78815e-07
4.3	1.49012e-06	-1.78815e-07
4.4	1.49012e-06	-1.78815e-07
4.5	1.49012e-06	-1.78815e-07
4.6	1.49012e-06	-1.1921e-07
4.7	1.49012e-06	-1.78815e-07
4.8	1.49012e-06	-1.1921e-07
4.9	1.43052e-06	-1.1921e-07
5	1.49012e-06	-1.78815e-07
5.1	1.43052e-06	-1.78815e-07
5.2	1.49012e-06	-1.78815e-07
5.3	1.43052e-06	-1.1921e-07
5.4	1.49012e-06	-1.1921e-07
5.5	1.49012e-06	-1.78815e-07
5.6	1.49012e-06	-1.78815e-07
5.7	1.43052e-06	-1.1921e-07
5.8	1.37091e-06	-1.1921e-07
5.9	1.43052e-06	-1.78815e-07
6	1.37091e-06	-1.78815e-07
6.1	1.43052e-06	-1.78815e-07
6.2	1.43052e-06	-1.78815e-07
6.3	1.31131e-06	-1.1921e-07
6.4	1.31131e-06	-1.78815e-07
6.5	1.37091e-06	-1.1921e-07
6.6	1.31131e-06	-1.78815e-07
6.7	1.37091e-06	-1.1921e-07
6.8	1.31131e-06	-1.1921e-07
6.9	1.31131e-06	-1.78815e-07
7	1.31131e-06	-1.78815e-07
7.1	1.37091e-06	-1.78815e-07
7.2	1.31131e-06	-1.78815e-07
7.3	1.37091e-06	-1.1921e-07
7.4	1.43052e-06	-1.78815e-07
7.5	1.31131e-06	-1.78815e-07
7.6	1.37091e-06	-1.1921e-07
7.7	1.43052e-06	-1.78815e-07
7.8	1.43052e-06	-1.78815e-07
7.9	1.37091e-06	-1.78815e-07
8	1.37091e-06	-1.78815e-07
8.1	1.43052e-06	-1.78815e-07
8.2	1.37091e-06	-1.78815e-07
8.3	1.43052e-06	-1.78815e-07
8.4	1.43052e-06	-1.78815e-07
8.5	1.43052e-06	-1.1921e-07
8.6	1.43052e-06	-1.78815e-07
8.7	1.49012e-06	-1.78815e-07
8.8	1.49012e-06	-1.78815e-07
8.9	1.54973e-06	-1.78815e-07
9	1.54973e-06	-1.78815e-07
9.1	1.60933e-06	-1.78815e-07
9.2	1.60933e-06	-1.78815e-07
9.3	1.72854e-06	-1.78815e-07
9.4	1.72854e-06	-1.78815e-07
9.5	1.78815e-06	-1.78815e-07
9.6	1.78815e-06	-1.78815e-07
9.7	1.84775e-06	-1.1921e-07
9.8	1.90736e-06	-1.78815e-07
9.9	2.02657e-06	-2.3842e-07
10	2.02657e-06	-1.78815e-07
10.1	2.08618e-06	-2.3842e-07
10.2	2.26499e-06	-2.3842e-07
10.3	2.20539e-06	-2.3842e-07
10.4	2.3246e-06	-2.3842e-07
10.5	2.50341e-06	-2.3842e-07
10.6	2.56301e-06	-2.3842e-07
10.7	2.68222e-06	-2.98025e-07
10.8	2.86104e-06	-2.98025e-07
10.9	3.09946e-06	-4.17234e-07
11	3.21867e-06	-5.36445e-07
11.1	3.21867e-06	-1.1325e-06
11.2	2.92064e-06	-1.66894e-06
11.3	2.3246e-06	-2.20539e-06
11.4	1.84775e-06	-2.68222e-06
11.5	2.92064e-06	-3.45708e-06
11.6	6.49694e-06	-3.45708e-06
11.7	9.59641e-06	-3.15906e-06
11.8	1.48416e-05	-6.31812e-06
11.9	2.34247e-05	-8.70234e-06
12	8.3745e-05	-5.44193e-05
12.1	0.000214101	-0.000362279
12.2	2.77163e-05	-0.000600222
12.3	-8.4341e-05	-0.0010922
12.4	0.00061268	-0.000449779
12.5	0.000384631	-0.000152708
12.6	0.000285925	-8.51159e-05
12.7	0.000272812	-7.6354e-05
12.8	0.000435712	-0.000181974
12.9	0.000473024	-0.000215233
13	0.000662986	-0.000499908
13.1	0.000716809	-0.000800136
13.2	0.000697199	-0.000640038
13.3	0.000512425	-0.000259222
13.4	0.00041032	-0.000171722
13.5	0.000323774	-2.61666e-05
13.6	0.000189067	1.69278e-05
13.7	0.000359179	3.15311e-05
13.8	0.000174881	6.36582e-05
13.9	0.000117779	2.6703e-05
14	0.000318231	6.96187e-05
