# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 271
-13	0.000248911	-1.9312e-05
-12.9	0.000269415	-2.12194e-05
-12.8	0.000298264	-2.3842e-05
-12.7	0.000328781	-2.69414e-05
-12.6	0.000370743	-3.09946e-05
-12.5	0.000415565	-3.55246e-05
-12.4	0.000464203	-4.05314e-05
-12.3	0.000595573	-5.69823e-05
-12.2	0.000828031	-9.67984e-05
-12.1	0.0015955	-0.00030184
-12	0.00152779	-0.000272991
-11.9	0.00156189	-0.000280382
-11.8	0.0014279	-0.000230313
-11.7	0.00158454	-0.000269892
-11.6	0.0016985	-0.000294449
-11.5	0.0015719	-0.000240088
-11.4	0.00152732	-0.000219584
-11.3	0.00177313	-0.000267508
-11.2	0.00196029	-0.000308992
-11.1	0.00245406	-0.000390531
-11	0.00289322	-0.000501875
-10.9	0.00375439	-0.000703577
-10.8	0.00487068	-0.0012126
-10.7	0.0048683	-0.00119901
-10.6	0.00398305	-0.00087953
-10.5	0.00375368	-0.000886682
-10.4	0.00327636	-0.000751022
-10.3	0.00334264	-0.000876669
-10.2	0.00345232	-0.000922445
-10.1	0.00269844	-0.00055385
-10	0.00229479	-0.000391485
-9.9	0.00190235	-0.000297548
-9.8	0.00167633	-0.000249626
-9.7	0.0015874	-0.000228883
-9.6	0.00144983	-0.000200273
-9.5	0.00133658	-0.000179292
-9.4	0.00126315	-0.000161172
-9.3	0.0011437	-0.000138522
-9.2	0.00106645	-0.000125409
-9.1	0.00102187	-0.000118494
-9	0.000969175	-0.000109911
-8.9	0.000953916	-0.000107527
-8.8	0.000898365	-9.98979e-05
-8.7	0.000878099	-9.72752e-05
-8.6	0.000851396	-9.27453e-05
-8.5	0.000817541	-8.82153e-05
-8.4	0.000815157	-8.9169e-05
-8.3	0.000791792	-8.53543e-05
-8.2	0.000767712	-8.20165e-05
-8.1	0.000750069	-8.01091e-05
-8	0.00072718	-7.67712e-05
-7.9	0.000708345	-7.36718e-05
-7.8	0.000685934	-7.05724e-05
-7.7	0.000663523	-6.81882e-05
-7.6	0.000645403	-6.50887e-05
-7.5	0.000631575	-6.31814e-05
-7.4	0.000616793	-6.10356e-05
-7.3	0.000601295	-5.93665e-05
-7.2	0.000590328	-5.81744e-05
-7.1	0.000580076	-5.65054e-05
-7	0.000567917	-5.50749e-05
-6.9	0.000551704	-5.36444e-05
-6.8	0.000539545	-5.24523e-05
-6.7	0.0005312	-5.0545e-05
-6.6	0.000520948	-4.95913e-05
-6.5	0.000514273	-4.93529e-05
-6.4	0.000506643	-4.76839e-05
-6.3	0.000501398	-4.67303e-05
-6.2	0.000495676	-4.67303e-05
-6.1	0.000491146	-4.62534e-05
-6	0.000487329	-4.62534e-05
-5.9	0.000482561	-4.6015e-05
-5.8	0.000477554	-4.52998e-05
-5.7	0.00047374	-4.43461e-05
-5.6	0.000469925	-4.41077e-05
-5.5	0.000461103	-4.26772e-05
-5.4	0.000452282	-4.14851e-05
-5.3	0.000448229	-4.10082e-05
-5.2	0.000447275	-4.05314e-05
-5.1	0.000446798	-4.10082e-05
-5	0.000444414	-4.05314e-05
-4.9	0.000441553	-3.98161e-05
-4.8	0.000436069	-4.0293e-05
-4.7	0.000429632	-3.83856e-05
-4.6	0.000425341	-3.8624e-05
-4.5	0.00042248	-3.71935e-05
-4.4	0.000420334	-3.81472e-05
-4.3	0.000418903	-3.71935e-05
-4.2	0.000417473	-3.71935e-05
-4.1	0.000415327	-3.79088e-05
-4	0.000414373	-3.67167e-05
-3.9	0.000414135	-3.62399e-05
-3.8	0.00041795	-3.71935e-05
-3.7	0.000425817	-3.91009e-05
-3.6	0.000434877	-3.93393e-05
-3.5	0.000441791	-4.10082e-05
-3.4	0.000447752	-4.17235e-05
-3.3	0.00045562	-4.26772e-05
-3.2	0.000463249	-4.3154e-05
-3.1	0.000466825	-4.41077e-05
-3	0.000469925	-4.43461e-05
-2.9	0.000467302	-4.38693e-05
-2.8	0.000463249	-4.33924e-05
-2.7	0.000459434	-4.26772e-05
-2.6	0.000457527	-4.26772e-05
-2.5	0.000455858	-4.22003e-05
-2.4	0.000457766	-4.24387e-05
-2.3	0.000461103	-4.33924e-05
-2.2	0.000465872	-4.29156e-05
-2.1	0.000469925	-4.41077e-05
-2	0.000471594	-4.38693e-05
-1.9	0.000473978	-4.43461e-05
-1.8	0.000476124	-4.48229e-05
-1.7	0.000480415	-4.50613e-05
-1.6	0.000485184	-4.6015e-05
-1.5	0.0004921	-4.64919e-05
-1.4	0.000499014	-4.76839e-05
-1.3	0.000504974	-4.83992e-05
-1.2	0.000513081	-4.91145e-05
-1.1	0.000519756	-5.00681e-05
-1	0.000528339	-5.07834e-05
-0.899999999999999	0.000541929	-5.22139e-05
-0.799999999999999	0.000559334	-5.41213e-05
-0.699999999999999	0.00058246	-5.72207e-05
-0.6	0.000612263	-6.1274e-05
-0.5	0.00065494	-6.72345e-05
-0.399999999999999	0.000715498	-7.48639e-05
-0.299999999999999	0.000805143	-8.94074e-05
-0.199999999999999	0.000943188	-0.000112057
-0.0999999999999996	0.00117422	-0.000154019
0	0.00157691	-0.000234605
0.100000000000001	0.00189472	-0.000323774
0.200000000000001	0.00205471	-0.000369312
0.300000000000001	0.00197031	-0.000331881
0.4	0.0017655	-0.0002687
0.5	0.0015874	-0.000225545
0.600000000000001	0.00138021	-0.000188828
0.700000000000001	0.00120283	-0.000156165
0.800000000000001	0.0010717	-0.000133515
0.9	0.000992544	-0.000120879
1	0.000920061	-0.000109435
1.1	0.00085545	-9.96594e-05
1.2	0.000787023	-8.75001e-05
1.3	0.000730757	-7.91554e-05
1.4	0.000689272	-7.34334e-05
1.5	0.000659946	-6.93803e-05
1.6	0.000648979	-6.91419e-05
1.7	0.000643019	-6.81882e-05
1.8	0.000625614	-6.55656e-05
1.9	0.000597958	-6.22277e-05
2	0.00056887	-5.72207e-05
2.1	0.000550274	-5.55518e-05
2.2	0.000539783	-5.31676e-05
2.3	0.000533108	-5.3406e-05
2.4	0.000520233	-5.22139e-05
2.5	0.000501636	-4.93529e-05
2.6	0.000482323	-4.72071e-05
2.7	0.000461342	-4.33924e-05
2.8	0.000439884	-4.0293e-05
2.9	0.000423195	-3.88625e-05
3	0.000409367	-3.67167e-05
3.1	0.000398638	-3.55246e-05
3.2	0.000391724	-3.43325e-05
3.3	0.000385763	-3.40941e-05
3.4	0.000381948	-3.43325e-05
3.5	0.000377657	-3.36173e-05
3.6	0.000371935	-3.2902e-05
3.7	0.000365021	-3.21867e-05
3.8	0.000356914	-3.12331e-05
3.9	0.000350954	-2.98024e-05
4	0.000348808	-3.05178e-05
4.1	0.00034547	-3.02793e-05
4.2	0.00034547	-2.9564e-05
4.3	0.000343801	-3.02793e-05
4.4	0.000341894	-2.9564e-05
4.5	0.000340464	-2.9564e-05
4.6	0.000340225	-3.00409e-05
4.7	0.000340464	-2.9564e-05
4.8	0.000339272	-2.9564e-05
4.9	0.000339987	-2.9564e-05
5	0.000340225	-3.00409e-05
5.1	0.000338318	-2.86103e-05
5.2	0.000338079	-2.9564e-05
5.3	0.00033641	-2.9564e-05
5.4	0.000335695	-2.88488e-05
5.5	0.000334026	-2.78951e-05
5.6	0.000330927	-2.81335e-05
5.7	0.00032902	-2.83719e-05
5.8	0.000325682	-2.74183e-05
5.9	0.000323774	-2.81335e-05
6	0.000323536	-2.76567e-05
6.1	0.000325443	-2.74183e-05
6.2	0.000327827	-2.81335e-05
6.3	0.000330688	-2.83719e-05
6.4	0.000333549	-2.88488e-05
6.5	0.000335934	-2.9564e-05
6.6	0.000338795	-2.88488e-05
6.7	0.000343086	-2.98024e-05
6.8	0.000347616	-3.00409e-05
6.9	0.000353815	-3.00409e-05
7	0.000361921	-3.17099e-05
7.1	0.00036812	-3.21867e-05
7.2	0.000374796	-3.26636e-05
7.3	0.000378611	-3.31404e-05
7.4	0.000380756	-3.33788e-05
7.5	0.000382425	-3.36173e-05
7.6	0.000382902	-3.33788e-05
7.7	0.00038624	-3.33788e-05
7.8	0.000390293	-3.43325e-05
7.9	0.000397922	-3.50478e-05
8	0.000406267	-3.60014e-05
8.1	0.000415089	-3.71935e-05
8.2	0.000425102	-3.76704e-05
8.3	0.000436069	-3.88625e-05
8.4	0.000441791	-3.98161e-05
8.5	0.000448229	-4.07698e-05
8.6	0.000450851	-4.0293e-05
8.7	0.000459434	-4.17235e-05
8.8	0.000472309	-4.33924e-05
8.9	0.000483753	-4.43461e-05
9	0.000497345	-4.62534e-05
9.1	0.000513796	-4.76839e-05
9.2	0.000529531	-4.98297e-05
9.3	0.000555281	-5.22139e-05
9.4	0.00059152	-5.65054e-05
9.5	0.000638727	-6.15125e-05
9.6	0.00069857	-6.96187e-05
9.7	0.000755075	-7.70097e-05
9.8	0.000838045	-8.9169e-05
9.9	0.000943426	-0.000109196
10	0.00109387	-0.000136138
10.1	0.00137115	-0.000195266
10.2	0.0022843	-0.000494245
10.3	0.003253	-0.000907902
10.4	0.00426105	-0.00140143
10.5	0.00472215	-0.0015719
10.6	0.00546077	-0.00170065
10.7	0.00546077	-0.00266577
10.8	0.00546077	-0.00348808
10.9	0.00546077	-0.00324704
11	0.00546077	-0.00222541
11.1	0.00546077	-0.00175834
11.2	0.00546077	-0.00222661
11.3	0.00546077	-0.00225188
11.4	0.00546077	-0.00243737
11.5	0.00546077	-0.00189758
11.6	0.00546077	-0.00266196
11.7	0.00428203	-0.000980146
11.8	0.00389601	-0.000758652
11.9	0.00396159	-0.000802282
12	0.00313379	-0.000563387
12.1	0.00268413	-0.000491384
12.2	0.00239231	-0.000414612
12.3	0.00240113	-0.000425341
12.4	0.00277473	-0.000466825
12.5	0.0030017	-0.000478746
12.6	0.00299789	-0.000538353
12.7	0.00238921	-0.000449182
12.8	0.00182319	-0.000348093
12.9	0.00190903	-0.000418903
13	0.00269128	-0.000842575
13.1	0.00239326	-0.000673059
13.2	0.00323655	-0.00135566
13.3	0.00297548	-0.00115205
13.4	0.0027578	-0.00099469
13.5	0.00149251	-0.000313522
13.6	0.000787023	-0.00010705
13.7	0.00067449	-8.48775e-05
13.8	0.000582222	-6.8665e-05
13.9	0.000577215	-6.74729e-05
14	0.000619177	-7.43871e-05
