# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 201
-10	2.33353e-05	-3.42728e-06
-9.9	2.43188e-05	-3.58374e-06
-9.8	2.50192e-05	-3.74766e-06
-9.7	2.58164e-05	-3.94884e-06
-9.6	2.5794e-05	-4.01589e-06
-9.5	2.5496e-05	-4.1202e-06
-9.4	2.58983e-05	-4.32137e-06
-9.3	2.58387e-05	-4.25431e-06
-9.2	2.54811e-05	-4.20961e-06
-9.1	2.47286e-05	-4.0755e-06
-9	2.40655e-05	-4.0606e-06
-8.9	2.37451e-05	-4.1202e-06
-8.8	2.34471e-05	-4.02334e-06
-8.7	2.31789e-05	-3.94884e-06
-8.6	2.31714e-05	-4.04569e-06
-8.5	2.34396e-05	-3.94884e-06
-8.4	2.37526e-05	-3.94139e-06
-8.3	2.37079e-05	-3.91903e-06
-8.2	2.39388e-05	-4.1053e-06
-8.1	2.44008e-05	-4.39587e-06
-8	2.51309e-05	-4.74605e-06
-7.9	2.52948e-05	-4.57469e-06
-7.8	2.50564e-05	-4.48528e-06
-7.7	2.49e-05	-4.50763e-06
-7.6	2.52054e-05	-4.53743e-06
-7.5	2.50639e-05	-4.62684e-06
-7.4	2.47435e-05	-4.71625e-06
-7.3	2.43784e-05	-4.90996e-06
-7.2	2.41474e-05	-4.91741e-06
-7.1	2.44827e-05	-4.85036e-06
-7	2.4736e-05	-4.69389e-06
-6.9	2.49745e-05	-4.62684e-06
-6.8	2.49298e-05	-4.44803e-06
-6.7	2.452e-05	-4.30646e-06
-6.6	2.42592e-05	-4.41077e-06
-6.5	2.45945e-05	-4.55233e-06
-6.4	2.414e-05	-4.31392e-06
-6.3	2.37749e-05	-4.29901e-06
-6.2	2.338e-05	-4.61939e-06
-6.1	2.24934e-05	-4.99192e-06
-6	2.21358e-05	-5.12603e-06
-5.9	2.20911e-05	-4.85036e-06
-5.8	2.18676e-05	-5.09623e-06
-5.7	2.22997e-05	-5.26014e-06
-5.6	2.31938e-05	-5.4613e-06
-5.5	2.34024e-05	-5.58051e-06
-5.4	2.38271e-05	-5.46876e-06
-5.3	2.44082e-05	-5.27504e-06
-5.2	2.48702e-05	-5.13348e-06
-5.1	2.54364e-05	-5.04407e-06
-5	2.58685e-05	-5.4017e-06
