# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 201
-10	3.43325e-05	-5.17818e-06
-9.9	3.51968e-05	-5.33464e-06
-9.8	3.55246e-05	-5.50601e-06
-9.7	3.60163e-05	-5.62522e-06
-9.6	3.66049e-05	-5.82638e-06
-9.5	3.60461e-05	-5.99775e-06
-9.4	3.5763e-05	-6.15421e-06
-9.3	3.51893e-05	-5.94559e-06
-9.2	3.57258e-05	-6.08715e-06
-9.1	3.67912e-05	-6.15421e-06
-9	3.67912e-05	-6.28832e-06
-8.9	3.70967e-05	-6.54164e-06
-8.8	3.69924e-05	-6.52674e-06
-8.7	3.68508e-05	-6.50439e-06
-8.6	3.67614e-05	-6.55654e-06
-8.5	3.61579e-05	-6.19891e-06
-8.4	3.62399e-05	-6.10205e-06
-8.3	3.78864e-05	-6.42243e-06
-8.2	3.79311e-05	-6.6981e-06
-8.1	3.81249e-05	-7.16004e-06
-8	3.81249e-05	-7.40591e-06
-7.9	3.8408e-05	-6.95887e-06
-7.8	3.88476e-05	-7.03338e-06
-7.7	3.7417e-05	-6.87691e-06
-7.6	3.66347e-05	-6.6534e-06
-7.5	3.66645e-05	-6.72045e-06
-7.4	3.68583e-05	-7.05573e-06
-7.3	3.70594e-05	-7.62197e-06
-7.2	3.80727e-05	-7.87532e-06
-7.1	3.81323e-05	-7.71141e-06
-7	3.81696e-05	-7.2867e-06
-6.9	3.87731e-05	-7.16004e-06
-6.8	3.86017e-05	-6.78006e-06
-6.7	3.88401e-05	-6.7428e-06
-6.6	3.88178e-05	-7.06318e-06
-6.5	3.84229e-05	-7.56237e-06
-6.4	3.79758e-05	-7.47296e-06
-6.3	3.79088e-05	-7.09298e-06
-6.2	3.76629e-05	-7.56982e-06
-6.1	3.82739e-05	-8.67998e-06
-6	3.90636e-05	-9.23133e-06
-5.9	3.93393e-05	-8.73214e-06
-5.8	4.10976e-05	-9.62621e-06
-5.7	4.15e-05	-9.99129e-06
-5.6	4.2178e-05	-1.00956e-05
-5.5	4.30944e-05	-1.05426e-05
-5.4	4.25803e-05	-9.98384e-06
-5.3	4.2625e-05	-9.28348e-06
-5.2	4.41673e-05	-9.16427e-06
-5.1	4.56574e-05	-9.25368e-06
-5	4.6991e-05	-1.00211e-05
-4.9	4.79596e-05	-1.06171e-05
-4.8	5.02842e-05	-1.14292e-05
-4.7	5.13496e-05	-1.19731e-05
-4.6	5.11261e-05	-1.20402e-05
-4.5	5.13645e-05	-1.38805e-05
-4.4	5.37189e-05	-1.41785e-05
