# srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"	"X"	"Y"
# 201
-10	2.47435e-05	-2.09363e-06	2.32832e-05	-3.38258e-06
-9.9	2.48776e-05	-2.13088e-06	2.41176e-05	-3.50924e-06
-9.8	2.48478e-05	-2.15323e-06	2.48478e-05	-3.74021e-06
-9.7	2.52874e-05	-2.20539e-06	2.55482e-05	-3.88178e-06
-9.6	2.55854e-05	-2.22029e-06	2.55407e-05	-3.96374e-06
-9.5	2.55109e-05	-2.29479e-06	2.5265e-05	-4.0904e-06
-9.4	2.5198e-05	-2.27244e-06	2.56301e-05	-4.23196e-06
-9.3	2.51011e-05	-2.25009e-06	2.56376e-05	-4.1053e-06
-9.2	2.48255e-05	-2.19049e-06	2.54066e-05	-4.03824e-06
-9.1	2.46317e-05	-2.25009e-06	2.46168e-05	-3.96374e-06
-9	2.4669e-05	-2.22774e-06	2.39463e-05	-3.99354e-06
-8.9	2.47956e-05	-2.28734e-06	2.34992e-05	-4.01589e-06
-8.8	2.48255e-05	-2.28734e-06	2.32385e-05	-3.99354e-06
-8.7	2.47211e-05	-2.28734e-06	2.3015e-05	-3.94139e-06
-8.6	2.44902e-05	-2.28734e-06	2.29554e-05	-3.92649e-06
-8.5	2.45721e-05	-2.25754e-06	2.32757e-05	-3.85943e-06
-8.4	2.45647e-05	-2.25009e-06	2.35365e-05	-3.81473e-06
-8.3	2.48851e-05	-2.29479e-06	2.35589e-05	-3.83708e-06
-8.2	2.50713e-05	-2.3693e-06	2.376e-05	-4.11275e-06
-8.1	2.50117e-05	-2.49596e-06	2.40953e-05	-4.50763e-06
-8	2.50937e-05	-2.47361e-06	2.49149e-05	-4.62684e-06
-7.9	2.53321e-05	-2.4289e-06	2.50862e-05	-4.53743e-06
-7.8	2.50788e-05	-2.42145e-06	2.49298e-05	-4.41822e-06
-7.7	2.50862e-05	-2.40655e-06	2.46317e-05	-4.39587e-06
-7.6	2.5414e-05	-2.42145e-06	2.49149e-05	-4.41077e-06
-7.5	2.56897e-05	-2.47361e-06	2.49074e-05	-4.50018e-06
-7.4	2.6092e-05	-2.60027e-06	2.45274e-05	-4.67899e-06
-7.3	2.63826e-05	-2.70458e-06	2.42294e-05	-4.7982e-06
-7.2	2.67626e-05	-2.76418e-06	2.39612e-05	-4.77585e-06
-7.1	2.73437e-05	-2.82378e-06	2.42667e-05	-4.80565e-06
-7	2.80739e-05	-2.72693e-06	2.46243e-05	-4.47783e-06
-6.9	2.87892e-05	-2.79398e-06	2.48851e-05	-4.37352e-06
-6.8	2.93852e-05	-2.77908e-06	2.47807e-05	-4.22451e-06
-6.7	3.0026e-05	-2.90574e-06	2.44157e-05	-4.24686e-06
-6.6	3.06892e-05	-2.9877e-06	2.40282e-05	-4.38097e-06
-6.5	3.05476e-05	-3.0622e-06	2.43188e-05	-4.60449e-06
-6.4	3.05402e-05	-3.0771e-06	2.37749e-05	-4.50018e-06
-6.3	3.03985e-05	-2.9728e-06	2.34322e-05	-4.37352e-06
-6.2	3.05774e-05	-3.18141e-06	2.31267e-05	-4.69389e-06
-6.1	3.12182e-05	-3.46453e-06	2.24189e-05	-5.01427e-06
-6	3.14715e-05	-3.48689e-06	2.19272e-05	-4.98447e-06
-5.9	3.10617e-05	-3.33042e-06	2.18378e-05	-4.82055e-06
-5.8	3.1248e-05	-3.36768e-06	2.1726e-05	-4.8131e-06
-5.7	3.11213e-05	-3.39003e-06	2.22177e-05	-4.98447e-06
-5.6	3.12182e-05	-3.43473e-06	2.30597e-05	-5.26759e-06
-5.5	3.15534e-05	-3.45708e-06	2.32906e-05	-5.32719e-06
-5.4	3.20675e-05	-3.51669e-06	2.36185e-05	-5.20798e-06
-5.3	3.26114e-05	-3.42728e-06	2.42667e-05	-5.07387e-06
-5.2	3.30287e-05	-3.41238e-06	2.46615e-05	-5.01427e-06
-5.1	3.358e-05	-3.42728e-06	2.51086e-05	-5.02172e-06
-5	3.3811e-05	-3.56884e-06	2.56227e-05	-5.32719e-06
-4.9	3.4638e-05	-3.7104e-06	2.69414e-05	-5.65502e-06
-4.8	3.58897e-05	-3.94139e-06	2.83421e-05	-6.18401e-06
-4.7	3.6523e-05	-4.0606e-06	2.98397e-05	-6.59379e-06
-4.6	3.697e-05	-4.1202e-06	3.21495e-05	-7.13769e-06
-4.5	3.78045e-05	-4.47783e-06	3.34012e-05	-8.2255e-06
-4.4	3.82366e-05	-4.51508e-06	3.47125e-05	-8.53842e-06
-4.3	3.99055e-05	-4.54488e-06	3.60983e-05	-8.37451e-06
-4.2	4.14627e-05	-4.82055e-06	3.73649e-05	-9.00781e-06
-4.1	4.31167e-05	-5.29739e-06	3.81845e-05	-9.99874e-06
-4	4.60895e-05	-5.4315e-06	3.94958e-05	-9.36544e-06
-3.9	4.86376e-05	-5.55816e-06	3.8624e-05	-8.92585e-06
-3.8	5.14688e-05	-5.76678e-06	3.72755e-05	-8.36706e-06
-3.7	5.4382e-05	-6.0052e-06	3.62473e-05	-7.80082e-06
-3.6	5.6647e-05	-6.27342e-06	3.45784e-05	-7.41336e-06
-3.5	5.84873e-05	-6.60869e-06	3.46305e-05	-7.60707e-06
-3.4	6.0335e-05	-6.80241e-06	3.73351e-05	-8.08394e-06
-3.3	6.21979e-05	-7.19729e-06	4.03302e-05	-8.86625e-06
-3.2	6.42915e-05	-7.72631e-06	4.22599e-05	-9.97639e-06
-3.1	6.38147e-05	-7.80827e-06	4.22078e-05	-1.02372e-05
-3	6.46641e-05	-8.13609e-06	4.07624e-05	-1.02893e-05
-2.9	6.60499e-05	-7.83062e-06	3.82292e-05	-8.94075e-06
-2.8	6.77337e-05	-8.11374e-06	3.42431e-05	-8.07649e-06
-2.7	6.99838e-05	-8.44157e-06	2.98173e-05	-7.25689e-06
-2.6	6.93207e-05	-8.29255e-06	2.77386e-05	-6.70555e-06
-2.5	6.80168e-05	-8.01688e-06	2.57046e-05	-5.96049e-06
-2.4	6.68024e-05	-8.05414e-06	2.40357e-05	-5.85619e-06
-2.3	6.89034e-05	-8.96311e-06	2.36781e-05	-6.51929e-06
-2.2	6.47237e-05	-8.95566e-06	2.32012e-05	-7.04828e-06
-2.1	6.30324e-05	-9.63366e-06	2.29256e-05	-8.2106e-06
-2	6.37327e-05	-9.44739e-06	2.33055e-05	-8.00198e-06
-1.9	6.26151e-05	-8.50117e-06	2.30597e-05	-6.96632e-06
-1.8	5.91057e-05	-7.79337e-06	2.35663e-05	-6.84711e-06
-1.7	5.81595e-05	-7.53257e-06	2.31118e-05	-6.44478e-06
-1.6	5.79061e-05	-7.29415e-06	2.23593e-05	-5.96049e-06
-1.5	5.5291e-05	-7.16749e-06	2.075e-05	-5.82638e-06
-1.4	5.56114e-05	-7.10043e-06	1.96026e-05	-5.42405e-06
-1.3	5.33985e-05	-7.01103e-06	1.86117e-05	-5.62522e-06
-1.2	5.10218e-05	-6.83966e-06	1.78368e-05	-5.58796e-06
-1.1	4.90549e-05	-6.48948e-06	1.69949e-05	-5.10368e-06
-1	4.74381e-05	-5.96794e-06	1.63616e-05	-4.61194e-06
-0.9	4.96956e-05	-6.08715e-06	1.60561e-05	-4.29901e-06
-0.799999999999999	4.78404e-05	-5.64012e-06	1.62424e-05	-4.04569e-06
-0.699999999999999	4.39661e-05	-5.3421e-06	1.63541e-05	-4.34372e-06
-0.6	4.05984e-05	-5.34955e-06	1.68459e-05	-5.29739e-06
-0.5	3.84527e-05	-4.80565e-06	1.93716e-05	-5.46876e-06
-0.399999999999999	4.01589e-05	-4.90996e-06	2.15919e-05	-5.69227e-06
-0.299999999999999	4.1649e-05	-4.7684e-06	2.43114e-05	-5.69972e-06
-0.199999999999999	4.36979e-05	-5.07387e-06	2.90052e-05	-6.89182e-06
-0.0999999999999996	4.73114e-05	-5.70717e-06	3.54352e-05	-8.86625e-06
0	5.22661e-05	-6.713e-06	4.39885e-05	-1.17645e-05
0.100000000000001	5.57827e-05	-7.09298e-06	5.40467e-05	-1.37911e-05
