# ppms_field_set_stable_set	srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "Magnetic Field"	"volt"	"X"	"Y"	"X"	"Y"
# 181	201
0	-10	2.47137e-05	-2.08618e-06	2.32534e-05	-3.37513e-06
0	-9.9	2.4967e-05	-2.07128e-06	2.40431e-05	-3.51669e-06
0	-9.8	2.49298e-05	-2.13833e-06	2.4736e-05	-3.6806e-06
0	-9.7	2.52948e-05	-2.20539e-06	2.54588e-05	-3.86688e-06
0	-9.6	2.56972e-05	-2.26499e-06	2.55482e-05	-3.97864e-06
0	-9.5	2.55631e-05	-2.20539e-06	2.53023e-05	-4.04569e-06
0	-9.4	2.52576e-05	-2.28734e-06	2.5645e-05	-4.22451e-06
0	-9.3	2.51086e-05	-2.27244e-06	2.5645e-05	-4.1649e-06
0	-9.2	2.48776e-05	-2.25754e-06	2.54513e-05	-4.1351e-06
0	-9.1	2.46913e-05	-2.22774e-06	2.46541e-05	-3.99354e-06
0	-9	2.46615e-05	-2.22029e-06	2.39388e-05	-3.97864e-06
0	-8.9	2.47882e-05	-2.30969e-06	2.35365e-05	-4.04569e-06
0	-8.8	2.48404e-05	-2.31715e-06	2.32757e-05	-4.05314e-06
0	-8.7	2.47584e-05	-2.34695e-06	2.29479e-05	-3.98609e-06
0	-8.6	2.44902e-05	-2.26499e-06	2.2933e-05	-3.97864e-06
0	-8.5	2.45274e-05	-2.25754e-06	2.32385e-05	-3.92649e-06
0	-8.4	2.452e-05	-2.25009e-06	2.3544e-05	-3.90413e-06
0	-8.3	2.49149e-05	-2.28734e-06	2.34992e-05	-3.92649e-06
0	-8.2	2.51458e-05	-2.30969e-06	2.37973e-05	-4.05314e-06
0	-8.1	2.50788e-05	-2.414e-06	2.41847e-05	-4.34372e-06
0	-8	2.51831e-05	-2.52576e-06	2.49074e-05	-4.64919e-06
0	-7.9	2.53619e-05	-2.3991e-06	2.51309e-05	-4.42567e-06
0	-7.8	2.51309e-05	-2.414e-06	2.49521e-05	-4.44058e-06
0	-7.7	2.51309e-05	-2.414e-06	2.47211e-05	-4.37352e-06
0	-7.6	2.53619e-05	-2.414e-06	2.49819e-05	-4.49273e-06
0	-7.5	2.57121e-05	-2.47361e-06	2.48851e-05	-4.49273e-06
0	-7.4	2.60995e-05	-2.58537e-06	2.45647e-05	-4.61194e-06
0	-7.3	2.63081e-05	-2.72693e-06	2.42071e-05	-4.79075e-06
0	-7.2	2.66657e-05	-2.74928e-06	2.39835e-05	-4.82801e-06
0	-7.1	2.72096e-05	-2.80143e-06	2.4222e-05	-4.7535e-06
0	-7	2.79025e-05	-2.76418e-06	2.45796e-05	-4.55978e-06
0	-6.9	2.8655e-05	-2.77163e-06	2.47807e-05	-4.44803e-06
0	-6.8	2.93927e-05	-2.79398e-06	2.48105e-05	-4.25431e-06
0	-6.7	3.01005e-05	-2.80888e-06	2.44678e-05	-4.1649e-06
0	-6.6	3.05998e-05	-2.94299e-06	2.41176e-05	-4.28411e-06
0	-6.5	3.03985e-05	-3.0622e-06	2.42592e-05	-4.59704e-06
0	-6.4	3.04581e-05	-3.06965e-06	2.37749e-05	-4.53743e-06
0	-6.3	3.04581e-05	-2.9877e-06	2.35887e-05	-4.44058e-06
0	-6.2	3.06743e-05	-3.12926e-06	2.32534e-05	-4.52998e-06
0	-6.1	3.12256e-05	-3.39748e-06	2.2404e-05	-4.87271e-06
0	-6	3.15013e-05	-3.49434e-06	2.20091e-05	-4.93976e-06
