# srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"	"X"	"Y"
# 101
5	9.34307e-05	-2.09362e-05	1.58177e-05	1.54228e-06
4.9	9.50401e-05	-2.11821e-05	1.60263e-05	1.51993e-06
4.8	9.64706e-05	-2.15248e-05	1.62275e-05	1.55718e-06
4.7	9.77744e-05	-2.18154e-05	1.64659e-05	1.45287e-06
4.6	9.89367e-05	-2.21581e-05	1.66969e-05	1.46777e-06
4.5	0.000100241	-2.24562e-05	1.69651e-05	1.45287e-06
4.4	0.0001015	-2.28287e-05	1.71961e-05	1.43052e-06
4.3	0.0001029	-2.31863e-05	1.74717e-05	1.45287e-06
4.2	0.000104309	-2.35216e-05	1.7725e-05	1.46032e-06
4.1	0.000105829	-2.39463e-05	1.80007e-05	1.37091e-06
4	0.000107348	-2.43114e-05	1.82838e-05	1.34856e-06
3.9	0.00010898	-2.46913e-05	1.85968e-05	1.31876e-06
3.8	0.000110522	-2.51458e-05	1.88575e-05	1.34856e-06
3.7	0.000112102	-2.54737e-05	1.92375e-05	1.22935e-06
3.6	0.000113562	-2.58983e-05	1.95653e-05	1.13995e-06
3.5	0.000114918	-2.61517e-05	1.9923e-05	1.07289e-06
3.4	0.000116185	-2.63379e-05	2.01763e-05	1.02819e-06
3.3	0.000117243	-2.65763e-05	2.0519e-05	8.79172e-07
3.2	0.000118241	-2.67328e-05	2.0899e-05	7.59963e-07
3.1	0.00011912	-2.68595e-05	2.12939e-05	6.63105e-07
3	0.000119918	-2.69936e-05	2.16515e-05	5.58797e-07
2.9	0.000120588	-2.70681e-05	2.20464e-05	5.21544e-07
2.8	0.000121266	-2.71202e-05	2.2486e-05	3.12926e-07
2.7	0.000121899	-2.72543e-05	2.29479e-05	1.71364e-07
2.6	0.000122563	-2.73437e-05	2.34024e-05	9.6858e-08
2.5	0.000123338	-2.74853e-05	2.38643e-05	-2.23519e-08
2.4	0.000124098	-2.76492e-05	2.44306e-05	-1.26661e-07
2.3	0.00012491	-2.78727e-05	2.49596e-05	-2.75673e-07
2.2	0.000125901	-2.81261e-05	2.55035e-05	-3.20377e-07
2.1	0.000126855	-2.82974e-05	2.6107e-05	-4.39586e-07
2	0.00012792	-2.86029e-05	2.66881e-05	-5.9605e-07
1.9	0.000128903	-2.87519e-05	2.73214e-05	-7.07809e-07
1.8	0.000129596	-2.90052e-05	2.79249e-05	-8.79172e-07
1.7	0.000130371	-2.91244e-05	2.86252e-05	-1.02819e-06
1.6	0.000130736	-2.90574e-05	2.9266e-05	-1.08779e-06
1.5	0.000130788	-2.90574e-05	2.99142e-05	-1.27406e-06
1.4	0.000130468	-2.89754e-05	3.06147e-05	-1.43052e-06
1.3	0.000129984	-2.87966e-05	3.13448e-05	-1.58698e-06
1.2	0.000129261	-2.8506e-05	3.21346e-05	-1.77325e-06
1.1	0.000128471	-2.82378e-05	3.29542e-05	-1.92226e-06
1	0.000127734	-2.79696e-05	3.38557e-05	-2.11598e-06
0.899999999999999	0.000126922	-2.76716e-05	3.48764e-05	-2.30969e-06
0.8	0.000126124	-2.74481e-05	3.59418e-05	-2.59282e-06
0.7	0.000125379	-2.73065e-05	3.73649e-05	-2.80143e-06
0.6	0.000124746	-2.70085e-05	3.9086e-05	-3.10691e-06
0.5	0.000124083	-2.68148e-05	4.12988e-05	-3.48689e-06
0.399999999999999	0.000123286	-2.66657e-05	4.38916e-05	-3.89668e-06
0.3	0.000122362	-2.63826e-05	4.67973e-05	-4.32882e-06
0.199999999999999	0.000121274	-2.59207e-05	4.94944e-05	-4.77585e-06
0.0999999999999996	0.000119776	-2.54737e-05	5.09175e-05	-5.00682e-06
0	0.000117988	-2.49596e-05	4.96956e-05	-4.77585e-06
-0.100000000000001	0.000115984	-2.4289e-05	4.66632e-05	-4.32137e-06
-0.2	0.000113748	-2.36408e-05	4.37724e-05	-3.93394e-06
-0.300000000000001	0.00011164	-2.29032e-05	4.15372e-05	-3.57629e-06
-0.4	0.000109435	-2.22476e-05	3.99055e-05	-3.25592e-06
-0.5	0.000107408	-2.16217e-05	3.84899e-05	-3.09201e-06
-0.600000000000001	0.000105463	-2.10853e-05	3.73649e-05	-2.90574e-06
-0.7	0.000103817	-2.05861e-05	3.63889e-05	-2.80143e-06
-0.800000000000001	0.000102334	-2.02359e-05	3.55246e-05	-2.65987e-06
-0.9	0.000101023	-1.98932e-05	3.46827e-05	-2.52576e-06
-1	9.99426e-05	-1.95355e-05	3.39451e-05	-2.3544e-06
-1.1	9.88473e-05	-1.93567e-05	3.31702e-05	-2.25754e-06
-1.2	9.78191e-05	-1.90736e-05	3.25146e-05	-2.15323e-06
-1.3	9.68878e-05	-1.87979e-05	3.18664e-05	-2.08618e-06
-1.4	9.57851e-05	-1.85074e-05	3.12182e-05	-1.98187e-06
-1.5	9.45707e-05	-1.82019e-05	3.06221e-05	-1.885e-06
-1.6	9.32594e-05	-1.79039e-05	2.99962e-05	-1.7956e-06
-1.7	9.17544e-05	-1.75239e-05	2.94448e-05	-1.67639e-06
-1.8	9.01301e-05	-1.71365e-05	2.88786e-05	-1.61678e-06
-1.9	8.84538e-05	-1.66894e-05	2.83719e-05	-1.57208e-06
-2	8.67923e-05	-1.622e-05	2.78355e-05	-1.48267e-06
-2.1	8.50041e-05	-1.5773e-05	2.72916e-05	-1.42307e-06
-2.2	8.32085e-05	-1.53409e-05	2.6785e-05	-1.42307e-06
-2.3	8.15024e-05	-1.48714e-05	2.63156e-05	-1.36346e-06
-2.4	7.98483e-05	-1.45063e-05	2.59058e-05	-1.22935e-06
-2.5	7.82986e-05	-1.40593e-05	2.54364e-05	-1.207e-06
-2.6	7.6734e-05	-1.36793e-05	2.50341e-05	-1.1921e-06
-2.7	7.54152e-05	-1.33888e-05	2.46317e-05	-1.16975e-06
-2.8	7.41337e-05	-1.31056e-05	2.41996e-05	-1.10269e-06
-2.9	7.29491e-05	-1.27853e-05	2.38494e-05	-1.07289e-06
-3	7.18241e-05	-1.25543e-05	2.3529e-05	-1.01329e-06
-3.1	7.07586e-05	-1.23531e-05	2.31416e-05	-9.16425e-07
-3.2	6.97304e-05	-1.20402e-05	2.28063e-05	-8.79172e-07
-3.3	6.87991e-05	-1.18837e-05	2.25158e-05	-8.27018e-07
-3.4	6.77262e-05	-1.16453e-05	2.22028e-05	-7.97216e-07
-3.5	6.68098e-05	-1.15112e-05	2.18899e-05	-7.89765e-07
-3.6	6.57593e-05	-1.12877e-05	2.16068e-05	-7.45062e-07
-3.7	6.46641e-05	-1.10791e-05	2.13088e-05	-7.59963e-07
-3.8	6.35912e-05	-1.08481e-05	2.10331e-05	-7.37611e-07
-3.9	6.2481e-05	-1.06171e-05	2.07723e-05	-6.48204e-07
-4	6.13187e-05	-1.03713e-05	2.04818e-05	-6.85457e-07
-4.1	6.01115e-05	-1.01627e-05	2.02657e-05	-6.48204e-07
-4.2	5.88971e-05	-9.93168e-06	1.999e-05	-6.40754e-07
-4.3	5.77571e-05	-9.70816e-06	1.97963e-05	-6.10951e-07
-4.4	5.65501e-05	-9.4772e-06	1.95281e-05	-6.18402e-07
-4.5	5.53804e-05	-9.18662e-06	1.93046e-05	-6.40754e-07
-4.6	5.42032e-05	-8.9333e-06	1.90736e-05	-6.18402e-07
-4.7	5.3108e-05	-8.70979e-06	1.88724e-05	-5.886e-07
-4.8	5.19308e-05	-8.51607e-06	1.86117e-05	-6.03501e-07
-4.9	5.07312e-05	-8.27765e-06	1.83807e-05	-5.81149e-07
-5	4.95615e-05	-7.97963e-06	1.81721e-05	-5.73698e-07
