# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 141
-7	1.2219e-05	-1.71364e-07
-6.9	1.23531e-05	-2.30969e-07
-6.8	9.67836e-06	1.53483e-06
-6.7	1.05426e-05	1.78815e-06
-6.6	1.15783e-05	1.89245e-06
-6.5	1.29194e-05	4.41077e-06
-6.4	3.57183e-05	3.70295e-06
-6.3	1.49385e-05	4.43312e-06
-6.2	1.19731e-05	2.3395e-06
-6.1	9.65601e-06	9.53682e-07
-6	9.32819e-06	2.23518e-07
-5.9	9.73797e-06	6.48204e-07
-5.8	1.02148e-05	1.13995e-06
-5.7	9.17917e-06	1.11759e-07
-5.6	8.77684e-06	-6.70557e-08
-5.5	8.71724e-06	-2.68223e-07
-5.4	8.70234e-06	-5.14094e-07
-5.3	8.73214e-06	-9.01524e-07
-5.2	8.58313e-06	-1.1772e-06
-5.1	8.58313e-06	-1.33366e-06
-5	8.61293e-06	-1.29641e-06
-4.9	8.78429e-06	-1.38582e-06
-4.8	8.8737e-06	-1.42307e-06
-4.7	9.11957e-06	-1.46032e-06
-4.6	9.507e-06	-1.40072e-06
-4.5	9.30583e-06	-1.54228e-06
-4.4	9.43249e-06	-1.8552e-06
-4.3	9.36544e-06	-1.8105e-06
-4.2	9.4921e-06	-1.77325e-06
-4.1	9.5666e-06	-1.66894e-06
-4	9.63366e-06	-1.64659e-06
-3.9	9.77522e-06	-1.87755e-06
-3.8	9.76032e-06	-1.84775e-06
-3.7	9.64856e-06	-2.07873e-06
-3.6	1.00211e-05	-1.99677e-06
-3.5	1.06097e-05	-2.06383e-06
-3.4	1.06395e-05	-2.28734e-06
-3.3	1.06395e-05	-2.26499e-06
-3.2	1.06991e-05	-1.98187e-06
-3.1	1.11536e-05	-1.94462e-06
-3	1.14591e-05	-2.21284e-06
-2.9	1.169e-05	-2.66732e-06
-2.8	1.17198e-05	-2.88339e-06
-2.7	1.18018e-05	-2.91319e-06
-2.6	1.17645e-05	-2.91319e-06
-2.5	1.21967e-05	-3.0175e-06
-2.4	1.2219e-05	-3.11436e-06
-2.3	1.25319e-05	-3.36023e-06
-2.2	1.28449e-05	-3.01005e-06
-2.1	1.30609e-05	-3.15906e-06
-2	1.34633e-05	-3.51669e-06
-1.9	1.36421e-05	-3.41238e-06
-1.8	1.41189e-05	-3.30062e-06
-1.7	1.39326e-05	-3.68805e-06
-1.6	1.41711e-05	-3.95629e-06
-1.5	1.42828e-05	-3.74021e-06
-1.4	1.49608e-05	-3.42728e-06
-1.3	1.49608e-05	-3.83708e-06
-1.2	1.45063e-05	-4.28411e-06
-1.1	1.50949e-05	-3.96374e-06
-1	1.58326e-05	-3.54649e-06
-0.899999999999999	1.56016e-05	-4.41077e-06
-0.8	1.59071e-05	-4.38097e-06
-0.699999999999999	1.59444e-05	-4.88761e-06
-0.6	1.6153e-05	-4.70135e-06
-0.5	1.76282e-05	-4.87271e-06
-0.399999999999999	1.83956e-05	-4.90251e-06
-0.3	2.06829e-05	-5.14093e-06
-0.199999999999999	2.28436e-05	-5.04407e-06
-0.0999999999999996	2.52427e-05	-6.47458e-06
0	3.05625e-05	-8.2702e-06
0.100000000000001	3.31702e-05	-9.89443e-06
0.2	2.70904e-05	-8.82155e-06
0.300000000000001	2.27765e-05	-7.78591e-06
0.4	2.10853e-05	-7.02593e-06
0.5	1.94312e-05	-5.81893e-06
0.600000000000001	1.75015e-05	-6.0201e-06
0.7	1.69278e-05	-6.27342e-06
0.800000000000001	1.62796e-05	-5.3868e-06
0.9	1.56836e-05	-5.27504e-06
1	1.51694e-05	-4.91741e-06
1.1	1.4186e-05	-4.82055e-06
1.2	1.33813e-05	-5.05897e-06
1.3	1.38358e-05	-4.66409e-06
1.4	1.38954e-05	-5.08878e-06
1.5	1.36123e-05	-4.88016e-06
1.6	1.36793e-05	-4.57469e-06
1.7	1.36048e-05	-4.0606e-06
1.8	1.28076e-05	-4.06805e-06
1.9	1.27107e-05	-4.22451e-06
2	1.26437e-05	-3.77001e-06
2.1	1.30386e-05	-3.41238e-06
2.2	1.2666e-05	-3.30062e-06
2.3	1.19359e-05	-3.43473e-06
2.4	1.21892e-05	-2.75673e-06
2.5	1.15261e-05	-2.64497e-06
2.6	1.08332e-05	-2.92809e-06
2.7	1.0632e-05	-2.78653e-06
2.8	1.05054e-05	-2.64497e-06
2.9	9.75287e-06	-2.86849e-06
3	9.04506e-06	-3.0026e-06
3.1	8.48627e-06	-3.23357e-06
3.2	8.70979e-06	-2.68967e-06
3.3	8.46392e-06	-2.95044e-06
3.4	7.95728e-06	-2.98025e-06
3.5	7.59962e-06	-3.12181e-06
3.6	7.40591e-06	-2.95044e-06
3.7	7.70396e-06	-2.60027e-06
3.8	7.61452e-06	-2.74928e-06
3.9	7.62945e-06	-2.3991e-06
4	7.77846e-06	-2.12343e-06
4.1	7.41336e-06	-2.03402e-06
4.2	7.42826e-06	-2.01912e-06
4.3	7.30905e-06	-1.93717e-06
4.4	6.98867e-06	-1.90736e-06
4.5	6.63105e-06	-2.19049e-06
4.6	6.44478e-06	-2.34695e-06
4.7	6.713e-06	-2.33205e-06
4.8	6.37028e-06	-2.47361e-06
4.9	6.40008e-06	-2.13833e-06
5	6.24362e-06	-1.95952e-06
5.1	6.42988e-06	-1.65404e-06
5.2	7.17494e-06	-1.42307e-06
5.3	7.17494e-06	-1.207e-06
5.4	7.12278e-06	-8.12117e-07
5.5	7.68906e-06	-5.66248e-07
5.6	8.77684e-06	-3.5763e-07
5.7	7.91257e-06	-6.55655e-07
5.8	7.99453e-06	-3.27827e-07
5.9	7.00357e-06	-9.16425e-07
6	7.24944e-06	-5.886e-07
