# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 301
8	1.60933e-06	-9.90934e-07
7.95	1.77325e-06	-1.08034e-06
7.9	2.07128e-06	-9.46227e-07
7.85	2.10853e-06	-8.94073e-07
7.8	2.56301e-06	-1.45287e-06
7.75	2.54811e-06	-1.49757e-06
7.7	2.15323e-06	-2.52576e-06
7.65	2.48106e-06	-2.65242e-06
7.6	3.42728e-06	-3.56139e-06
7.55	4.70135e-06	-4.82055e-06
7.5	7.42826e-06	-8.04669e-06
7.45	9.29093e-06	-9.10467e-06
7.4	1.22712e-05	-1.29715e-05
7.35	1.65255e-05	-1.73302e-05
7.3	1.9394e-05	-1.77623e-05
7.25	1.3508e-05	-1.14367e-05
7.2	1.2219e-05	-9.58896e-06
7.15	1.03415e-05	-1.0267e-05
7.1	9.62621e-06	-1.08556e-05
7.05	1.03862e-05	-7.95728e-06
7	1.22116e-05	-1.07438e-05
6.95	1.91258e-05	-2.25083e-05
6.9	0.000218437	-0.000218445
6.85	0.000218437	-0.000218445
6.8	0.000218437	-0.000218445
6.75	0.000218437	-0.000218445
6.7	0.000218437	-0.000218445
6.65	0.000218437	-0.000218445
6.6	0.000218437	-0.000218445
6.55	0.000218437	-0.000218445
6.5	0.000218437	-0.000192077
6.45	0.000218437	-0.0001214
6.4	0.000218437	-0.000118904
6.35	0.000218437	-0.000149348
6.3	0.000175872	-9.01525e-05
6.25	0.000133679	-7.62572e-05
6.2	0.000124902	-8.69264e-05
6.15	0.00016226	-0.000134752
6.1	0.000136674	-0.00011018
6.05	0.000191563	-0.000167117
6	0.000183464	-0.000155569
5.95	0.00015954	-0.000122518
5.9	0.000152283	-0.000118509
5.85	0.000172139	-0.000126929
5.8	0.000182466	-0.000157648
5.75	0.000191697	-0.000191377
5.7	0.000162267	-0.000157752
5.65	0.000181847	-0.000159749
5.6	0.000218437	-0.000218445
5.55	0.000218437	-0.000185647
5.5	0.000218437	-0.000218445
5.45	0.000218437	-0.000218445
5.4	0.000218437	-0.000176066
5.35	0.000218437	-0.000192554
