# srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"	"X"	"Y"
# 301
8	1.34037e-05	-7.04828e-06	1.68384e-06	-9.38777e-07
7.95	1.77176e-05	-9.65601e-06	1.70619e-06	-9.46227e-07
7.9	3.1844e-05	-1.62647e-05	2.04892e-06	-1.02074e-06
7.85	7.56611e-05	-3.74618e-05	2.03402e-06	-9.68583e-07
7.8	0.000218437	-0.000218445	2.46616e-06	-1.52738e-06
7.75	0.000218437	-0.000218445	2.48851e-06	-1.50502e-06
7.7	-0.000175365	-0.000218445	1.98187e-06	-2.3544e-06
7.65	-0.000218445	-0.000218445	2.39165e-06	-2.9728e-06
7.6	4.58884e-05	-0.000218445	3.34533e-06	-3.54649e-06
7.55	0.00019005	-0.000218445	4.93231e-06	-4.82801e-06
7.5	-0.000218445	-0.000218445	8.69489e-06	-8.12119e-06
7.45	-0.000218445	-0.000218445	9.84228e-06	-9.84228e-06
7.4	-0.000218445	-0.000218445	1.2152e-05	-1.58177e-05
7.35	-0.000218445	-0.000218445	1.59593e-05	-1.75462e-05
7.3	-0.000102863	-0.000218445	1.86862e-05	-1.73674e-05
7.25	-3.80652e-05	-0.000218445	1.30237e-05	-1.18912e-05
7.2	-1.64734e-05	-0.000218445	1.13398e-05	-8.89605e-06
7.15	-0.000218445	-0.000218445	1.02446e-05	-1.00807e-05
7.1	-0.000120827	-0.000218445	9.09722e-06	-1.1623e-05
7.05	5.58274e-05	-0.000218445	1.11387e-05	-9.20898e-06
7	-8.96682e-05	-0.000218445	1.2517e-05	-1.21147e-05
6.95	-0.000205577	-0.000218445	1.96696e-05	-2.29256e-05
6.9	-0.000196041	-0.000218445	0.000218437	-0.000218445
6.85	-0.000218445	-0.000218445	0.000218437	-0.000218445
6.8	-0.000218445	-0.000218445	0.000218437	-0.000218445
6.75	-0.000161656	8.64645e-05	0.000218437	-0.000218445
6.7	-0.000121594	0.000208625	0.000218437	-0.000218445
6.65	-0.000154027	6.31143e-05	0.000218437	-0.000218445
6.6	-7.58399e-05	-6.18477e-05	0.000218437	-0.000218445
6.55	-5.06344e-05	-3.78045e-05	0.000218437	-0.000218445
6.5	-7.91703e-05	-1.57059e-05	0.000218437	-0.00019876
6.45	2.30969e-07	-5.62e-05	0.000218437	-0.000117474
6.4	-2.98025e-07	-5.28323e-05	0.000210227	-0.000104465
6.35	-5.18637e-05	-1.24798e-05	0.000218437	-0.000155606
6.3	2.79249e-05	-4.48602e-05	0.000154571	-9.05846e-05
6.25	2.55705e-05	-4.52774e-05	0.000112243	-6.44554e-05
6.2	3.82143e-05	-3.90413e-05	0.000121154	-8.8044e-05
6.15	4.20364e-05	-4.2029e-05	0.000153967	-0.000133202
6.1	4.19545e-05	-3.77225e-05	0.000129261	-0.000109286
6.05	4.28336e-05	-3.88997e-05	0.00018149	-0.000157849
6	4.62981e-05	-4.05835e-05	0.000182093	-0.00015425
5.95	5.17147e-05	-4.07102e-05	0.000158333	-0.000121557
5.9	6.13783e-05	-4.73487e-05	0.000155048	-0.000116371
5.85	8.52798e-05	-6.49248e-05	0.000167386	-0.000122608
5.8	0.00011234	-0.000102096	0.000182488	-0.000158177
5.75	0.000101783	-0.000107706	0.000194781	-0.000196093
5.7	9.94434e-05	-0.000103504	0.000163645	-0.000160673
5.65	0.000100501	-9.34084e-05	0.000180126	-0.000157454
5.6	7.49161e-05	-7.57729e-05	0.000218437	-0.000218445
5.55	5.98135e-05	-4.78181e-05	0.000218437	-0.000183501
5.5	3.97491e-05	-3.34906e-05	0.000218437	-0.000218445
5.45	2.65614e-05	-2.113e-05	0.000218437	-0.000218445
5.4	2.23444e-05	-1.61008e-05	0.000218437	-0.000169047
5.35	1.86191e-05	-1.3873e-05	0.000218437	-0.000181326
5.3	1.70619e-05	-1.16528e-05	0.00019318	-0.000135184
5.25	1.69129e-05	-1.04532e-05	0.000128479	-8.13534e-05
5.2	1.61455e-05	-1.08779e-05	0.000102878	-7.07363e-05
