# srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"	"X"	"Y"
# 641
-8	1.35899e-05	-1.66894e-06	2.20539e-06	-2.98025e-07
-7.975	1.46628e-05	-1.84775e-06	2.20539e-06	-3.5763e-07
-7.95	1.57953e-05	-2.02657e-06	2.26499e-06	-2.98025e-07
-7.925	1.69874e-05	-2.14578e-06	2.3246e-06	-3.5763e-07
-7.9	1.8418e-05	-2.3842e-06	2.3246e-06	-3.5763e-07
-7.875	2.02061e-05	-2.62262e-06	2.3842e-06	-3.5763e-07
-7.85	2.22923e-05	-2.92064e-06	2.4438e-06	-3.5763e-07
-7.825	2.48553e-05	-3.27827e-06	2.50341e-06	-3.5763e-07
-7.8	2.81931e-05	-3.81473e-06	2.56301e-06	-3.5763e-07
-7.775	3.25444e-05	-4.58959e-06	2.56301e-06	-3.5763e-07
-7.75	3.84452e-05	-5.48366e-06	2.62262e-06	-4.17234e-07
-7.725	4.61938e-05	-6.85456e-06	2.74183e-06	-3.5763e-07
-7.7	5.61478e-05	-8.64273e-06	2.80143e-06	-4.76841e-07
-7.675	7.02743e-05	-1.15634e-05	2.86104e-06	-4.76841e-07
-7.65	9.25069e-05	-1.65702e-05	2.92064e-06	-4.76841e-07
-7.625	0.000131489	-2.72394e-05	2.98025e-06	-5.36445e-07
-7.6	0.000196398	-4.97701e-05	3.09946e-06	-5.9605e-07
-7.575	0.000308694	-0.000104487	3.21867e-06	-7.74864e-07
-7.55	0.000488523	-0.000239135	3.39748e-06	-1.01329e-06
-7.525	0.000817243	-0.000798944	3.21867e-06	-1.66894e-06
-7.5	0.000813607	-0.0010922	2.74183e-06	-1.96697e-06
-7.475	0.000864986	-0.0010922	3.21867e-06	-1.96697e-06
-7.45	0.00082064	-0.0010922	2.98025e-06	-1.96697e-06
-7.425	0.000700954	-0.0010922	2.62262e-06	-1.78815e-06
-7.4	0.000751439	-0.0010922	2.86104e-06	-1.90736e-06
-7.375	0.000833932	-0.00102479	3.6955e-06	-2.14578e-06
-7.35	0.000778619	-0.00072277	4.17235e-06	-2.20539e-06
-7.325	0.000734333	-0.000608269	4.52998e-06	-2.20539e-06
-7.3	0.000679497	-0.000499729	4.7088e-06	-2.08618e-06
-7.275	0.000627939	-0.000428142	4.7684e-06	-1.96697e-06
-7.25	0.000606064	-0.000409724	5.00682e-06	-2.08618e-06
-7.225	0.000596706	-0.000395538	5.48366e-06	-2.3842e-06
-7.2	0.000572089	-0.000366332	6.0797e-06	-2.62262e-06
-7.175	0.000558022	-0.000346305	6.67575e-06	-2.80143e-06
-7.15	0.000541631	-0.000323715	7.3314e-06	-3.03985e-06
-7.125	0.000551049	-0.000334324	7.92748e-06	-3.33787e-06
-7.1	0.000583652	-0.000370504	8.46392e-06	-3.6955e-06
-7.075	0.000608806	-0.000399889	8.94075e-06	-3.93394e-06
-7.05	0.000618223	-0.000412287	9.59641e-06	-4.17235e-06
-7.025	0.000638846	-0.000445964	1.03713e-05	-4.7088e-06
-7	0.000625197	-0.000425996	1.1623e-05	-5.18563e-06
-6.975	0.00058395	-0.000375928	1.24574e-05	-5.12603e-06
-6.95	0.000544909	-0.000333549	1.34111e-05	-5.00682e-06
-6.925	0.000526253	-0.00033492	1.53185e-05	-5.72208e-06
-6.9	0.000550333	-0.000349762	2.00273e-05	-6.85456e-06
-6.875	0.00054479	-0.000340464	2.78355e-05	-8.2851e-06
-6.85	0.000506286	-0.000321331	6.42543e-05	-1.50204e-05
-6.825	0.000432612	-0.000338973	0.000216366	-6.95591e-05
-6.8	0.00043893	-0.000351967	0.000205875	-4.8876e-05
-6.775	0.000491027	-0.000449838	0.000217081	-5.35848e-05
-6.75	0.000386359	-0.000329437	0.000249745	-5.91876e-05
-6.725	0.000290932	-0.000205399	0.000227869	-5.84128e-05
-6.7	0.000239194	-0.000154794	0.000238479	-6.92015e-05
-6.675	0.000191511	-0.00013429	0.000291528	-9.16128e-05
-6.65	0.000172914	-0.000118852	0.000310065	-0.000106395
-6.625	0.000164808	-0.000108064	0.000316681	-0.000119091
-6.6	0.000156284	-0.000102282	0.000305893	-0.000118971
-6.575	0.000153781	-9.25069e-05	0.000278892	-0.000105441
-6.55	0.000149191	-8.58312e-05	0.00028968	-0.000114859
-6.525	0.000142337	-8.15992e-05	0.000292959	-0.000117422
-6.5	0.000133575	-7.98111e-05	0.000323178	-0.000133635
-6.475	0.000121773	-8.20761e-05	0.000430765	-0.000208379
-6.45	0.000101984	-9.19108e-05	0.000667457	-0.000450077
-6.425	8.87518e-05	-9.78117e-05	0.000785176	-0.000645939
-6.4	9.30433e-05	-0.000100017	0.000764314	-0.000611547
-6.375	0.000108123	-9.78713e-05	0.000635449	-0.000413718
-6.35	0.00012219	-9.08975e-05	0.000457587	-0.000232399
-6.325	0.000128687	-8.54735e-05	0.000341596	-0.000146092
-6.3	0.000129939	-8.4043e-05	0.000316443	-0.000131131
-6.275	0.000133754	-8.17184e-05	0.000304701	-0.000127078
-6.25	0.000135721	-7.8619e-05	0.000297369	-0.000123979
-6.225	0.00013578	-7.55196e-05	0.000283243	-0.000114799
-6.2	0.000137926	-7.20625e-05	0.000257077	-9.95402e-05
-6.175	0.000142277	-6.88438e-05	0.000219346	-7.97515e-05
-6.15	0.00014341	-6.71153e-05	0.000213684	-7.59368e-05
-6.125	0.000142456	-6.62212e-05	0.00022173	-7.93939e-05
-6.1	0.000142158	-6.54464e-05	0.000222267	-7.83806e-05
-6.075	0.000142158	-6.42543e-05	0.000221015	-7.76057e-05
-6.05	0.000140251	-6.30026e-05	0.000228227	-8.15992e-05
-6.025	0.000139595	-6.06778e-05	0.000223876	-7.90958e-05
-6	0.000138701	-5.86512e-05	0.000224353	-7.84998e-05
-5.975	0.000136496	-5.79359e-05	0.000244142	-8.70829e-05
-5.95	0.000135601	-5.67439e-05	0.000247123	-8.74405e-05
-5.925	0.000133158	-5.5969e-05	0.000263276	-9.49507e-05
-5.9	0.000130177	-5.50749e-05	0.000281157	-0.000103951
-5.875	0.000128449	-5.4002e-05	0.000285091	-0.00010562
-5.85	0.000127436	-5.31676e-05	0.000285508	-0.000105322
-5.825	0.000125051	-5.16775e-05	0.000288429	-0.000106454
-5.8	0.000123442	-4.8876e-05	0.000267508	-9.50699e-05
-5.775	0.000121356	-4.57766e-05	0.000241042	-8.15992e-05
-5.75	0.00011915	-4.32732e-05	0.000220777	-7.20029e-05
-5.725	0.000116528	-4.13659e-05	0.000213624	-6.84862e-05
-5.7	0.000113845	-3.97565e-05	0.000212372	-6.73537e-05
-5.675	0.000111521	-3.80876e-05	0.000205518	-6.40159e-05
-5.65	0.000109017	-3.62399e-05	0.000195802	-5.94857e-05
-5.625	0.000105858	-3.42133e-05	0.00018716	-5.53729e-05
-5.6	0.000102282	-3.21271e-05	0.000179888	-5.19159e-05
-5.575	9.9123e-05	-3.03389e-05	0.000173152	-4.8876e-05
-5.55	9.62024e-05	-2.867e-05	0.000163616	-4.49421e-05
-5.525	9.34605e-05	-2.68818e-05	0.000150085	-3.97565e-05
-5.5	9.05399e-05	-2.52725e-05	0.000141562	-3.64187e-05
-5.475	8.77385e-05	-2.3842e-05	0.000134529	-3.37961e-05
-5.45	8.51755e-05	-2.24711e-05	0.000122071	-2.96236e-05
-5.425	8.23741e-05	-2.11002e-05	0.000114084	-2.7299e-05
-5.4	7.98111e-05	-1.98485e-05	0.000103653	-2.37824e-05
-5.375	7.72481e-05	-1.86564e-05	9.18512e-05	-2.04445e-05
-5.35	7.48043e-05	-1.75835e-05	8.18376e-05	-1.77027e-05
-5.325	7.26585e-05	-1.66298e-05	7.27777e-05	-1.53185e-05
-5.3	7.06916e-05	-1.57357e-05	6.49099e-05	-1.32919e-05
-5.275	6.88438e-05	-1.508e-05	5.80552e-05	-1.1623e-05
-5.25	6.70557e-05	-1.4484e-05	5.25119e-05	-1.03117e-05
-5.225	6.52079e-05	-1.38283e-05	4.78628e-05	-9.23878e-06
-5.2	6.34198e-05	-1.32919e-05	4.39885e-05	-8.40431e-06
-5.175	6.16913e-05	-1.27555e-05	4.06506e-05	-7.68906e-06
-5.15	6.00221e-05	-1.22786e-05	3.77896e-05	-7.03338e-06
-5.125	5.82936e-05	-1.17422e-05	3.52862e-05	-6.49694e-06
-5.1	5.68035e-05	-1.13249e-05	3.30212e-05	-6.0797e-06
-5.075	5.53133e-05	-1.08481e-05	3.11735e-05	-5.60287e-06
-5.05	5.39424e-05	-1.04309e-05	2.96236e-05	-5.24524e-06
-5.025	5.27503e-05	-1.00136e-05	2.83123e-05	-4.94721e-06
-5	5.16775e-05	-9.65601e-06	2.70606e-05	-4.64919e-06
-4.975	5.07238e-05	-9.35799e-06	2.59281e-05	-4.41077e-06
-4.95	4.98297e-05	-9.05996e-06	2.49149e-05	-4.17235e-06
-4.925	4.90549e-05	-8.82155e-06	2.40208e-05	-3.93394e-06
-4.9	4.83992e-05	-8.64273e-06	2.31863e-05	-3.81473e-06
-4.875	4.78628e-05	-8.46392e-06	2.24115e-05	-3.6955e-06
-4.85	4.73859e-05	-8.2851e-06	2.16962e-05	-3.51669e-06
-4.825	4.69687e-05	-8.16589e-06	2.0981e-05	-3.39748e-06
-4.8	4.67303e-05	-8.04669e-06	2.02061e-05	-3.21867e-06
-4.775	4.66111e-05	-7.98708e-06	1.961e-05	-3.21867e-06
-4.75	4.66111e-05	-7.86787e-06	1.91332e-05	-3.03985e-06
-4.725	4.66707e-05	-7.86787e-06	1.86564e-05	-2.92064e-06
-4.7	4.67899e-05	-7.86787e-06	1.82391e-05	-2.86104e-06
-4.675	4.69091e-05	-7.80827e-06	1.77623e-05	-2.74183e-06
-4.65	4.72071e-05	-7.74866e-06	1.74047e-05	-2.68222e-06
-4.625	4.73859e-05	-7.80827e-06	1.69874e-05	-2.62262e-06
-4.6	4.77436e-05	-7.80827e-06	1.66894e-05	-2.56301e-06
-4.575	4.828e-05	-7.86787e-06	1.63914e-05	-2.50341e-06
-4.55	4.86376e-05	-7.92748e-06	1.60934e-05	-2.4438e-06
-4.525	4.91741e-05	-7.98708e-06	1.5855e-05	-2.4438e-06
-4.5	4.96509e-05	-8.04669e-06	1.56165e-05	-2.3842e-06
-4.475	5.02469e-05	-8.16589e-06	1.53781e-05	-2.3842e-06
-4.45	5.07834e-05	-8.2255e-06	1.51396e-05	-2.3246e-06
-4.425	5.13198e-05	-8.34471e-06	1.50204e-05	-2.3842e-06
-4.4	5.19159e-05	-8.46392e-06	1.48416e-05	-2.3246e-06
-4.375	5.23927e-05	-8.58313e-06	1.47224e-05	-2.3246e-06
-4.35	5.29888e-05	-8.70234e-06	1.45436e-05	-2.3246e-06
-4.325	5.34656e-05	-8.70234e-06	1.4484e-05	-2.26499e-06
-4.3	5.39424e-05	-8.88115e-06	1.43648e-05	-2.20539e-06
-4.275	5.43597e-05	-8.94075e-06	1.42456e-05	-2.20539e-06
-4.25	5.45981e-05	-9.11957e-06	1.4186e-05	-2.26499e-06
-4.225	5.47769e-05	-9.23878e-06	1.41264e-05	-2.20539e-06
-4.2	5.49557e-05	-9.17917e-06	1.41264e-05	-2.26499e-06
-4.175	5.50153e-05	-9.29838e-06	1.40071e-05	-2.20539e-06
-4.15	5.49557e-05	-9.23878e-06	1.39475e-05	-2.14578e-06
-4.125	5.47769e-05	-9.23878e-06	1.39475e-05	-2.20539e-06
-4.1	5.44789e-05	-9.23878e-06	1.38879e-05	-2.20539e-06
-4.075	5.40616e-05	-9.17917e-06	1.38879e-05	-2.14578e-06
-4.05	5.35848e-05	-9.05996e-06	1.38283e-05	-2.20539e-06
-4.025	5.29292e-05	-8.94075e-06	1.38283e-05	-2.20539e-06
-4	5.20947e-05	-8.82155e-06	1.37687e-05	-2.14578e-06
-3.975	5.12006e-05	-8.76194e-06	1.37091e-05	-2.20539e-06
-3.95	5.02469e-05	-8.58313e-06	1.37091e-05	-2.20539e-06
-3.925	4.92933e-05	-8.40431e-06	1.35899e-05	-2.20539e-06
-3.9	4.82204e-05	-8.2851e-06	1.36495e-05	-2.3246e-06
-3.875	4.70283e-05	-8.10629e-06	1.36495e-05	-2.20539e-06
-3.85	4.59554e-05	-7.86787e-06	1.35899e-05	-2.20539e-06
