# ppms_temperature_set_stable_set	srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "Temperature"	"volt"	"X"	"Y"	"X"	"Y"
# 25	661
120	-8.25	1.38283e-05	-1.31131e-06	6.43733e-06	-6.55655e-07
120	-8.225	1.4186e-05	-1.43052e-06	6.49694e-06	-6.55655e-07
120	-8.2	1.44244e-05	-1.43052e-06	6.55654e-06	-6.55655e-07
120	-8.175	1.4782e-05	-1.43052e-06	6.55654e-06	-6.55655e-07
120	-8.15	1.50204e-05	-1.54973e-06	6.55654e-06	-6.55655e-07
120	-8.125	1.53781e-05	-1.54973e-06	6.61614e-06	-6.55655e-07
120	-8.1	1.56165e-05	-1.54973e-06	6.61614e-06	-7.15259e-07
120	-8.075	1.59742e-05	-1.66894e-06	6.67575e-06	-7.15259e-07
120	-8.05	1.63318e-05	-1.54973e-06	6.67575e-06	-6.55655e-07
120	-8.025	1.66894e-05	-1.66894e-06	6.79496e-06	-6.55655e-07
120	-8	1.7047e-05	-1.66894e-06	6.79496e-06	-7.15259e-07
120	-7.975	1.74047e-05	-1.78815e-06	6.85456e-06	-7.15259e-07
120	-7.95	1.77623e-05	-1.78815e-06	6.91417e-06	-7.15259e-07
120	-7.925	1.82391e-05	-1.90736e-06	6.91417e-06	-7.15259e-07
120	-7.9	1.85968e-05	-1.90736e-06	6.91417e-06	-7.15259e-07
120	-7.875	1.89544e-05	-1.90736e-06	6.97377e-06	-7.15259e-07
120	-7.85	1.94312e-05	-2.02657e-06	6.97377e-06	-7.15259e-07
120	-7.825	1.97889e-05	-2.02657e-06	7.09298e-06	-7.15259e-07
120	-7.8	2.02657e-05	-2.02657e-06	7.15259e-06	-7.74864e-07
120	-7.775	2.06233e-05	-2.14578e-06	7.15259e-06	-7.74864e-07
120	-7.75	2.12194e-05	-2.14578e-06	7.21219e-06	-7.15259e-07
120	-7.725	2.1577e-05	-2.26499e-06	7.2718e-06	-7.15259e-07
120	-7.7	2.20538e-05	-2.3842e-06	7.3314e-06	-7.74864e-07
120	-7.675	2.25307e-05	-2.3842e-06	7.39101e-06	-7.74864e-07
120	-7.65	2.31267e-05	-2.50341e-06	7.39101e-06	-8.34469e-07
120	-7.625	2.36036e-05	-2.50341e-06	7.45061e-06	-7.74864e-07
120	-7.6	2.40804e-05	-2.50341e-06	7.56982e-06	-8.34469e-07
120	-7.575	2.45572e-05	-2.62262e-06	7.56982e-06	-7.74864e-07
120	-7.55	2.51533e-05	-2.74183e-06	7.62945e-06	-8.34469e-07
120	-7.525	2.56301e-05	-2.74183e-06	7.68906e-06	-8.34469e-07
120	-7.5	2.6107e-05	-2.74183e-06	7.74866e-06	-8.34469e-07
120	-7.475	2.6703e-05	-2.98025e-06	7.80827e-06	-8.34469e-07
120	-7.45	2.7299e-05	-2.98025e-06	7.86787e-06	-8.34469e-07
120	-7.425	2.78951e-05	-3.09946e-06	7.98708e-06	-8.94073e-07
120	-7.4	2.84911e-05	-3.09946e-06	7.98708e-06	-8.34469e-07
120	-7.375	2.90872e-05	-3.21867e-06	8.04669e-06	-9.53682e-07
120	-7.35	2.96832e-05	-3.33787e-06	8.16589e-06	-8.34469e-07
120	-7.325	3.02793e-05	-3.33787e-06	8.2255e-06	-8.34469e-07
120	-7.3	3.08754e-05	-3.45708e-06	8.2851e-06	-9.53682e-07
120	-7.275	3.15907e-05	-3.57629e-06	8.34471e-06	-9.53682e-07
120	-7.25	3.21867e-05	-3.57629e-06	8.40431e-06	-9.53682e-07
120	-7.225	3.27828e-05	-3.6955e-06	8.46392e-06	-9.53682e-07
120	-7.2	3.33788e-05	-3.81473e-06	8.58313e-06	-9.53682e-07
120	-7.175	3.40941e-05	-3.93394e-06	8.64273e-06	-9.53682e-07
120	-7.15	3.48093e-05	-4.05314e-06	8.76194e-06	-1.01329e-06
120	-7.125	3.55246e-05	-4.17235e-06	8.82155e-06	-1.01329e-06
120	-7.1	3.61206e-05	-4.17235e-06	8.94075e-06	-1.01329e-06
120	-7.075	3.68359e-05	-4.41077e-06	9.00036e-06	-1.01329e-06
120	-7.05	3.75512e-05	-4.41077e-06	9.00036e-06	-1.01329e-06
120	-7.025	3.81472e-05	-4.64919e-06	9.11957e-06	-1.07289e-06
120	-7	3.88625e-05	-4.64919e-06	9.17917e-06	-1.07289e-06
120	-6.975	3.94585e-05	-4.7684e-06	9.29838e-06	-1.07289e-06
120	-6.95	4.0293e-05	-4.88761e-06	9.41759e-06	-1.07289e-06
120	-6.925	4.10082e-05	-5.00682e-06	9.4772e-06	-1.1325e-06
120	-6.9	4.18427e-05	-5.12603e-06	9.59641e-06	-1.07289e-06
120	-6.875	4.25579e-05	-5.24524e-06	9.71562e-06	-1.1921e-06
120	-6.85	4.3154e-05	-5.36445e-06	9.77522e-06	-1.1921e-06
120	-6.825	4.39885e-05	-5.48366e-06	9.83482e-06	-1.1921e-06
120	-6.8	4.47037e-05	-5.60287e-06	9.95403e-06	-1.1921e-06
120	-6.775	4.5419e-05	-5.72208e-06	1.00732e-05	-1.2517e-06
120	-6.75	4.61342e-05	-5.84128e-06	1.01925e-05	-1.2517e-06
120	-6.725	4.69687e-05	-5.96049e-06	1.02521e-05	-1.1921e-06
120	-6.7	4.76839e-05	-6.19891e-06	1.03713e-05	-1.2517e-06
120	-6.675	4.85184e-05	-6.31812e-06	1.04905e-05	-1.2517e-06
120	-6.65	4.92337e-05	-6.43733e-06	1.06097e-05	-1.31131e-06
120	-6.625	4.99489e-05	-6.55654e-06	1.07289e-05	-1.31131e-06
120	-6.6	5.06642e-05	-6.67575e-06	1.08481e-05	-1.37091e-06
120	-6.575	5.14986e-05	-6.79496e-06	1.08481e-05	-1.31131e-06
120	-6.55	5.22139e-05	-7.03338e-06	1.10269e-05	-1.31131e-06
120	-6.525	5.30484e-05	-7.03338e-06	1.10865e-05	-1.37091e-06
120	-6.5	5.37636e-05	-7.2718e-06	1.12653e-05	-1.37091e-06
120	-6.475	5.44789e-05	-7.39101e-06	1.13845e-05	-1.37091e-06
120	-6.45	5.53133e-05	-7.51021e-06	1.15038e-05	-1.43052e-06
120	-6.425	5.60286e-05	-7.62945e-06	1.1623e-05	-1.49012e-06
120	-6.4	5.68631e-05	-7.86787e-06	1.17422e-05	-1.49012e-06
120	-6.375	5.75783e-05	-7.98708e-06	1.1921e-05	-1.54973e-06
120	-6.35	5.82936e-05	-8.10629e-06	1.19806e-05	-1.49012e-06
120	-6.325	5.9128e-05	-8.34471e-06	1.20998e-05	-1.49012e-06
120	-6.3	5.98433e-05	-8.46392e-06	1.2219e-05	-1.54973e-06
120	-6.275	6.05586e-05	-8.58313e-06	1.23978e-05	-1.54973e-06
120	-6.25	6.1274e-05	-8.82155e-06	1.2517e-05	-1.60933e-06
120	-6.225	6.21085e-05	-8.82155e-06	1.26958e-05	-1.60933e-06
120	-6.2	6.27046e-05	-9.05996e-06	1.27555e-05	-1.66894e-06
120	-6.175	6.3539e-05	-9.17917e-06	1.28747e-05	-1.66894e-06
120	-6.15	6.42543e-05	-9.41759e-06	1.30535e-05	-1.72854e-06
120	-6.125	6.49695e-05	-9.5368e-06	1.31727e-05	-1.78815e-06
120	-6.1	6.55656e-05	-9.77522e-06	1.32919e-05	-1.72854e-06
120	-6.075	6.62808e-05	-9.89443e-06	1.34707e-05	-1.78815e-06
120	-6.05	6.69961e-05	-1.01328e-05	1.35899e-05	-1.84775e-06
120	-6.025	6.77113e-05	-1.01328e-05	1.37687e-05	-1.84775e-06
120	-6	6.84266e-05	-1.02521e-05	1.39475e-05	-1.84775e-06
120	-5.975	6.91419e-05	-1.04905e-05	1.40071e-05	-1.90736e-06
120	-5.95	6.98571e-05	-1.07289e-05	1.4186e-05	-1.90736e-06
120	-5.925	7.05724e-05	-1.08481e-05	1.43648e-05	-1.90736e-06
120	-5.9	7.11684e-05	-1.09673e-05	1.4484e-05	-1.96697e-06
120	-5.875	7.17645e-05	-1.10865e-05	1.46628e-05	-1.96697e-06
120	-5.85	7.23605e-05	-1.13249e-05	1.48416e-05	-2.08618e-06
120	-5.825	7.29566e-05	-1.14442e-05	1.49608e-05	-2.08618e-06
120	-5.8	7.36718e-05	-1.16826e-05	1.51396e-05	-2.08618e-06
120	-5.775	7.42679e-05	-1.18018e-05	1.52589e-05	-2.08618e-06
120	-5.75	7.48639e-05	-1.18018e-05	1.53781e-05	-2.14578e-06
120	-5.725	7.54599e-05	-1.20402e-05	1.56165e-05	-2.14578e-06
120	-5.7	7.61752e-05	-1.21594e-05	1.57953e-05	-2.20539e-06
120	-5.675	7.6652e-05	-1.23978e-05	1.59146e-05	-2.26499e-06
120	-5.65	7.72481e-05	-1.2517e-05	1.60934e-05	-2.26499e-06
120	-5.625	7.78441e-05	-1.26362e-05	1.62126e-05	-2.26499e-06
120	-5.6	7.8321e-05	-1.27555e-05	1.63914e-05	-2.3246e-06
120	-5.575	7.8917e-05	-1.29939e-05	1.65106e-05	-2.3842e-06
120	-5.55	7.95131e-05	-1.29939e-05	1.66894e-05	-2.3842e-06
120	-5.525	7.99899e-05	-1.31131e-05	1.69278e-05	-2.3842e-06
120	-5.5	8.05859e-05	-1.32323e-05	1.7047e-05	-2.4438e-06
120	-5.475	8.10628e-05	-1.33515e-05	1.72259e-05	-2.4438e-06
120	-5.45	8.15396e-05	-1.34707e-05	1.74643e-05	-2.4438e-06
120	-5.425	8.20165e-05	-1.37091e-05	1.75835e-05	-2.56301e-06
120	-5.4	8.24933e-05	-1.39475e-05	1.77623e-05	-2.62262e-06
120	-5.375	8.30893e-05	-1.40668e-05	1.79411e-05	-2.62262e-06
120	-5.35	8.3447e-05	-1.4186e-05	1.81199e-05	-2.68222e-06
120	-5.325	8.4043e-05	-1.43052e-05	1.82987e-05	-2.68222e-06
120	-5.3	8.45199e-05	-1.44244e-05	1.8418e-05	-2.68222e-06
120	-5.275	8.48775e-05	-1.45436e-05	1.85968e-05	-2.74183e-06
120	-5.25	8.53543e-05	-1.4782e-05	1.88352e-05	-2.74183e-06
120	-5.225	8.58312e-05	-1.4782e-05	1.89544e-05	-2.80143e-06
120	-5.2	8.6308e-05	-1.49012e-05	1.91928e-05	-2.80143e-06
120	-5.175	8.66656e-05	-1.50204e-05	1.9312e-05	-2.86104e-06
120	-5.15	8.70232e-05	-1.51396e-05	1.95504e-05	-2.92064e-06
120	-5.125	8.75001e-05	-1.53781e-05	1.96696e-05	-2.98025e-06
120	-5.1	8.79769e-05	-1.53781e-05	1.98485e-05	-2.98025e-06
120	-5.075	8.83345e-05	-1.56165e-05	2.00273e-05	-3.03985e-06
120	-5.05	8.86922e-05	-1.56165e-05	2.02061e-05	-3.03985e-06
120	-5.025	8.9169e-05	-1.57357e-05	2.03849e-05	-3.03985e-06
120	-5	8.95266e-05	-1.5855e-05	2.05637e-05	-3.03985e-06
120	-4.975	8.98843e-05	-1.59742e-05	2.07425e-05	-3.15906e-06
120	-4.95	9.02419e-05	-1.60934e-05	2.0981e-05	-3.21867e-06
120	-4.925	9.05995e-05	-1.62126e-05	2.11598e-05	-3.21867e-06
120	-4.9	9.09572e-05	-1.6451e-05	2.1279e-05	-3.27827e-06
120	-4.875	9.13148e-05	-1.6451e-05	2.15174e-05	-3.33787e-06
120	-4.85	9.16724e-05	-1.66894e-05	2.16962e-05	-3.33787e-06
120	-4.825	9.203e-05	-1.66894e-05	2.1875e-05	-3.33787e-06
120	-4.8	9.25069e-05	-1.68086e-05	2.20538e-05	-3.39748e-06
120	-4.775	9.27453e-05	-1.7047e-05	2.22923e-05	-3.45708e-06
120	-4.75	9.31029e-05	-1.7047e-05	2.24115e-05	-3.45708e-06
120	-4.725	9.34605e-05	-1.72855e-05	2.26499e-05	-3.51669e-06
120	-4.7	9.3699e-05	-1.72855e-05	2.28287e-05	-3.51669e-06
120	-4.675	9.40566e-05	-1.74047e-05	2.30075e-05	-3.57629e-06
120	-4.65	9.44142e-05	-1.74047e-05	2.31863e-05	-3.6359e-06
120	-4.625	9.47719e-05	-1.76431e-05	2.34247e-05	-3.6359e-06
120	-4.6	9.50103e-05	-1.77623e-05	2.36036e-05	-3.75511e-06
120	-4.575	9.53679e-05	-1.77623e-05	2.37824e-05	-3.75511e-06
120	-4.55	9.56063e-05	-1.80007e-05	2.39612e-05	-3.81473e-06
120	-4.525	9.58447e-05	-1.80007e-05	2.41996e-05	-3.81473e-06
120	-4.5	9.60832e-05	-1.80007e-05	2.43784e-05	-3.87433e-06
120	-4.475	9.64408e-05	-1.82391e-05	2.45572e-05	-3.87433e-06
120	-4.45	9.656e-05	-1.83583e-05	2.47956e-05	-3.99354e-06
120	-4.425	9.69176e-05	-1.84776e-05	2.49149e-05	-4.05314e-06
120	-4.4	9.7156e-05	-1.84776e-05	2.51533e-05	-4.05314e-06
120	-4.375	9.72752e-05	-1.8716e-05	2.53321e-05	-4.05314e-06
120	-4.35	9.76329e-05	-1.8716e-05	2.55705e-05	-4.11275e-06
120	-4.325	9.78713e-05	-1.88352e-05	2.57493e-05	-4.17235e-06
120	-4.3	9.81097e-05	-1.89544e-05	2.59877e-05	-4.23196e-06
120	-4.275	9.83481e-05	-1.89544e-05	2.61666e-05	-4.23196e-06
120	-4.25	9.84673e-05	-1.91928e-05	2.63454e-05	-4.29156e-06
120	-4.225	9.85865e-05	-1.91928e-05	2.65838e-05	-4.35117e-06
120	-4.2	9.8825e-05	-1.9312e-05	2.67626e-05	-4.41077e-06
120	-4.175	9.90634e-05	-1.94312e-05	2.69414e-05	-4.41077e-06
120	-4.15	9.93018e-05	-1.94312e-05	2.71202e-05	-4.47038e-06
120	-4.125	9.9421e-05	-1.95504e-05	2.7299e-05	-4.52998e-06
120	-4.1	9.96594e-05	-1.95504e-05	2.75971e-05	-4.52998e-06
120	-4.075	9.97786e-05	-1.96696e-05	2.77759e-05	-4.58959e-06
120	-4.05	9.98979e-05	-1.97889e-05	2.80143e-05	-4.64919e-06
120	-4.025	0.000100017	-1.99081e-05	2.81931e-05	-4.7088e-06
120	-4	0.000100255	-1.99081e-05	2.84315e-05	-4.7088e-06
120	-3.975	0.000100375	-2.00273e-05	2.85507e-05	-4.7684e-06
120	-3.95	0.000100494	-2.00273e-05	2.87892e-05	-4.7684e-06
120	-3.925	0.000100613	-2.00273e-05	2.8968e-05	-4.82801e-06
120	-3.9	0.000100852	-2.01465e-05	2.92064e-05	-4.94721e-06
120	-3.875	0.000100971	-2.01465e-05	2.93852e-05	-4.94721e-06
120	-3.85	0.00010109	-2.02657e-05	2.96236e-05	-5.00682e-06
120	-3.825	0.00010109	-2.02657e-05	2.98024e-05	-5.00682e-06
120	-3.8	0.000101209	-2.03849e-05	3.00409e-05	-5.06642e-06
120	-3.775	0.000101209	-2.03849e-05	3.02197e-05	-5.12603e-06
120	-3.75	0.000101448	-2.05041e-05	3.04581e-05	-5.18563e-06
120	-3.725	0.000101567	-2.06233e-05	3.06966e-05	-5.24524e-06
120	-3.7	0.000101567	-2.06233e-05	3.08158e-05	-5.24524e-06
120	-3.675	0.000101686	-2.06233e-05	3.09946e-05	-5.30484e-06
120	-3.65	0.000101686	-2.06233e-05	3.12331e-05	-5.30484e-06
120	-3.625	0.000101805	-2.07425e-05	3.15311e-05	-5.36445e-06
120	-3.6	0.000101924	-2.07425e-05	3.16503e-05	-5.42405e-06
120	-3.575	0.000102044	-2.08617e-05	3.18887e-05	-5.48366e-06
120	-3.55	0.000102044	-2.0981e-05	3.20079e-05	-5.54326e-06
120	-3.525	0.000102163	-2.0981e-05	3.2306e-05	-5.60287e-06
120	-3.5	0.000102163	-2.0981e-05	3.24848e-05	-5.60287e-06
120	-3.475	0.000102282	-2.0981e-05	3.26636e-05	-5.60287e-06
120	-3.45	0.000102282	-2.11002e-05	3.28424e-05	-5.66247e-06
120	-3.425	0.00010252	-2.11002e-05	3.30808e-05	-5.72208e-06
120	-3.4	0.00010252	-2.12194e-05	3.33192e-05	-5.78168e-06
120	-3.375	0.00010264	-2.12194e-05	3.3498e-05	-5.84128e-06
120	-3.35	0.00010264	-2.13386e-05	3.36769e-05	-5.90089e-06
120	-3.325	0.000102759	-2.13386e-05	3.38557e-05	-5.96049e-06
120	-3.3	0.000102759	-2.13386e-05	3.40941e-05	-6.0201e-06
120	-3.275	0.000102878	-2.13386e-05	3.42729e-05	-5.96049e-06
120	-3.25	0.000102878	-2.1577e-05	3.45113e-05	-6.0797e-06
120	-3.225	0.000102997	-2.1577e-05	3.46901e-05	-6.0797e-06
120	-3.2	0.000103117	-2.1577e-05	3.49286e-05	-6.19891e-06
120	-3.175	0.000103236	-2.16962e-05	3.51074e-05	-6.19891e-06
120	-3.15	0.000103355	-2.16962e-05	3.53458e-05	-6.25852e-06
120	-3.125	0.000103355	-2.18154e-05	3.55842e-05	-6.31812e-06
120	-3.1	0.000103355	-2.18154e-05	3.5763e-05	-6.37773e-06
120	-3.075	0.000103474	-2.19346e-05	3.60014e-05	-6.43733e-06
120	-3.05	0.000103593	-2.19346e-05	3.61803e-05	-6.43733e-06
120	-3.025	0.000103713	-2.19346e-05	3.63591e-05	-6.55654e-06
120	-3	0.000103832	-2.19346e-05	3.65975e-05	-6.61614e-06
120	-2.975	0.000103832	-2.2173e-05	3.68359e-05	-6.67575e-06
120	-2.95	0.000103951	-2.2173e-05	3.70147e-05	-6.67575e-06
120	-2.925	0.00010407	-2.22923e-05	3.72531e-05	-6.73535e-06
120	-2.9	0.000104189	-2.22923e-05	3.74916e-05	-6.73535e-06
120	-2.875	0.000104309	-2.24115e-05	3.76704e-05	-6.85456e-06
120	-2.85	0.000104309	-2.24115e-05	3.78492e-05	-6.85456e-06
120	-2.825	0.000104428	-2.24115e-05	3.81472e-05	-6.91417e-06
120	-2.8	0.000104666	-2.25307e-05	3.83856e-05	-6.97377e-06
120	-2.775	0.000104785	-2.24115e-05	3.85644e-05	-7.03338e-06
120	-2.75	0.000104905	-2.26499e-05	3.88625e-05	-7.09298e-06
120	-2.725	0.000105024	-2.26499e-05	3.90413e-05	-7.15259e-06
120	-2.7	0.000105024	-2.27691e-05	3.92797e-05	-7.21219e-06
120	-2.675	0.000105143	-2.27691e-05	3.95181e-05	-7.21219e-06
120	-2.65	0.000105262	-2.28883e-05	3.97565e-05	-7.3314e-06
120	-2.625	0.000105381	-2.28883e-05	3.99949e-05	-7.39101e-06
120	-2.6	0.000105501	-2.30075e-05	4.01738e-05	-7.45061e-06
120	-2.575	0.00010562	-2.30075e-05	4.04718e-05	-7.51021e-06
120	-2.55	0.000105858	-2.31267e-05	4.07102e-05	-7.51021e-06
120	-2.525	0.000105978	-2.31267e-05	4.09486e-05	-7.56982e-06
120	-2.5	0.000105978	-2.33651e-05	4.1187e-05	-7.68906e-06
120	-2.475	0.000106097	-2.33651e-05	4.14255e-05	-7.68906e-06
120	-2.45	0.000106216	-2.34843e-05	4.16639e-05	-7.80827e-06
120	-2.425	0.000106454	-2.34843e-05	4.19023e-05	-7.86787e-06
120	-2.4	0.000106454	-2.36036e-05	4.21407e-05	-7.92748e-06
120	-2.375	0.000106574	-2.36036e-05	4.24387e-05	-7.98708e-06
120	-2.35	0.000106574	-2.37228e-05	4.26772e-05	-8.04669e-06
120	-2.325	0.000106693	-2.3842e-05	4.29156e-05	-8.16589e-06
120	-2.3	0.000106812	-2.3842e-05	4.3154e-05	-8.2255e-06
120	-2.275	0.000106931	-2.3842e-05	4.3452e-05	-8.2255e-06
120	-2.25	0.00010705	-2.39612e-05	4.375e-05	-8.34471e-06
120	-2.225	0.00010717	-2.39612e-05	4.39885e-05	-8.34471e-06
120	-2.2	0.000107289	-2.40804e-05	4.42865e-05	-8.40431e-06
120	-2.175	0.000107408	-2.40804e-05	4.45249e-05	-8.52352e-06
120	-2.15	0.000107408	-2.41996e-05	4.47633e-05	-8.58313e-06
120	-2.125	0.000107408	-2.40804e-05	4.50017e-05	-8.58313e-06
120	-2.1	0.000107646	-2.43188e-05	4.52998e-05	-8.70234e-06
120	-2.075	0.000107646	-2.43188e-05	4.55978e-05	-8.76194e-06
120	-2.05	0.000107766	-2.4438e-05	4.58362e-05	-8.82155e-06
120	-2.025	0.000107885	-2.4438e-05	4.60746e-05	-8.88115e-06
120	-2	0.000107885	-2.45572e-05	4.63726e-05	-9.00036e-06
120	-1.975	0.000107885	-2.45572e-05	4.66111e-05	-9.11957e-06
120	-1.95	0.000108123	-2.46764e-05	4.68495e-05	-9.17917e-06
120	-1.925	0.000108123	-2.46764e-05	4.71475e-05	-9.23878e-06
120	-1.9	0.000108123	-2.46764e-05	4.73859e-05	-9.23878e-06
120	-1.875	0.000108243	-2.49149e-05	4.76839e-05	-9.35799e-06
120	-1.85	0.000108243	-2.49149e-05	4.79224e-05	-9.4772e-06
120	-1.825	0.000108243	-2.50341e-05	4.82204e-05	-9.5368e-06
120	-1.8	0.000108362	-2.49149e-05	4.85184e-05	-9.5368e-06
120	-1.775	0.000108362	-2.49149e-05	4.87568e-05	-9.59641e-06
120	-1.75	0.000108481	-2.50341e-05	4.90549e-05	-9.71562e-06
120	-1.725	0.000108481	-2.50341e-05	4.92933e-05	-9.65601e-06
120	-1.7	0.000108481	-2.51533e-05	4.95913e-05	-9.77522e-06
120	-1.675	0.000108481	-2.51533e-05	4.98297e-05	-9.83482e-06
120	-1.65	0.0001086	-2.51533e-05	5.00681e-05	-9.95403e-06
120	-1.625	0.000108719	-2.52725e-05	5.03066e-05	-1.00136e-05
120	-1.6	0.000108719	-2.52725e-05	5.0545e-05	-1.00732e-05
120	-1.575	0.000108719	-2.53917e-05	5.07834e-05	-1.01328e-05
120	-1.55	0.000108719	-2.55109e-05	5.10218e-05	-1.02521e-05
120	-1.525	0.000108839	-2.55109e-05	5.13198e-05	-1.03117e-05
120	-1.5	0.000108839	-2.55109e-05	5.16179e-05	-1.03117e-05
120	-1.475	0.000108839	-2.55109e-05	5.17967e-05	-1.04309e-05
120	-1.45	0.000108839	-2.55109e-05	5.20351e-05	-1.05501e-05
120	-1.425	0.000108839	-2.57493e-05	5.22139e-05	-1.06097e-05
120	-1.4	0.000108839	-2.57493e-05	5.25715e-05	-1.06693e-05
120	-1.375	0.000108839	-2.57493e-05	5.28099e-05	-1.06693e-05
120	-1.35	0.000108958	-2.57493e-05	5.29888e-05	-1.06693e-05
120	-1.325	0.000108958	-2.58685e-05	5.32272e-05	-1.07885e-05
120	-1.3	0.000108958	-2.58685e-05	5.3406e-05	-1.09077e-05
120	-1.275	0.000108958	-2.58685e-05	5.36444e-05	-1.10269e-05
120	-1.25	0.000109077	-2.59877e-05	5.39424e-05	-1.10865e-05
120	-1.225	0.000109077	-2.59877e-05	5.41213e-05	-1.10865e-05
120	-1.2	0.000109196	-2.59877e-05	5.43597e-05	-1.10865e-05
120	-1.175	0.000109196	-2.59877e-05	5.45981e-05	-1.11461e-05
120	-1.15	0.000109315	-2.59877e-05	5.48365e-05	-1.12057e-05
120	-1.125	0.000109435	-2.59877e-05	5.50749e-05	-1.12653e-05
120	-1.1	0.000109435	-2.6107e-05	5.52537e-05	-1.13249e-05
120	-1.075	0.000109435	-2.62262e-05	5.55518e-05	-1.14442e-05
120	-1.05	0.000109554	-2.6107e-05	5.57902e-05	-1.14442e-05
120	-1.025	0.000109554	-2.62262e-05	5.59094e-05	-1.14442e-05
120	-1	0.000109673	-2.62262e-05	5.61478e-05	-1.1623e-05
120	-0.975	0.000109792	-2.63454e-05	5.63862e-05	-1.16826e-05
120	-0.949999999999999	0.000109792	-2.65838e-05	5.6565e-05	-1.18018e-05
120	-0.925	0.000109792	-2.65838e-05	5.68631e-05	-1.1921e-05
120	-0.899999999999999	0.000109911	-2.6703e-05	5.70419e-05	-1.1921e-05
120	-0.875	0.000109911	-2.6703e-05	5.72803e-05	-1.19806e-05
120	-0.85	0.00011015	-2.68222e-05	5.75187e-05	-1.20402e-05
120	-0.824999999999999	0.00011015	-2.68222e-05	5.77571e-05	-1.20402e-05
120	-0.8	0.000110269	-2.68222e-05	5.79956e-05	-1.21594e-05
120	-0.774999999999999	0.000110507	-2.68222e-05	5.82936e-05	-1.20998e-05
