# srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"	"X"	"Y"
# 141
7	1.98485e-05	-1.72854e-06	4.52998e-05	-3.39748e-06
6.9	1.99975e-05	-1.72854e-06	4.5419e-05	-3.36768e-06
6.8	2.03551e-05	-1.72854e-06	4.5568e-05	-3.45708e-06
6.7	2.06829e-05	-1.78815e-06	4.56574e-05	-3.45708e-06
6.6	2.08319e-05	-1.81795e-06	4.57468e-05	-3.45708e-06
6.5	2.113e-05	-1.81795e-06	4.58958e-05	-3.42728e-06
6.4	2.13982e-05	-1.87755e-06	4.59852e-05	-3.48689e-06
6.3	2.16366e-05	-1.93717e-06	4.61044e-05	-3.51669e-06
6.2	2.18452e-05	-1.90736e-06	4.62236e-05	-3.51669e-06
6.1	2.21432e-05	-1.93717e-06	4.63428e-05	-3.51669e-06
6	2.25009e-05	-1.93717e-06	4.64919e-05	-3.57629e-06
5.9	2.27691e-05	-2.02657e-06	4.65813e-05	-3.57629e-06
5.8	2.30969e-05	-2.11598e-06	4.67601e-05	-3.6061e-06
5.7	2.33949e-05	-2.08618e-06	4.68197e-05	-3.57629e-06
5.6	2.36334e-05	-2.14578e-06	4.69687e-05	-3.6061e-06
5.5	2.39612e-05	-2.14578e-06	4.71177e-05	-3.6061e-06
5.4	2.4289e-05	-2.17558e-06	4.72071e-05	-3.6359e-06
5.3	2.45572e-05	-2.20539e-06	4.73263e-05	-3.6955e-06
5.2	2.49149e-05	-2.26499e-06	4.74455e-05	-3.6657e-06
5.1	2.51831e-05	-2.29479e-06	4.75647e-05	-3.7253e-06
5	2.55407e-05	-2.3842e-06	4.76541e-05	-3.7253e-06
4.9	2.58089e-05	-2.3544e-06	4.77734e-05	-3.75511e-06
4.8	2.61964e-05	-2.4438e-06	4.79224e-05	-3.7253e-06
4.7	2.64944e-05	-2.4438e-06	4.80714e-05	-3.78491e-06
4.6	2.6852e-05	-2.50341e-06	4.81906e-05	-3.75511e-06
4.5	2.71202e-05	-2.56301e-06	4.83694e-05	-3.81473e-06
4.4	2.75077e-05	-2.59282e-06	4.8429e-05	-3.81473e-06
4.3	2.78355e-05	-2.65242e-06	4.84886e-05	-3.84453e-06
4.2	2.81335e-05	-2.68222e-06	4.86078e-05	-3.90413e-06
4.1	2.84911e-05	-2.65242e-06	4.87568e-05	-3.93394e-06
4	2.88488e-05	-2.74183e-06	4.88462e-05	-3.84453e-06
3.9	2.92064e-05	-2.74183e-06	4.89953e-05	-3.90413e-06
3.8	2.95044e-05	-2.89084e-06	4.90251e-05	-3.87433e-06
3.7	2.98024e-05	-2.89084e-06	4.91741e-05	-3.93394e-06
3.6	3.01303e-05	-2.92064e-06	4.92635e-05	-3.99354e-06
3.5	3.05476e-05	-2.98025e-06	4.94721e-05	-3.96374e-06
3.4	3.08456e-05	-3.01005e-06	4.95019e-05	-3.99354e-06
3.3	3.11735e-05	-3.03985e-06	4.95913e-05	-4.05314e-06
3.2	3.15311e-05	-3.09946e-06	4.97105e-05	-4.02334e-06
3.1	3.17695e-05	-3.09946e-06	4.97701e-05	-4.02334e-06
3	3.21569e-05	-3.12926e-06	4.98893e-05	-4.02334e-06
2.9	3.24252e-05	-3.18886e-06	4.99489e-05	-4.11275e-06
2.8	3.2753e-05	-3.27827e-06	5.00383e-05	-4.05314e-06
2.7	3.29914e-05	-3.27827e-06	5.01277e-05	-4.08295e-06
2.6	3.33192e-05	-3.33787e-06	5.02469e-05	-4.14255e-06
2.5	3.35875e-05	-3.36768e-06	5.03066e-05	-4.14255e-06
2.4	3.38259e-05	-3.45708e-06	5.03662e-05	-4.11275e-06
2.3	3.41239e-05	-3.42728e-06	5.04556e-05	-4.20216e-06
2.2	3.44517e-05	-3.45708e-06	5.0545e-05	-4.11275e-06
2.1	3.46603e-05	-3.57629e-06	5.0545e-05	-4.20216e-06
2	3.48391e-05	-3.51669e-06	5.06046e-05	-4.20216e-06
1.9	3.51074e-05	-3.54649e-06	5.07238e-05	-4.17235e-06
1.8	3.5316e-05	-3.6359e-06	5.07536e-05	-4.26176e-06
1.7	3.55544e-05	-3.6359e-06	5.07834e-05	-4.26176e-06
1.6	3.57034e-05	-3.7253e-06	5.07536e-05	-4.20216e-06
1.5	3.58822e-05	-3.7253e-06	5.08728e-05	-4.26176e-06
1.4	3.60908e-05	-3.7253e-06	5.08132e-05	-4.23196e-06
1.3	3.61504e-05	-3.7253e-06	5.0843e-05	-4.26176e-06
1.2	3.63293e-05	-3.75511e-06	5.08728e-05	-4.20216e-06
1.1	3.64187e-05	-3.75511e-06	5.0843e-05	-4.29156e-06
1	3.65379e-05	-3.75511e-06	5.08132e-05	-4.23196e-06
0.899999999999999	3.65975e-05	-3.81473e-06	5.09026e-05	-4.26176e-06
0.8	3.66273e-05	-3.78491e-06	5.0843e-05	-4.29156e-06
0.699999999999999	3.66273e-05	-3.84453e-06	5.0843e-05	-4.29156e-06
0.6	3.65975e-05	-3.78491e-06	5.07834e-05	-4.29156e-06
0.5	3.66273e-05	-3.81473e-06	5.08132e-05	-4.26176e-06
0.399999999999999	3.65379e-05	-3.75511e-06	5.07536e-05	-4.26176e-06
0.3	3.64783e-05	-3.75511e-06	5.07238e-05	-4.29156e-06
0.199999999999999	3.64187e-05	-3.75511e-06	5.06344e-05	-4.26176e-06
0.0999999999999996	3.63293e-05	-3.75511e-06	5.06344e-05	-4.26176e-06
0	3.62101e-05	-3.7253e-06	5.06046e-05	-4.26176e-06
-0.100000000000001	3.6061e-05	-3.7253e-06	5.05152e-05	-4.20216e-06
-0.2	3.58822e-05	-3.6955e-06	5.04258e-05	-4.29156e-06
-0.300000000000001	3.5614e-05	-3.6359e-06	5.02768e-05	-4.20216e-06
-0.4	3.54948e-05	-3.6955e-06	5.03364e-05	-4.29156e-06
-0.5	3.51968e-05	-3.6359e-06	5.01575e-05	-4.17235e-06
-0.600000000000001	3.49286e-05	-3.6359e-06	5.01277e-05	-4.20216e-06
-0.7	3.46603e-05	-3.6061e-06	4.99787e-05	-4.26176e-06
-0.800000000000001	3.43623e-05	-3.57629e-06	4.98893e-05	-4.20216e-06
-0.9	3.40345e-05	-3.54649e-06	4.97701e-05	-4.14255e-06
