# srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"	"X"	"Y"
# 141
7	2.07425e-05	-1.51993e-06	1.95504e-05	-1.28151e-06
6.9	2.07425e-05	-1.46032e-06	1.98485e-05	-1.2219e-06
6.8	2.07723e-05	-1.46032e-06	1.99677e-05	-1.28151e-06
6.7	2.14876e-05	-1.60933e-06	2.01763e-05	-1.31131e-06
6.6	2.1875e-05	-1.57953e-06	2.01763e-05	-1.31131e-06
6.5	2.2173e-05	-1.57953e-06	1.98485e-05	-1.34111e-06
6.4	2.22923e-05	-1.60933e-06	1.9461e-05	-1.28151e-06
6.3	2.21432e-05	-1.51993e-06	1.89544e-05	-1.1921e-06
6.2	2.22028e-05	-1.63914e-06	1.82093e-05	-1.1623e-06
6.1	2.27095e-05	-1.57953e-06	1.75239e-05	-1.10269e-06
6	2.3544e-05	-1.63914e-06	1.67788e-05	-1.04309e-06
5.9	2.46466e-05	-1.78815e-06	1.6153e-05	-9.83484e-07
5.8	2.43784e-05	-1.46032e-06	1.53185e-05	-8.94073e-07
5.7	2.49447e-05	-1.46032e-06	1.45138e-05	-8.04666e-07
5.6	2.4438e-05	-1.75834e-06	1.38283e-05	-7.74864e-07
5.5	2.55109e-05	-1.78815e-06	1.32621e-05	-6.85457e-07
5.4	2.47956e-05	-5.06643e-07	1.28151e-05	-6.85457e-07
5.3	2.43784e-05	-1.78815e-06	1.24574e-05	-6.25852e-07
5.2	2.51831e-05	-1.81795e-06	1.21594e-05	-5.9605e-07
5.1	2.66732e-05	-2.05637e-06	1.18316e-05	-5.66248e-07
5	2.85209e-05	-2.17558e-06	1.14143e-05	-5.66248e-07
4.9	2.92064e-05	-2.08618e-06	1.11461e-05	-5.66248e-07
4.8	2.9564e-05	-2.14578e-06	1.09375e-05	-4.47037e-07
4.7	2.95342e-05	-2.29479e-06	1.09077e-05	-4.47037e-07
4.6	2.98024e-05	-2.53321e-06	1.08779e-05	-3.27827e-07
4.5	3.00707e-05	-2.3246e-06	1.09077e-05	-2.98025e-07
4.4	3.22761e-05	-2.29479e-06	1.09077e-05	-2.98025e-07
4.3	3.28424e-05	-2.4438e-06	1.10269e-05	-2.98025e-07
4.2	3.31106e-05	-2.71203e-06	1.10865e-05	-3.87432e-07
4.1	3.11735e-05	-2.4438e-06	1.12653e-05	-3.5763e-07
4	3.14119e-05	-2.14578e-06	1.12653e-05	-3.27827e-07
3.9	2.92064e-05	-2.50341e-06	1.13547e-05	-4.17234e-07
3.8	2.53917e-05	-2.08618e-06	1.1623e-05	-5.06643e-07
3.7	2.56599e-05	-1.99677e-06	1.18912e-05	-5.9605e-07
3.6	2.59281e-05	-2.11598e-06	1.23084e-05	-4.76841e-07
3.5	2.62858e-05	-2.17558e-06	1.28449e-05	-4.76841e-07
