# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 341
-17	1.40966e-05	-7.74864e-07
-16.9	1.41264e-05	-7.74864e-07
-16.8	1.4037e-05	-7.74864e-07
-16.7	1.38879e-05	-8.34469e-07
-16.6	1.38581e-05	-8.04666e-07
-16.5	1.34409e-05	-9.53682e-07
-16.4	1.36495e-05	-8.04666e-07
-16.3	1.35899e-05	-7.74864e-07
-16.2	1.34409e-05	-7.15259e-07
-16.1	1.36197e-05	-7.74864e-07
-16	1.35899e-05	-7.45062e-07
-15.9	1.36197e-05	-7.45062e-07
-15.8	1.37985e-05	-7.45062e-07
-15.7	1.37985e-05	-8.34469e-07
-15.6	1.37985e-05	-8.34469e-07
-15.5	1.40071e-05	-7.74864e-07
-15.4	1.40071e-05	-7.74864e-07
-15.3	1.40071e-05	-8.64271e-07
-15.2	1.40071e-05	-8.04666e-07
-15.1	1.4186e-05	-8.04666e-07
-15	1.42158e-05	-8.04666e-07
-14.9	1.42158e-05	-8.34469e-07
-14.8	1.45138e-05	-7.74864e-07
