# ppms_field_set_stable_set	srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "Magnetic Field"	"volt"	"X"	"Y"	"X"	"Y"
# 181	281
0	-14	5.59988e-05	-3.24847e-06	1.72259e-05	-1.01329e-06
0	-13.9	5.79359e-05	-5.60287e-06	1.76282e-05	-1.08034e-06
0	-13.8	5.94857e-05	-4.7088e-06	1.81199e-05	-1.09524e-06
0	-13.7	6.01711e-05	-2.20539e-06	1.84627e-05	-1.11014e-06
0	-13.6	6.04095e-05	-2.86104e-06	1.8716e-05	-1.1474e-06
0	-13.5	5.97539e-05	-1.28151e-06	1.90513e-05	-1.1474e-06
0	-13.4	5.78167e-05	-1.40072e-06	1.95951e-05	-1.13995e-06
0	-13.3	5.66246e-05	-2.3842e-06	1.99453e-05	-1.19955e-06
0	-13.2	5.64756e-05	-3.7253e-06	2.05339e-05	-1.21445e-06
0	-13.1	5.81446e-05	-6.13931e-06	2.09586e-05	-1.2517e-06
0	-13	6.07672e-05	-6.25852e-06	2.13013e-05	-1.31131e-06
0	-12.9	6.27344e-05	-4.88761e-06	2.15919e-05	-1.28151e-06
0	-12.8	6.31516e-05	-3.03985e-06	2.15993e-05	-1.33366e-06
0	-12.7	6.22277e-05	-1.51993e-06	2.13833e-05	-1.31876e-06
0	-12.6	6.02903e-05	-1.07289e-06	2.11151e-05	-1.27406e-06
0	-12.5	5.87406e-05	-1.96697e-06	2.11151e-05	-1.2219e-06
0	-12.4	5.81148e-05	-3.87433e-06	2.09735e-05	-1.1772e-06
0	-12.3	5.92174e-05	-5.66247e-06	2.0519e-05	-1.1772e-06
0	-12.2	6.10952e-05	-6.37773e-06	2.00422e-05	-1.15485e-06
0	-12.1	6.23171e-05	-5.9903e-06	1.98932e-05	-1.10269e-06
0	-12	6.32112e-05	-5.27504e-06	1.99453e-05	-1.10269e-06
0	-11.9	6.38966e-05	-3.36768e-06	1.99602e-05	-1.1325e-06
0	-11.8	6.25257e-05	-1.75834e-06	1.98187e-05	-1.1921e-06
0	-11.7	6.03499e-05	-1.57953e-06	1.97591e-05	-1.15485e-06
0	-11.6	5.8979e-05	-2.414e-06	1.96175e-05	-1.1474e-06
0	-11.5	5.85916e-05	-3.99354e-06	1.94312e-05	-1.15485e-06
0	-11.4	5.94559e-05	-5.84128e-06	1.94461e-05	-1.13995e-06
0	-11.3	6.13336e-05	-6.73535e-06	1.95728e-05	-1.207e-06
0	-11.2	6.33006e-05	-6.13931e-06	1.98038e-05	-1.13995e-06
0	-11.1	6.43139e-05	-4.29156e-06	1.98708e-05	-1.21445e-06
0	-11	6.42245e-05	-2.3842e-06	1.96771e-05	-1.08034e-06
0	-10.9	6.29728e-05	-1.54973e-06	1.97591e-05	-1.1623e-06
0	-10.8	6.14529e-05	-2.02657e-06	1.99826e-05	-1.18465e-06
0	-10.7	6.03499e-05	-3.51669e-06	2.01837e-05	-1.1772e-06
0	-10.6	6.08268e-05	-5.42405e-06	2.02359e-05	-1.207e-06
0	-10.5	6.28238e-05	-6.97377e-06	2.04147e-05	-1.207e-06
0	-10.4	6.49397e-05	-6.28832e-06	2.04892e-05	-1.27406e-06
0	-10.3	6.61914e-05	-5.21544e-06	2.05637e-05	-1.19955e-06
0	-10.2	6.63106e-05	-3.15906e-06	2.06159e-05	-1.21445e-06
0	-10.1	6.49397e-05	-1.69874e-06	2.07649e-05	-1.32621e-06
0	-10	6.30026e-05	-2.05637e-06	2.07202e-05	-1.27406e-06
0	-9.9	6.22277e-05	-3.45708e-06	2.06904e-05	-1.27406e-06
0	-9.8	6.30622e-05	-6.0201e-06	2.07351e-05	-1.28896e-06
0	-9.7	6.47907e-05	-6.97377e-06	2.07723e-05	-1.28151e-06
0	-9.6	6.72643e-05	-6.79496e-06	2.08617e-05	-1.207e-06
0	-9.5	6.87246e-05	-4.67899e-06	2.09884e-05	-1.28896e-06
0	-9.4	6.80094e-05	-2.86104e-06	2.11747e-05	-1.207e-06
0	-9.3	6.67279e-05	-1.87755e-06	2.0981e-05	-1.19955e-06
0	-9.2	6.51483e-05	-2.56301e-06	2.07723e-05	-1.21445e-06
0	-9.1	6.47907e-05	-3.36768e-06	2.04818e-05	-1.207e-06
0	-9	6.48503e-05	-5.63267e-06	2.02061e-05	-1.1474e-06
0	-8.9	6.71451e-05	-7.03338e-06	1.97963e-05	-1.15485e-06
0	-8.8	6.93505e-05	-7.3016e-06	1.92897e-05	-1.1474e-06
0	-8.7	7.22115e-05	-6.67575e-06	1.89618e-05	-1.1772e-06
0	-8.6	7.37314e-05	-4.94721e-06	1.87309e-05	-1.1921e-06
0	-8.5	7.3493e-05	-3.78491e-06	1.85297e-05	-9.53682e-07
0	-8.4	7.15856e-05	-2.74183e-06	1.84329e-05	-1.1474e-06
0	-8.3	7.01253e-05	-3.45708e-06	1.85595e-05	-1.207e-06
0	-8.2	7.00359e-05	-6.19891e-06	1.86489e-05	-1.15485e-06
0	-8.1	7.22413e-05	-7.80827e-06	1.87234e-05	-1.1623e-06
0	-8	7.46851e-05	-7.98708e-06	1.89767e-05	-1.207e-06
0	-7.9	7.68607e-05	-7.2718e-06	1.91258e-05	-1.15485e-06
0	-7.8	7.79931e-05	-5.00682e-06	1.9312e-05	-1.21445e-06
0	-7.7	7.67712e-05	-3.36768e-06	1.95579e-05	-1.16975e-06
0	-7.6	7.54897e-05	-3.33787e-06	1.99975e-05	-1.207e-06
0	-7.5	7.38804e-05	-4.91741e-06	2.02284e-05	-1.29641e-06
0	-7.4	7.39698e-05	-6.49694e-06	2.0601e-05	-1.28151e-06
0	-7.3	7.6056e-05	-8.1957e-06	2.10853e-05	-1.27406e-06
0	-7.2	7.95727e-05	-8.2851e-06	2.17484e-05	-1.32621e-06
0	-7.1	8.17184e-05	-6.82476e-06	2.22476e-05	-1.33366e-06
0	-7	8.22251e-05	-4.61939e-06	2.31789e-05	-1.40072e-06
0	-6.9	8.06157e-05	-3.6061e-06	2.40282e-05	-1.49012e-06
0	-6.8	7.96025e-05	-4.64919e-06	2.46466e-05	-1.56463e-06
0	-6.7	8.00197e-05	-6.25852e-06	2.52203e-05	-1.57208e-06
0	-6.6	8.17184e-05	-8.1957e-06	2.5876e-05	-1.64659e-06
0	-6.5	8.4341e-05	-9.41759e-06	2.58685e-05	-1.63914e-06
0	-6.4	8.73213e-05	-8.01688e-06	2.52054e-05	-1.56463e-06
0	-6.3	8.84538e-05	-6.37773e-06	2.43561e-05	-1.50502e-06
0	-6.2	8.79173e-05	-4.58959e-06	2.34992e-05	-1.46032e-06
0	-6.1	8.73213e-05	-4.26176e-06	2.22699e-05	-1.40072e-06
