# srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"	"X"	"Y"
# 141
7	2.77256e-06	-2.46802e-07	2.49317e-06	-3.11995e-07
6.9	2.7707e-06	-2.45871e-07	2.45591e-06	-2.92437e-07
6.8	2.77629e-06	-2.57978e-07	2.46243e-06	-2.78467e-07
6.7	2.77256e-06	-2.22587e-07	2.46988e-06	-2.5239e-07
6.6	2.79305e-06	-2.89643e-07	2.40096e-06	-3.06407e-07
6.5	2.82844e-06	-2.53322e-07	2.49875e-06	-2.37488e-07
6.4	2.82192e-06	-2.53322e-07	2.48106e-06	-2.40283e-07
6.3	2.80516e-06	-2.84987e-07	2.49782e-06	-2.58909e-07
6.2	2.8778e-06	-2.37488e-07	2.44753e-06	-2.8778e-07
6.1	2.84241e-06	-2.43077e-07	2.46802e-06	-2.64497e-07
6	2.90481e-06	-2.61703e-07	2.48571e-06	-2.37488e-07
5.9	2.89363e-06	-2.61703e-07	2.51831e-06	-3.09201e-07
5.8	2.90667e-06	-2.40283e-07	2.49875e-06	-2.14205e-07
5.7	2.92437e-06	-2.62635e-07	2.46429e-06	-2.96162e-07
5.6	2.91319e-06	-2.88712e-07	2.51086e-06	-2.60772e-07
5.5	2.90108e-06	-2.91506e-07	2.57512e-06	-2.40283e-07
5.4	2.92716e-06	-2.79399e-07	2.60958e-06	-2.79399e-07
5.3	2.97932e-06	-2.68223e-07	2.57046e-06	-2.63566e-07
5.2	2.96255e-06	-2.71948e-07	2.5211e-06	-3.11995e-07
5.1	2.9849e-06	-3.06407e-07	2.55277e-06	-3.04544e-07
5	3.03985e-06	-3.04544e-07	2.59282e-06	-2.78467e-07
4.9	3.0473e-06	-2.88712e-07	2.58257e-06	-2.90574e-07
4.8	3.05196e-06	-2.3842e-07	2.6012e-06	-3.07338e-07
4.7	3.04637e-06	-2.86849e-07	2.59561e-06	-2.83124e-07
4.6	3.12646e-06	-2.79399e-07	2.60399e-06	-2.63566e-07
4.5	3.09759e-06	-2.92437e-07	2.61889e-06	-2.57978e-07
4.4	3.13019e-06	-3.05476e-07	2.66267e-06	-2.75673e-07
4.3	3.10504e-06	-3.05476e-07	2.65522e-06	-3.10132e-07
4.2	3.15906e-06	-3.14789e-07	2.62169e-06	-3.09201e-07
4.1	3.16279e-06	-3.02682e-07	2.69247e-06	-2.84055e-07
4	3.16092e-06	-2.56116e-07	2.69526e-06	-2.93368e-07
3.9	3.18141e-06	-3.14789e-07	2.73717e-06	-2.47734e-07
3.8	3.24288e-06	-3.14789e-07	2.72693e-06	-3.1572e-07
3.7	3.18421e-06	-3.0827e-07	2.71109e-06	-2.95231e-07
3.6	3.20097e-06	-3.0175e-07	2.73345e-06	-2.99888e-07
3.5	3.24847e-06	-3.40866e-07	2.71109e-06	-2.91506e-07
3.4	3.29783e-06	-3.18514e-07	2.74183e-06	-3.14789e-07
3.3	3.29224e-06	-3.12926e-07	2.73903e-06	-3.24102e-07
3.2	3.26244e-06	-3.40866e-07	2.70923e-06	-3.07338e-07
3.1	3.30062e-06	-2.98956e-07	2.72972e-06	-3.49248e-07
3	3.2969e-06	-3.46454e-07	2.70737e-06	-2.74742e-07
2.9	3.36488e-06	-3.1572e-07	2.82844e-06	-3.39003e-07
2.8	3.36675e-06	-3.30621e-07	2.74462e-06	-3.52042e-07
2.7	3.3742e-06	-3.58561e-07	2.77256e-06	-2.42146e-07
2.6	3.36302e-06	-3.52042e-07	2.76604e-06	-3.14789e-07
2.5	3.33974e-06	-3.56698e-07	2.77536e-06	-2.59841e-07
2.4	3.43101e-06	-4.08852e-07	2.80143e-06	-3.50179e-07
2.3	3.41331e-06	-3.4366e-07	2.86011e-06	-3.20377e-07
2.2	3.40493e-06	-2.8033e-07	2.83869e-06	-3.38072e-07
2.1	3.38723e-06	-3.26896e-07	2.76232e-06	-2.98025e-07
2	3.42542e-06	-3.19445e-07	2.84427e-06	-3.19445e-07
1.9	3.42356e-06	-3.38072e-07	2.82006e-06	-3.39003e-07
1.8	3.46919e-06	-3.11995e-07	2.84986e-06	-3.25033e-07
1.7	3.44684e-06	-2.74742e-07	2.79584e-06	-2.83124e-07
1.6	3.50644e-06	-3.2969e-07	2.84427e-06	-3.45522e-07
1.5	3.44405e-06	-3.45522e-07	2.85452e-06	-2.98956e-07
1.4	3.47292e-06	-3.70668e-07	2.87408e-06	-3.11064e-07
1.3	3.54649e-06	-3.73462e-07	2.90202e-06	-3.14789e-07
1.2	3.54463e-06	-3.54836e-07	2.83403e-06	-3.59492e-07
1.1	3.50644e-06	-3.34347e-07	2.86104e-06	-3.34347e-07
1	3.49247e-06	-3.31553e-07	2.84241e-06	-3.00819e-07
0.899999999999999	3.51389e-06	-3.92089e-07	2.8033e-06	-3.52042e-07
0.8	3.47571e-06	-3.64149e-07	2.84148e-06	-3.40866e-07
