# srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"	"X"	"Y"
# 201
10	1.91109e-06	-1.34111e-07	1.80119e-06	-1.83471e-07
9.9	1.89059e-06	-1.39699e-07	1.77976e-06	-1.80677e-07
9.8	1.92413e-06	-7.91629e-08	1.76393e-06	-1.99304e-07
9.7	1.91575e-06	-1.38768e-07	1.72761e-06	-1.46219e-07
9.6	1.93717e-06	-1.83471e-07	1.82167e-06	-1.55532e-07
9.5	1.94275e-06	-1.60188e-07	1.82074e-06	-1.87197e-07
9.4	1.92878e-06	-1.42493e-07	1.79187e-06	-1.83471e-07
9.3	1.90736e-06	-1.56463e-07	1.73972e-06	-1.69502e-07
9.2	1.93158e-06	-1.64845e-07	1.77883e-06	-1.7509e-07
9.1	1.96417e-06	-1.66708e-07	1.77045e-06	-1.6857e-07
9	1.93903e-06	-1.66708e-07	1.76766e-06	-1.71364e-07
8.9	1.95765e-06	-1.26661e-07	1.74996e-06	-1.78815e-07
8.8	1.98839e-06	-1.65776e-07	1.74717e-06	-1.66708e-07
8.7	1.98653e-06	-1.46219e-07	1.77697e-06	-1.69502e-07
8.6	1.96324e-06	-1.57394e-07	1.75741e-06	-1.46219e-07
8.5	2.0126e-06	-1.69502e-07	1.75369e-06	-1.53669e-07
8.4	1.97442e-06	-1.15484e-07	1.71271e-06	-1.53669e-07
8.3	1.9977e-06	-1.56463e-07	1.77045e-06	-1.1269e-07
8.2	2.00795e-06	-1.87197e-07	1.76393e-06	-1.93716e-07
8.1	2.03589e-06	-1.71364e-07	1.79653e-06	-1.83471e-07
8	2.06848e-06	-1.65776e-07	1.72947e-06	-1.65776e-07
7.9	2.01819e-06	-1.88128e-07	1.75183e-06	-1.22004e-07
7.8	2.03123e-06	-1.83471e-07	1.77325e-06	-1.55532e-07
7.7	2.06848e-06	-1.6857e-07	1.73506e-06	-1.97441e-07
7.6	2.00795e-06	-1.57394e-07	1.73879e-06	-1.64845e-07
7.5	2.03123e-06	-1.49944e-07	1.75741e-06	-1.41562e-07
7.4	2.04799e-06	-1.81609e-07	1.72854e-06	-1.8254e-07
7.3	2.05172e-06	-1.52738e-07	1.73599e-06	-1.83471e-07
7.2	2.04054e-06	-1.48081e-07	1.71178e-06	-1.62051e-07
7.1	2.05451e-06	-1.74158e-07	1.71457e-06	-1.13622e-07
7	2.0899e-06	-1.69502e-07	1.75555e-06	-1.76952e-07
6.9	2.05917e-06	-2.00235e-07	1.74437e-06	-1.65776e-07
6.8	2.10667e-06	-2.01167e-07	1.74717e-06	-1.70433e-07
6.7	2.08245e-06	-1.56463e-07	1.78908e-06	-1.55532e-07
6.6	2.10573e-06	-1.43425e-07	1.75462e-06	-1.62051e-07
6.5	2.09828e-06	-1.71364e-07	1.80398e-06	-2.01167e-07
6.4	2.06662e-06	-1.80677e-07	1.7779e-06	-1.95579e-07
6.3	2.08804e-06	-1.71364e-07	1.77045e-06	-1.66708e-07
6.2	2.07966e-06	-1.76021e-07	1.76207e-06	-1.62051e-07
6.1	2.12809e-06	-1.60188e-07	1.80305e-06	-1.72296e-07
6	2.12157e-06	-1.76021e-07	1.82261e-06	-1.34111e-07
5.9	2.12716e-06	-1.80677e-07	1.82074e-06	-2.04892e-07
5.8	2.17558e-06	-1.64845e-07	1.80119e-06	-1.58326e-07
5.7	2.11039e-06	-1.77884e-07	1.83844e-06	-2.06755e-07
5.6	2.17652e-06	-1.97441e-07	1.81702e-06	-1.43425e-07
5.5	2.1672e-06	-1.46219e-07	1.86265e-06	-1.86265e-07
5.4	2.16534e-06	-1.71364e-07	1.88314e-06	-1.66708e-07
5.3	2.23426e-06	-1.80677e-07	1.87383e-06	-2.26312e-07
5.2	2.19142e-06	-1.88128e-07	1.89991e-06	-1.93716e-07
5.1	2.21004e-06	-2.12342e-07	1.90829e-06	-2.09548e-07
5	2.26592e-06	-1.99304e-07	1.92226e-06	-2.08617e-07
4.9	2.26779e-06	-1.85334e-07	1.9381e-06	-2.20724e-07
4.8	2.24636e-06	-1.62051e-07	1.97162e-06	-1.85334e-07
4.7	2.27617e-06	-2.02098e-07	2.0005e-06	-2.26312e-07
4.6	2.32646e-06	-1.84403e-07	2.00236e-06	-1.66708e-07
4.5	2.34602e-06	-1.62051e-07	2.04147e-06	-2.09548e-07
4.4	2.41773e-06	-2.03961e-07	2.05172e-06	-1.76021e-07
4.3	2.37209e-06	-2.12342e-07	2.08618e-06	-2.00235e-07
4.2	2.39444e-06	-1.74158e-07	2.1225e-06	-1.87197e-07
4.1	2.44939e-06	-2.39352e-07	2.14113e-06	-2.00235e-07
4	2.47454e-06	-1.94647e-07	2.15882e-06	-2.76605e-07
3.9	2.50713e-06	-2.03961e-07	2.19049e-06	-2.53322e-07
3.8	2.56115e-06	-1.97441e-07	2.23146e-06	-2.49596e-07
3.7	2.5686e-06	-2.30038e-07	2.27803e-06	-2.06755e-07
