# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 261
13	1.21701e-06	-1.25729e-07
12.9	1.17906e-06	-1.01515e-07
12.8	1.1623e-06	-9.59267e-08
12.7	1.18907e-06	-7.40406e-08
12.6	1.1779e-06	-1.06404e-07
12.5	1.19862e-06	-9.26671e-08
12.4	1.13459e-06	-7.12466e-08
12.3	1.12202e-06	-8.70791e-08
12.2	1.13133e-06	-6.35632e-08
12.1	1.12644e-06	-7.91629e-08
12	1.14088e-06	-8.63806e-08
11.9	1.15229e-06	-1.01049e-07
11.8	1.11806e-06	-8.70791e-08
11.7	1.12109e-06	-1.11061e-07
11.6	1.11969e-06	-9.8255e-08
11.5	1.14972e-06	-7.49719e-08
11.4	1.14088e-06	-7.40406e-08
11.3	1.15392e-06	-1.21539e-07
11.2	1.11992e-06	-7.98614e-08
11.1	1.13389e-06	-4.91275e-08
11	1.10688e-06	-7.56704e-08
10.9	1.11387e-06	-1.01515e-07
10.8	1.13156e-06	-1.05473e-07
10.7	1.11573e-06	-8.33538e-08
10.6	1.09431e-06	-9.38312e-08
10.5	1.11946e-06	-7.98614e-08
10.4	1.11457e-06	-7.75331e-08
10.3	1.12179e-06	-1.25497e-07
10.2	1.12924e-06	-7.73002e-08
10.1	1.12528e-06	-8.12583e-08
10	1.11573e-06	-9.5461e-08
9.9	1.08942e-06	-9.63923e-08
9.8	1.01049e-06	-5.9372e-08
9.7	9.7161e-07	-6.61244e-08
9.6	8.87787e-07	-3.53905e-08
9.5	7.93025e-07	-6.33304e-08
9.4	7.4413e-07	-3.21309e-08
9.3	6.74281e-07	-4.81962e-08
9.2	6.66132e-07	-7.52048e-08
9.1	6.28414e-07	-6.98496e-08
9	6.18635e-07	-5.82079e-08
8.9	6.12115e-07	-4.37724e-08
8.8	6.01638e-07	-5.14558e-08
8.7	5.94886e-07	-4.51694e-08
8.6	6.28879e-07	-6.35632e-08
8.5	6.22593e-07	-3.67875e-08
8.4	6.2562e-07	-6.47274e-08
8.3	6.43315e-07	-1.69968e-08
8.2	6.4378e-07	-7.17123e-08
8.1	6.04199e-07	-5.262e-08
8	6.29578e-07	-4.93603e-08
7.9	6.65899e-07	-3.95814e-08
7.8	6.53094e-07	-4.67992e-08
7.7	6.45643e-07	-8.56821e-08
7.6	7.01988e-07	-5.44826e-08
7.5	6.88717e-07	-4.44709e-08
7.4	6.92908e-07	-7.40406e-08
7.3	7.14328e-07	-7.79987e-08
7.2	7.45295e-07	-6.17006e-08
7.1	7.48321e-07	-9.15029e-08
7	8.03502e-07	-6.56587e-08
6.9	8.02571e-07	-6.5193e-08
6.8	8.15842e-07	-6.7987e-08
6.7	8.39125e-07	-9.22014e-08
6.6	8.3377e-07	-5.84407e-08
6.5	8.07227e-07	-4.23754e-08
6.4	7.26901e-07	-4.54022e-08
6.3	6.76842e-07	-6.58915e-08
6.2	6.46109e-07	-4.88947e-08
6.1	5.98844e-07	-6.05364e-08
6	5.65316e-07	-5.40169e-08
5.9	5.70206e-07	-7.24108e-08
5.8	5.63221e-07	-9.15029e-08
5.7	6.03733e-07	-4.51694e-08
5.6	5.72069e-07	-5.58796e-08
5.5	6.20264e-07	-6.72885e-08
5.4	6.44945e-07	-5.28528e-08
5.3	7.25737e-07	-6.7987e-08
5.2	8.09323e-07	-1.085e-07
5.1	9.46926e-07	-8.40523e-08
5	1.12644e-06	-1.29688e-07
4.9	1.19443e-06	-1.22237e-07
4.8	1.23005e-06	-1.40165e-07
4.7	1.24612e-06	-1.42028e-07
4.6	1.22423e-06	-8.98731e-08
4.5	1.20933e-06	-1.6857e-07
4.4	1.26684e-06	-9.17357e-08
4.3	1.22539e-06	-6.96168e-08
4.2	1.19932e-06	-9.91863e-08
4.1	1.21841e-06	-1.04541e-07
4	1.23028e-06	-1.44123e-07
3.9	1.23215e-06	-8.4518e-08
3.8	1.18768e-06	-1.31783e-07
3.7	1.17441e-06	-8.05599e-08
3.6	1.14227e-06	-8.38195e-08
3.5	1.10106e-06	-7.75331e-08
3.4	1.09105e-06	-1.12225e-07
3.3	1.0226e-06	-4.81962e-08
3.2	9.64625e-07	-5.40169e-08
3.1	8.77077e-07	-7.63689e-08
3	8.01407e-07	-4.9826e-08
2.9	7.56936e-07	-4.95932e-08
