# ppms_temperature_set_stable_set	srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "Temperature"	"volt"	"X"	"Y"	"X"	"Y"
# 19	601
20	-6	9.5927e-07	-5.77422e-08	1.10409e-06	-9.8255e-08
20	-5.98	9.33189e-07	-4.5635e-08	1.10688e-06	-1.02446e-07
20	-5.96	9.08974e-07	-3.53905e-08	1.08127e-06	-8.00942e-08
20	-5.94	9.54613e-07	-4.93603e-08	1.10735e-06	-9.03387e-08
20	-5.92	9.82553e-07	-7.54376e-08	1.09897e-06	-9.59267e-08
20	-5.9	9.79759e-07	-4.00471e-08	1.08453e-06	-8.33538e-08
20	-5.88	9.91866e-07	-4.47037e-08	1.09291e-06	-8.33538e-08
20	-5.86	1.00304e-06	-8.47508e-08	1.12737e-06	-8.70791e-08
20	-5.84	9.84415e-07	-5.68109e-08	1.11527e-06	-7.17123e-08
20	-5.82	1.00584e-06	-6.61244e-08	1.06777e-06	-7.17123e-08
20	-5.8	1.02353e-06	-6.89183e-08	1.10921e-06	-8.66135e-08
20	-5.78	9.96522e-07	-5.1223e-08	1.05659e-06	-7.86972e-08
20	-5.76	1.03471e-06	-4.93603e-08	1.10642e-06	-8.70791e-08
20	-5.74	1.05054e-06	-7.0781e-08	1.10316e-06	-6.19334e-08
20	-5.72	1.04588e-06	-7.35749e-08	1.09198e-06	-5.30856e-08
20	-5.7	1.04868e-06	-5.77422e-08	1.10782e-06	-9.63923e-08
20	-5.68	1.04123e-06	-6.5193e-08	1.1283e-06	-8.10255e-08
20	-5.66	1.06358e-06	-5.68109e-08	1.11061e-06	-4.37724e-08
20	-5.64	1.07848e-06	-6.70557e-08	1.13622e-06	-1.17347e-07
20	-5.62	1.10176e-06	-7.82316e-08	1.10921e-06	-5.68109e-08
20	-5.6	1.11759e-06	-9.9652e-08	1.10735e-06	-8.89418e-08
20	-5.58	1.08127e-06	-5.49483e-08	1.14693e-06	-9.31327e-08
20	-5.56	1.1297e-06	-6.42617e-08	1.13063e-06	-9.12701e-08
