# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 241
-12	4.83321e-05	-9.35054e-06
-11.9	4.83321e-05	-9.29093e-06
-11.8	4.83172e-05	-9.30583e-06
-11.7	4.81757e-05	-9.23878e-06
-11.6	4.81757e-05	-9.31328e-06
-11.5	4.81235e-05	-9.28348e-06
-11.4	4.82949e-05	-9.17172e-06
-11.3	4.83396e-05	-9.40269e-06
-11.2	4.83247e-05	-9.36544e-06
-11.1	4.82278e-05	-9.31328e-06
-11	4.82874e-05	-9.23878e-06
-10.9	4.8198e-05	-9.34309e-06
-10.8	4.81533e-05	-9.32073e-06
-10.7	4.83172e-05	-9.38034e-06
-10.6	4.82204e-05	-9.38034e-06
-10.5	4.83843e-05	-9.38779e-06
-10.4	4.82576e-05	-9.32073e-06
-10.3	4.84216e-05	-9.35799e-06
-10.2	4.82874e-05	-9.27603e-06
-10.1	4.83172e-05	-9.33564e-06
-10	4.83172e-05	-9.18662e-06
-9.9	4.82576e-05	-9.32819e-06
-9.8	4.82353e-05	-9.38779e-06
-9.7	4.83396e-05	-9.38034e-06
-9.6	4.82651e-05	-9.42504e-06
-9.5	4.81459e-05	-9.31328e-06
-9.4	4.82949e-05	-9.41014e-06
-9.3	4.83321e-05	-9.17917e-06
-9.2	4.83172e-05	-9.25368e-06
-9.1	4.828e-05	-9.38034e-06
-9	4.82949e-05	-9.33564e-06
-8.9	4.83247e-05	-9.32819e-06
-8.8	4.82725e-05	-9.38034e-06
-8.7	4.82725e-05	-9.42504e-06
-8.6	4.82353e-05	-9.31328e-06
-8.5	4.83098e-05	-9.34309e-06
-8.4	4.82949e-05	-9.43994e-06
-8.3	4.82204e-05	-9.36544e-06
-8.2	4.8198e-05	-9.43994e-06
-8.1	4.82651e-05	-9.54425e-06
-8	4.82651e-05	-9.42504e-06
-7.9	4.83023e-05	-9.4623e-06
-7.8	4.83321e-05	-9.32073e-06
-7.7	4.83992e-05	-9.24623e-06
-7.6	4.83247e-05	-9.25368e-06
-7.5	4.82651e-05	-9.28348e-06
-7.4	4.82576e-05	-9.33564e-06
-7.3	4.83098e-05	-9.38034e-06
-7.2	4.83321e-05	-9.30583e-06
-7.1	4.83471e-05	-9.36544e-06
-7	4.83023e-05	-9.36544e-06
-6.9	4.84067e-05	-9.4623e-06
-6.8	4.83843e-05	-9.37289e-06
-6.7	4.82949e-05	-9.28348e-06
-6.6	4.84141e-05	-9.37289e-06
-6.5	4.83098e-05	-9.35054e-06
-6.4	4.83098e-05	-9.38034e-06
-6.3	4.83471e-05	-9.37289e-06
-6.2	4.84365e-05	-9.38034e-06
-6.1	4.83843e-05	-9.36544e-06
-6	4.828e-05	-9.38779e-06
-5.9	4.83471e-05	-9.32819e-06
-5.8	4.83247e-05	-9.37289e-06
-5.7	4.82204e-05	-9.35799e-06
-5.6	4.82651e-05	-9.4772e-06
-5.5	4.84588e-05	-9.43249e-06
-5.4	4.84216e-05	-9.4921e-06
-5.3	4.83471e-05	-9.37289e-06
-5.2	4.8429e-05	-9.4921e-06
-5.1	4.84067e-05	-9.32073e-06
-5	4.84514e-05	-9.35054e-06
-4.9	4.83247e-05	-9.43994e-06
-4.8	4.84663e-05	-9.32073e-06
-4.7	4.83023e-05	-9.38034e-06
-4.6	4.83247e-05	-9.38034e-06
-4.5	4.84141e-05	-9.38034e-06
-4.4	4.84216e-05	-9.42504e-06
-4.3	4.84141e-05	-9.34309e-06
-4.2	4.83471e-05	-9.35054e-06
-4.1	4.83321e-05	-9.26858e-06
-4	4.83321e-05	-9.31328e-06
-3.9	4.84216e-05	-9.28348e-06
-3.8	4.83545e-05	-9.41014e-06
-3.7	4.83396e-05	-9.4623e-06
-3.6	4.82949e-05	-9.38034e-06
-3.5	4.84365e-05	-9.38779e-06
-3.4	4.84663e-05	-9.38034e-06
-3.3	4.83769e-05	-9.36544e-06
-3.2	4.84663e-05	-9.36544e-06
-3.1	4.83545e-05	-9.35054e-06
-3	4.83247e-05	-9.30583e-06
-2.9	4.84365e-05	-9.48465e-06
-2.8	4.84141e-05	-9.39524e-06
